#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D122
#Date Time: 2023-04-18 17:03:08.937

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.01103956202381066,0.01187470748984733,0.004374556925208158,0.001033368294311517,0.001868488132764357,0.001556726652496745
0.1,0.01119988246567629,0.01203601258386047,0.004407746779692227,0.001361553544880759,0.001950513495210835,0.001396665614749044
0.2,0.01062905137125725,0.01151452175403148,0.004428033217043796,0.0011139515039849,0.001867863758332162,0.001499342211258418
0.3,0.01106575522276325,0.0119452132107619,0.004498575330086142,0.001032017737724808,0.001865105137575897,0.001553562539209092
0.4,0.0114857496197642,0.01231192448586262,0.004434077155133024,0.001125656327736328,0.001884940639261333,0.001511918994313711
0.5,0.01157110331980009,0.01240282406809226,0.004465379359759767,0.001262962914051285,0.0019302501925584,0.001459722742031276
0.6,0.01159865133938818,0.01249466475125932,0.004646281777257563,0.001738358832571486,0.002266483723530792,0.001454323567246798
0.7,0.01181993870985098,0.01260700449449348,0.004384701953330277,0.001783377385461652,0.002279239304970472,0.001419329739822711
0.8,0.01137736396892536,0.01223797825058533,0.004508181538093493,0.001990012543227622,0.002461347881885768,0.00144847625919751
0.9,0.01125904296675913,0.01210186830799019,0.004437247797521715,0.001486705121915506,0.002086097766321567,0.001463390505340897
1,0.01143923411127912,0.01230756035021923,0.004540921131404805,0.001547930353846078,0.002053295972987504,0.001349050025880708
1.1,0.01164110238596694,0.01245730770030293,0.004435002861269277,0.001378210409450153,0.001942479665191051,0.001368854746481362
1.2,0.01113033500638765,0.01203322020363894,0.004573186101050949,0.001642469314915443,0.002146798049489845,0.001382402406990904
1.3,0.01136110612129946,0.01223231918614572,0.004533751247292228,0.001895923767687072,0.002436033455755833,0.001529618274171408
1.4,0.01149839461236177,0.01235994604332035,0.004533782916306763,0.00184640335950798,0.00239076184420563,0.001518728688642608
1.5,0.0111569798122192,0.01200553547629538,0.004433360299177692,0.001500660873311444,0.00207089975532298,0.00142710992565709
1.6,0.01051976250666111,0.01141195126477511,0.004423486009139137,0.001570889815820072,0.002091482319500318,0.001380798131275756
1.7,0.01017112199646222,0.01110430460430208,0.004455766833914346,0.00131833573410623,0.001925909071733071,0.001403964616634911
1.8,0.01070582454060186,0.01164206366708312,0.004574163020080132,0.001384513006854782,0.001994005722231264,0.001434985210425967
1.9,0.01080111359196415,0.01166936746603685,0.004417021873489958,0.001534874973507942,0.002064501342656312,0.001380697146201295
2,0.01135478362500032,0.0122336462973655,0.00455312975418805,0.001628063377990583,0.002128228301710952,0.001370680612487283
2.1,0.01072027596071339,0.01160965774252129,0.004456437615925617,0.001676233229583077,0.002162284172953504,0.001365911785089301
2.2,0.01054731052624945,0.01145349882678283,0.004465072903994747,0.001528122190574394,0.002101153115057045,0.001442111987186649
2.3,0.01067240563159299,0.01154473712159308,0.00440235314819674,0.00123910308101949,0.001931509864287879,0.001481672673180471
2.4,0.01080517805387056,0.01171097271797659,0.004516083394418958,0.001299427941892377,0.001939435434408757,0.001439755822377517
2.5,0.01114343160586439,0.01202068998391994,0.004507873083277742,0.001198586383418392,0.001901959047318831,0.001476766365801522
2.6,0.01127981688317034,0.01216147087103204,0.004546108756850675,0.001548380539374979,0.002068549418471217,0.001371646602424266
2.7,0.0110738841465757,0.01194020785340392,0.004465159962499545,0.001175176735915514,0.001890928008612116,0.001481407564823762
2.8,0.01137917039643908,0.01223441971043289,0.004493941114415445,0.001042822190418436,0.001854778195421501,0.001533859196074589
2.9,0.01091401531158835,0.01179293465918435,0.004467390474786302,0.001136010594901049,0.001876551164195816,0.001493627865339225
3,0.01089143496766332,0.01175679140670281,0.004427051900066844,0.001245855863953067,0.00191252284899595,0.00145106402828601
3.1,0.01087743515443049,0.01173712556441078,0.004409254015807735,0.001047774231236347,0.001850549168819441,0.001525352872805492
3.2,0.0109144669184666,0.01181193684509429,0.004516222306108799,0.001100896123646719,0.001841812998102612,0.001476584858692478
3.3,0.0105455040987357,0.01149529695234095,0.004575390182930203,0.0009716928768519727,0.001846101776778841,0.001569683000896066
3.4,0.01052292375481081,0.01142974612458606,0.004461745412160584,0.001078386847201658,0.001863561060898789,0.001519849214718688
3.5,0.0106213740543228,0.01152482113858317,0.004473020844406699,0.001258461058762293,0.001928231099755216,0.001460941798170781
3.6,0.01069272794112534,0.01156217029116203,0.004398789722061502,0.001280069964149608,0.001965634346995784,0.001491690072693415
3.7,0.01092846673169998,0.01178662908753421,0.004415114963535829,0.001396217830606195,0.00196067226544934,0.001376521522534081
3.8,0.01085891927241179,0.01174472235547654,0.004474636906217053,0.001391265789788273,0.001957043993834738,0.001376372295554442
3.9,0.01108336789102437,0.01196717262180705,0.004513554780031452,0.001573140743464556,0.002088839719878344,0.00137421962458442
4,0.01146587891711028,0.01230577318831779,0.004468296590479318,0.001485354565328748,0.002044453310847192,0.001404817125283867
4.1,0.01118046336990114,0.01205029017268783,0.004495189882561636,0.001404321170126459,0.001976547018343391,0.001390906239419792
4.2,0.01104859416137986,0.01191441505275758,0.004458907165045961,0.0009019141198721983,0.00182269091958335,0.001583904387489087
4.3,0.01138142843083154,0.01221722446266082,0.004441132788478289,0.0009874493703635446,0.001830488002127678,0.001541307907883068
4.4,0.01094562779308325,0.01180460497670048,0.004420625619890713,0.001061279797103409,0.001870216983702162,0.001539934011050025
4.5,0.01088285443697181,0.01175615820670746,0.00444642947597471,0.0007758621717796785,0.001831147651094998,0.001658655965085297
4.6,0.01135613844563615,0.01221802686236211,0.004507582502068817,0.001099545567060029,0.001872384375941478,0.001515527234076873
4.7,0.01122201120272253,0.0120847053829649,0.004484034874868245,0.001357051689591788,0.001970544383403525,0.0014287952543103
4.8,0.01098040152272713,0.01184248327114146,0.004435672714139319,0.001273767366744966,0.001929760670435335,0.00144965269653627
4.9,0.01080472644699234,0.01171165256847524,0.004518926010717887,0.001531723674805614,0.002072093110958531,0.001395490037414009
5,0.01059924531727648,0.01150588839555858,0.004476769647329199,0.001533074231392313,0.002087105180156268,0.001416224358664864
5.1,0.01061640637865968,0.01155441787766986,0.004560316666085759,0.001710897515308513,0.002219098228772349,0.001413232691757114
5.2,0.01088691889887858,0.01176086283307442,0.00444892025862865,0.00163886783068422,0.002195374641785888,0.001460747086714281
5.3,0.01072163078134902,0.01166188093737941,0.004587602901957475,0.001629413934577283,0.002124170888978193,0.001362759037903419
5.4,0.01100298186665213,0.01186738964475165,0.004446271136861852,0.001644270057031111,0.002215111326629378,0.001484282375059419
5.5,0.01072750167076916,0.01164583108574689,0.004532779454307704,0.001592948906736237,0.002149264829672677,0.001442862810039441
5.6,0.01071621149880717,0.01159668266314912,0.004432365046182867,0.001384062821325886,0.001996556384101532,0.001438960562878619
5.7,0.01085937087929015,0.01172382560402049,0.004418387816784734,0.001238652895490622,0.001934142944677823,0.001485479025412474
5.8,0.01098988526717556,0.01186263006968966,0.004465916925405852,0.001019862728444461,0.001859546858231513,0.001554925893118201
5.9,0.01179419711777685,0.0126142427002366,0.004473928167449043,0.001230099370441485,0.0019127730276074,0.001464771720774989
6,0.01120123728631141,0.01208196942240099,0.004528384742882947,0.001468247515230473,0.002044846596831033,0.001423252204843041
6.1,0.01107027129154784,0.01197920094802297,0.004577155108213846,0.001185080817551301,0.001894052620613898,0.001477504242134854
6.2,0.01115607659846213,0.01200268657171345,0.004427915973462098,0.001059929240516709,0.00184716808100463,0.001512805316152986
6.3,0.01119988246567615,0.01206637421491612,0.004489991029994801,0.001467797329701553,0.002013811269935902,0.001378770042407913
6.4,0.01168355343254539,0.01253192785507869,0.004532526332383801,0.001340394825022395,0.001970054783322702,0.001443765064803182
6.5,0.01148213676473623,0.0123375622233053,0.004513975734297327,0.001665878962418308,0.002164972703870873,0.001382734280719602
6.6,0.01120168889319015,0.01206359605025682,0.004478003528801337,0.001816691114600389,0.002293154896216964,0.001399354412639661
6.7,0.01140310556099963,0.0122421232759813,0.004454072952818703,0.001898624880860526,0.002390356401790133,0.00145224904522424
6.8,0.01134259023928071,0.01218351368532553,0.004447881786230953,0.001725303452233381,0.002236171418682259,0.001422599947786564
6.9,0.01111814162066865,0.01196145515619339,0.004411727139838689,0.001575841856637992,0.002078966787974593,0.001356032945163463
7,0.01153903923142689,0.01237994993009741,0.004484833763621188,0.001674432487467458,0.002192979945051415,0.001416134486660982
7.1,0.01121659192018046,0.01207546459582523,0.004472684976741958,0.002172787867961888,0.002661913476115071,0.001537782895976856
7.2,0.0112545268979745,0.01210678972388842,0.004462060255221458,0.001856307441143803,0.002370930810893548,0.001474935793177876
7.3,0.01152684584570715,0.01240403885677267,0.004581703265121541,0.001545229240672667,0.002078524056201073,0.001390154252583772
7.4,0.01105130380265108,0.01191685577643345,0.004458714597037077,0.001670380817707337,0.002200981547802374,0.001433229813254275
7.5,0.01126491385617969,0.01209842309709333,0.004412885365510069,0.001768071077479059,0.002272106240437428,0.00142702187538098
7.6,0.01121794674081599,0.01209712649718588,0.004527487206954358,0.001735207533869147,0.002240296900464342,0.001417033879846551
7.7,0.010592019607221,0.01146271659078439,0.004382121892519873,0.001875215233357657,0.00237600510800446,0.00145909838662298
7.8,0.01111272233812642,0.0119437289262641,0.004377220910553608,0.001546129611730508,0.002102247123855028,0.001424403802819422
7.9,0.01145097589012,0.0123178861880666,0.004539324983525114,0.001756816439256477,0.002246115657639852,0.001399511181181409
8,0.01140220234724246,0.01227000496846779,0.004532416966560951,0.002031429611886617,0.002533139966233639,0.001513304933078038
