General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),1
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{7A450876-6DDD-4490-BC15-6D113972EAE6}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_coating_1"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00021","0.18466","0.00000","0.00000"
"0.10000","0.00042","0.18309","0.00000","0.00000"
"0.20000","0.00042","0.18355","0.00000","0.00000"
"0.30000","0.00063","0.18424","0.00000","0.00000"
"0.40000","0.00083","0.18446","0.00000","0.00000"
"0.50000","0.00125","0.18174","0.00000","0.00000"
"0.60000","0.00250","0.18490","0.00000","0.00000"
"0.70000","0.00542","0.19248","0.00000","0.00000"
"0.80000","0.00979","0.19372","0.00000","0.00000"
"0.90000","0.01896","0.20444","0.00000","0.00000"
"1.00000","0.03458","0.22157","0.00000","0.00000"
"1.10000","0.05104","0.24417","0.00000","0.00000"
"1.20000","0.07438","0.24930","0.00000","0.00000"
"1.30000","0.09979","0.11161","0.00000","0.00000"
"1.40000","0.13125","0.16050","0.00000","0.00000"
"1.50000","0.16813","0.20726","0.00000","0.00000"
"1.60000","0.20854","0.25635","0.00000","0.00000"
"1.70000","0.25354","0.31133","0.00000","0.00000"
"1.80000","0.30458","0.40139","0.00000","0.00000"
"1.90000","0.36312","0.59586","0.00000","0.00000"
"2.00000","0.42625","0.82357","0.00000","0.00000"
"2.10000","0.49438","1.06332","0.00000","0.00000"
"2.20000","0.56896","1.43115","0.00000","0.00000"
"2.30000","0.64792","1.86141","0.00000","0.00000"
"2.40000","0.72771","2.33784","0.00000","0.00000"
"2.50000","0.81208","2.87626","0.00000","0.00000"
"2.60000","0.89583","3.44934","0.00000","0.00000"
"2.70000","0.98125","4.07255","0.00000","0.00000"
"2.80000","1.06604","4.77622","0.00000","0.00000"
"2.90000","1.14729","5.49570","0.00000","0.00000"
"3.00000","1.22583","6.23059","0.00000","0.00000"
"3.10000","1.29729","6.93079","0.00000","0.00000"
"3.20000","1.36417","7.58916","0.00000","0.00000"
"3.30000","1.42750","8.21816","0.00000","0.00000"
"3.40000","1.48042","8.76524","0.00000","0.00000"
"3.50000","1.52479","9.22561","0.00000","0.00000"
"3.60000","1.56125","9.60345","0.00000","0.00000"
