General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),10
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{C014931A-28E6-4C94-9397-98B69AC9C3E8}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_coating_10"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00042","0.23475","0.00000","0.00000"
"0.10000","0.00042","0.23464","0.00000","0.00000"
"0.20000","0.00042","0.23561","0.00000","0.00000"
"0.30000","0.00063","0.23567","0.00000","0.00000"
"0.40000","0.00063","0.23376","0.00000","0.00000"
"0.50000","0.00083","0.23487","0.00000","0.00000"
"0.60000","0.00146","0.23493","0.00000","0.00000"
"0.70000","0.00229","0.23592","0.00000","0.00000"
"0.80000","0.00333","0.23711","0.00000","0.00000"
"0.90000","0.00542","0.23964","0.00000","0.00000"
"1.00000","0.00854","0.24473","0.00000","0.00000"
"1.10000","0.01271","0.25015","0.00000","0.00000"
"1.20000","0.01854","0.25335","0.00000","0.00000"
"1.30000","0.02729","0.26307","0.00000","0.00000"
"1.40000","0.04354","0.28073","0.00000","0.00000"
"1.50000","0.06333","0.30230","0.00000","0.00000"
"1.60000","0.08917","0.33746","0.00000","0.00000"
"1.70000","0.11875","0.38796","0.00000","0.00000"
"1.80000","0.15208","0.43863","0.00000","0.00000"
"1.90000","0.19021","0.50292","0.00000","0.00000"
"2.00000","0.23458","0.62924","0.00000","0.00000"
"2.10000","0.28542","0.78781","0.00000","0.00000"
"2.20000","0.34292","0.96846","0.00000","0.00000"
"2.30000","0.40896","1.21448","0.00000","0.00000"
"2.40000","0.47938","1.52808","0.00000","0.00000"
"2.50000","0.55500","1.90381","0.00000","0.00000"
"2.60000","0.63667","2.35000","0.00000","0.00000"
"2.70000","0.71979","2.86774","0.00000","0.00000"
"2.80000","0.80542","3.45493","0.00000","0.00000"
"2.90000","0.89146","4.09799","0.00000","0.00000"
"3.00000","0.97583","4.77541","0.00000","0.00000"
"3.10000","1.06000","5.51163","0.00000","0.00000"
"3.20000","1.13938","6.25928","0.00000","0.00000"
"3.30000","1.21625","7.00633","0.00000","0.00000"
"3.40000","1.28938","7.76322","0.00000","0.00000"
"3.50000","1.35375","8.45853","0.00000","0.00000"
"3.60000","1.41188","9.10043","0.00000","0.00000"
"3.70000","1.46250","9.67526","0.00000","0.00000"
"3.80000","1.50271","10.13615","0.00000","0.00000"
"3.90000","1.53292","10.48811","0.00000","0.00000"
"4.00000","1.55500","10.72764","0.00000","0.00000"
"4.10000","1.56687","10.87090","0.00000","0.00000"
"4.20000","1.57021","10.89344","0.00000","0.00000"
"4.30000","1.57042","10.87031","0.00000","0.00000"
"4.40000","1.57042","10.84723","0.00000","0.00000"
"4.50000","1.57042","10.82899","0.00000","0.00000"
"4.60000","1.57042","10.81028","0.00000","0.00000"
"4.70000","1.57042","10.79737","0.00000","0.00000"
"4.80000","1.57042","10.78323","0.00000","0.00000"
