General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),2
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{520C5435-B4E7-46A6-93B5-4C16A537EF69}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_coating_2"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00021","0.05379","0.00000","0.00000"
"0.10000","0.00021","0.05385","0.00000","0.00000"
"0.20000","0.00021","0.05513","0.00000","0.00000"
"0.30000","0.00021","0.05457","0.00000","0.00000"
"0.40000","0.00042","0.05269","0.00000","0.00000"
"0.50000","0.00042","0.05214","0.00000","0.00000"
"0.60000","0.00063","0.05372","0.00000","0.00000"
"0.70000","0.00125","0.05474","0.00000","0.00000"
"0.80000","0.00188","0.05467","0.00000","0.00000"
"0.90000","0.00292","0.05517","0.00000","0.00000"
"1.00000","0.00417","0.05614","0.00000","0.00000"
"1.10000","0.00667","0.05922","0.00000","0.00000"
"1.20000","0.01146","0.06524","0.00000","0.00000"
"1.30000","0.01958","0.07236","0.00000","0.00000"
"1.40000","0.03000","0.08620","0.00000","0.00000"
"1.50000","0.04563","0.09857","0.00000","0.00000"
"1.60000","0.06646","0.11226","0.00000","0.00000"
"1.70000","0.08938","0.13117","0.00000","0.00000"
"1.80000","0.11833","0.15604","0.00000","0.00000"
"1.90000","0.15604","0.18544","0.00000","0.00000"
"2.00000","0.20167","0.12507","0.00000","0.00000"
"2.10000","0.25375","0.16065","0.00000","0.00000"
"2.20000","0.31125","0.27708","0.00000","0.00000"
"2.30000","0.37813","0.46304","0.00000","0.00000"
"2.40000","0.45125","0.68770","0.00000","0.00000"
"2.50000","0.53083","0.98683","0.00000","0.00000"
"2.60000","0.61938","1.39740","0.00000","0.00000"
"2.70000","0.71125","1.87464","0.00000","0.00000"
"2.80000","0.80833","2.42444","0.00000","0.00000"
"2.90000","0.90708","3.07575","0.00000","0.00000"
"3.00000","1.00729","3.83556","0.00000","0.00000"
"3.10000","1.10521","4.74452","0.00000","0.00000"
"3.20000","1.20000","5.66583","0.00000","0.00000"
"3.30000","1.29375","6.87256","0.00000","0.00000"
"3.40000","1.37792","7.85534","0.00000","0.00000"
"3.50000","1.45687","8.67002","0.00000","0.00000"
"3.60000","1.52458","9.70508","0.00000","0.00000"
"3.70000","1.57979","10.49345","0.00000","0.00000"
"3.80000","1.62542","11.12389","0.00000","0.00000"
"3.90000","1.66000","11.50250","0.00000","0.00000"
"4.00000","1.68313","11.71404","0.00000","0.00000"
"4.10000","1.69229","11.81600","0.00000","0.00000"
"4.20000","1.69333","11.78791","0.00000","0.00000"
"4.30000","1.69333","11.74467","0.00000","0.00000"
"4.40000","1.69333","11.71294","0.00000","0.00000"
"4.50000","1.69333","11.69033","0.00000","0.00000"
"4.60000","1.69333","11.66836","0.00000","0.00000"
"4.70000","1.69292","11.64888","0.00000","0.00000"
"4.80000","1.69250","11.63007","0.00000","0.00000"
"4.90000","1.69229","11.60801","0.00000","0.00000"
"5.00000","1.69188","11.58325","0.00000","0.00000"
"5.10000","1.69146","11.56314","0.00000","0.00000"
"5.20000","1.69063","11.53164","0.00000","0.00000"
"5.30000","1.68938","11.48659","0.00000","0.00000"
"5.40000","1.68771","11.42855","0.00000","0.00000"
"5.50000","1.68563","11.35808","0.00000","0.00000"
"5.60000","1.68313","11.27623","0.00000","0.00000"
"5.70000","1.68000","11.17733","0.00000","0.00000"
"5.80000","1.67583","11.05595","0.00000","0.00000"
"5.90000","1.67083","10.90929","0.00000","0.00000"
"6.00000","1.66479","10.73777","0.00000","0.00000"
"6.10000","1.65792","10.59238","0.00000","0.00000"
"6.20000","1.65125","10.49165","0.00000","0.00000"
"6.30000","1.64667","10.41852","0.00000","0.00000"
"6.40000","1.64458","10.38765","0.00000","0.00000"
"6.50000","1.64375","10.37530","0.00000","0.00000"
"6.60000","1.64333","10.37235","0.00000","0.00000"
"6.70000","1.64333","10.37667","0.00000","0.00000"
"6.80000","1.64333","10.37728","0.00000","0.00000"
"6.90000","1.64333","10.37834","0.00000","0.00000"
"7.00000","1.64333","10.37765","0.00000","0.00000"
"7.10000","1.64333","10.37882","0.00000","0.00000"
"7.20000","1.64333","10.37503","0.00000","0.00000"
"7.30000","1.64333","10.37327","0.00000","0.00000"
"7.40000","1.64333","10.37225","0.00000","0.00000"
"7.50000","1.64333","10.37115","0.00000","0.00000"
"7.60000","1.64375","10.36864","0.00000","0.00000"
"7.70000","1.64396","10.36987","0.00000","0.00000"
"7.80000","1.64458","10.38096","0.00000","0.00000"
"7.90000","1.64479","10.39147","0.00000","0.00000"
"8.00000","1.64521","10.39522","0.00000","0.00000"
"8.10000","1.64625","10.41671","0.00000","0.00000"
"8.20000","1.64792","10.45818","0.00000","0.00000"
"8.30000","1.65083","10.53475","0.00000","0.00000"
"8.40000","1.65625","10.67325","0.00000","0.00000"
"8.50000","1.66771","10.95528","0.00000","0.00000"
"8.60000","1.68604","11.37634","0.00000","0.00000"
"8.70000","1.70521","11.61856","0.00000","0.00000"
"8.80000","1.72792","11.88103","0.00000","0.00000"
"8.90000","1.75167","12.13803","0.00000","0.00000"
"9.00000","1.78063","12.50474","0.00000","0.00000"
"9.10000","1.81625","12.87985","0.00000","0.00000"
"9.20000","1.85583","13.20588","0.00000","0.00000"
"9.30000","1.89854","13.49971","0.00000","0.00000"
"9.40000","1.94396","13.89949","0.00000","0.00000"
"9.50000","1.99333","14.50347","0.00000","0.00000"
"9.60000","2.04563","15.30569","0.00000","0.00000"
"9.70000","2.09458","16.19392","0.00000","0.00000"
"9.80000","2.14042","16.83352","0.00000","0.00000"
"9.90000","2.18229","17.75311","0.00000","0.00000"
"10.00000","2.21875","18.59431","0.00000","0.00000"
