General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),4
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{DAAC9AB1-2D35-4F5A-9740-E2ED29EC7CB4}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_coated_4"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.54208","0.07126","0.00000","0.00000"
"0.10000","0.54208","0.07296","0.00000","0.00000"
"0.20000","0.54208","0.07033","0.00000","0.00000"
"0.30000","0.54208","0.07114","0.00000","0.00000"
"0.40000","0.54208","0.07058","0.00000","0.00000"
"0.50000","0.54208","0.07297","0.00000","0.00000"
"0.60000","0.54208","0.07108","0.00000","0.00000"
"0.70000","0.54208","0.07193","0.00000","0.00000"
"0.80000","0.54208","0.07168","0.00000","0.00000"
"0.90000","0.54208","0.07158","0.00000","0.00000"
"1.00000","0.54250","0.07223","0.00000","0.00000"
"1.10000","0.54271","0.07209","0.00000","0.00000"
"1.20000","0.54375","0.07637","0.00000","0.00000"
"1.30000","0.54833","0.08581","0.00000","0.00000"
"1.40000","0.55521","0.10113","0.00000","0.00000"
"1.50000","0.56333","0.11404","0.00000","0.00000"
"1.60000","0.57604","0.13128","0.00000","0.00000"
"1.70000","0.59792","0.16493","0.00000","0.00000"
"1.80000","0.62292","0.22107","0.00000","0.00000"
"1.90000","0.65521","0.37126","0.00000","0.00000"
"2.00000","0.69500","0.43223","0.00000","0.00000"
"2.10000","0.73854","0.53772","0.00000","0.00000"
"2.20000","0.78667","0.74378","0.00000","0.00000"
"2.30000","0.83896","0.99957","0.00000","0.00000"
"2.40000","0.89854","1.31603","0.00000","0.00000"
"2.50000","0.96458","1.64486","0.00000","0.00000"
"2.60000","1.03354","2.00814","0.00000","0.00000"
"2.70000","1.10833","2.51013","0.00000","0.00000"
"2.80000","1.18458","3.06301","0.00000","0.00000"
"2.90000","1.26146","3.44093","0.00000","0.00000"
"3.00000","1.34000","3.99077","0.00000","0.00000"
"3.10000","1.41646","4.59081","0.00000","0.00000"
"3.20000","1.49438","5.22515","0.00000","0.00000"
"3.30000","1.57250","5.91964","0.00000","0.00000"
"3.40000","1.64563","6.59101","0.00000","0.00000"
"3.50000","1.71646","7.25833","0.00000","0.00000"
"3.60000","1.78208","7.90566","0.00000","0.00000"
"3.70000","1.84000","8.48232","0.00000","0.00000"
"3.80000","1.89250","9.03049","0.00000","0.00000"
"3.90000","1.93875","9.51984","0.00000","0.00000"
"4.00000","1.97688","9.92949","0.00000","0.00000"
"4.10000","2.00396","10.23081","0.00000","0.00000"
"4.20000","2.02417","10.45722","0.00000","0.00000"
"4.30000","2.03375","10.55575","0.00000","0.00000"
"4.40000","2.03792","10.58469","0.00000","0.00000"
"4.50000","2.03875","10.57316","0.00000","0.00000"
"4.60000","2.03875","10.55067","0.00000","0.00000"
"4.70000","2.03875","10.53040","0.00000","0.00000"
"4.80000","2.03875","10.51437","0.00000","0.00000"
"4.90000","2.03875","10.50110","0.00000","0.00000"
"5.00000","2.03875","10.48853","0.00000","0.00000"
"5.10000","2.03875","10.47657","0.00000","0.00000"
"5.20000","2.03875","10.46603","0.00000","0.00000"
"5.30000","2.03875","10.45536","0.00000","0.00000"
"5.40000","2.03875","10.44760","0.00000","0.00000"
"5.50000","2.03833","10.43883","0.00000","0.00000"
"5.60000","2.03833","10.43073","0.00000","0.00000"
"5.70000","2.03833","10.42288","0.00000","0.00000"
"5.80000","2.03833","10.41839","0.00000","0.00000"
"5.90000","2.03833","10.41046","0.00000","0.00000"
"6.00000","2.03833","10.40329","0.00000","0.00000"
"6.10000","2.03833","10.39825","0.00000","0.00000"
"6.20000","2.03833","10.39239","0.00000","0.00000"
"6.30000","2.03833","10.38581","0.00000","0.00000"
"6.40000","2.03833","10.38087","0.00000","0.00000"
"6.50000","2.03833","10.37509","0.00000","0.00000"
"6.60000","2.03833","10.37129","0.00000","0.00000"
"6.70000","2.03833","10.36530","0.00000","0.00000"
"6.80000","2.03833","10.36188","0.00000","0.00000"
"6.90000","2.03833","10.35685","0.00000","0.00000"
"7.00000","2.03833","10.35333","0.00000","0.00000"
"7.10000","2.03833","10.34910","0.00000","0.00000"
"7.20000","2.03833","10.34419","0.00000","0.00000"
"7.30000","2.03833","10.34178","0.00000","0.00000"
"7.40000","2.03875","10.33803","0.00000","0.00000"
"7.50000","2.03875","10.33407","0.00000","0.00000"
"7.60000","2.03979","10.33924","0.00000","0.00000"
"7.70000","2.04375","10.37976","0.00000","0.00000"
"7.80000","2.05313","10.48419","0.00000","0.00000"
"7.90000","2.06646","10.65073","0.00000","0.00000"
"8.00000","2.08458","10.84679","0.00000","0.00000"
"8.10000","2.11125","11.16169","0.00000","0.00000"
"8.20000","2.14375","11.52986","0.00000","0.00000"
"8.30000","2.17813","11.93421","0.00000","0.00000"
"8.40000","2.21271","12.33469","0.00000","0.00000"
"8.50000","2.24896","12.71181","0.00000","0.00000"
"8.60000","2.28729","13.16749","0.00000","0.00000"
"8.70000","2.32792","13.69085","0.00000","0.00000"
"8.80000","2.36833","14.40329","0.00000","0.00000"
"8.90000","2.40896","14.95418","0.00000","0.00000"
"9.00000","2.44854","15.30347","0.00000","0.00000"
"9.10000","2.48583","15.85383","0.00000","0.00000"
"9.20000","2.52125","16.32283","0.00000","0.00000"
"9.30000","2.55542","16.80165","0.00000","0.00000"
"9.40000","2.58542","17.26576","0.00000","0.00000"
"9.50000","2.60896","17.73726","0.00000","0.00000"
"9.60000","2.62750","18.12152","0.00000","0.00000"
"9.70000","2.64000","18.30732","0.00000","0.00000"
"9.80000","2.64937","18.41858","0.00000","0.00000"
"9.90000","2.65521","18.47623","0.00000","0.00000"
"10.00000","2.65729","18.47144","0.00000","0.00000"
"10.10000","2.65792","18.44352","0.00000","0.00000"
"10.20000","2.65812","18.40998","0.00000","0.00000"
"10.30000","2.65812","18.38267","0.00000","0.00000"
"10.40000","2.65812","18.35924","0.00000","0.00000"
"10.50000","2.65812","18.33910","0.00000","0.00000"
"10.60000","2.65812","18.32052","0.00000","0.00000"
"10.70000","2.65812","18.30412","0.00000","0.00000"
"10.80000","2.65812","18.29024","0.00000","0.00000"
"10.90000","2.65812","18.27643","0.00000","0.00000"
"11.00000","2.65812","18.26291","0.00000","0.00000"
"11.10000","2.65812","18.25249","0.00000","0.00000"
"11.20000","2.65812","18.24324","0.00000","0.00000"
"11.30000","2.65833","18.24050","0.00000","0.00000"
"11.40000","2.65875","18.24784","0.00000","0.00000"
"11.50000","2.65958","18.25894","0.00000","0.00000"
"11.60000","2.66083","18.27224","0.00000","0.00000"
"11.70000","2.66354","18.30653","0.00000","0.00000"
"11.80000","2.66813","18.36786","0.00000","0.00000"
"11.90000","2.67604","18.47334","0.00000","0.00000"
"12.00000","2.68875","18.64051","0.00000","0.00000"
"12.10000","2.70563","18.88073","0.00000","0.00000"
"12.20000","2.72521","19.18423","0.00000","0.00000"
"12.30000","2.74771","19.58124","0.00000","0.00000"
"12.40000","2.77229","20.20710","0.00000","0.00000"
"12.50000","2.79438","20.64689","0.00000","0.00000"
"12.60000","2.81667","21.02103","0.00000","0.00000"
"12.70000","2.83500","21.28620","0.00000","0.00000"
"12.80000","2.85500","21.56519","0.00000","0.00000"
"12.90000","2.87104","21.78089","0.00000","0.00000"
"13.00000","2.88938","22.02766","0.00000","0.00000"
"13.10000","2.90458","22.27772","0.00000","0.00000"
"13.20000","2.91979","22.52596","0.00000","0.00000"
"13.30000","2.93521","22.83629","0.00000","0.00000"
"13.40000","2.94604","23.03694","0.00000","0.00000"
