General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),5
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{0FAF2540-9458-45DD-93A7-20D66A1C0A8B}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_coated_5"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00042","0.00234","0.00000","0.00000"
"0.10000","0.00042","0.00336","0.00000","0.00000"
"0.20000","0.00042","0.00635","0.00000","0.00000"
"0.30000","0.00042","0.00304","0.00000","0.00000"
"0.40000","0.00042","0.00185","0.00000","0.00000"
"0.50000","0.00063","0.00460","0.00000","0.00000"
"0.60000","0.00083","0.00467","0.00000","0.00000"
"0.70000","0.00104","0.00452","0.00000","0.00000"
"0.80000","0.00125","0.00389","0.00000","0.00000"
"0.90000","0.00146","0.00485","0.00000","0.00000"
"1.00000","0.00167","0.00397","0.00000","0.00000"
"1.10000","0.00208","0.00401","0.00000","0.00000"
"1.20000","0.00292","0.00627","0.00000","0.00000"
"1.30000","0.00396","0.00875","0.00000","0.00000"
"1.40000","0.00583","0.00827","0.00000","0.00000"
"1.50000","0.00896","0.01160","0.00000","0.00000"
"1.60000","0.01438","0.01909","0.00000","0.00000"
"1.70000","0.02604","0.03134","0.00000","0.00000"
"1.80000","0.04813","0.05341","0.00000","0.00000"
"1.90000","0.07333","0.07616","0.00000","0.00000"
"2.00000","0.10458","0.09780","0.00000","0.00000"
"2.10000","0.14167","0.12650","0.00000","0.00000"
"2.20000","0.18250","0.15445","0.00000","0.00000"
"2.30000","0.22979","0.20628","0.00000","0.00000"
"2.40000","0.28667","0.34195","0.00000","0.00000"
"2.50000","0.34958","0.55627","0.00000","0.00000"
"2.60000","0.42042","0.77274","0.00000","0.00000"
"2.70000","0.50083","1.07463","0.00000","0.00000"
"2.80000","0.58521","1.45989","0.00000","0.00000"
"2.90000","0.67479","1.96392","0.00000","0.00000"
"3.00000","0.76833","2.51216","0.00000","0.00000"
"3.10000","0.86771","2.85043","0.00000","0.00000"
"3.20000","0.97125","3.43644","0.00000","0.00000"
"3.30000","1.07521","4.31815","0.00000","0.00000"
"3.40000","1.17896","4.90864","0.00000","0.00000"
"3.50000","1.28292","5.65563","0.00000","0.00000"
"3.60000","1.38146","6.59166","0.00000","0.00000"
"3.70000","1.47625","7.34753","0.00000","0.00000"
"3.80000","1.56708","8.19789","0.00000","0.00000"
"3.90000","1.64958","9.09866","0.00000","0.00000"
"4.00000","1.72521","9.75494","0.00000","0.00000"
"4.10000","1.79146","10.32113","0.00000","0.00000"
"4.20000","1.84500","10.94365","0.00000","0.00000"
"4.30000","1.88938","11.54866","0.00000","0.00000"
"4.40000","1.92396","11.94931","0.00000","0.00000"
"4.50000","1.94771","12.19285","0.00000","0.00000"
"4.60000","1.95979","12.31386","0.00000","0.00000"
"4.70000","1.96250","12.31144","0.00000","0.00000"
"4.80000","1.96250","12.27351","0.00000","0.00000"
"4.90000","1.96250","12.24254","0.00000","0.00000"
"5.00000","1.96250","12.21865","0.00000","0.00000"
"5.10000","1.96250","12.19819","0.00000","0.00000"
"5.20000","1.96250","12.18158","0.00000","0.00000"
"5.30000","1.96208","12.16611","0.00000","0.00000"
"5.40000","1.96187","12.14672","0.00000","0.00000"
"5.50000","1.96146","12.12868","0.00000","0.00000"
"5.60000","1.96104","12.10954","0.00000","0.00000"
"5.70000","1.96083","12.09224","0.00000","0.00000"
"5.80000","1.96063","12.07745","0.00000","0.00000"
"5.90000","1.95979","12.05630","0.00000","0.00000"
"6.00000","1.95875","12.03041","0.00000","0.00000"
"6.10000","1.95750","12.00016","0.00000","0.00000"
"6.20000","1.95604","11.96464","0.00000","0.00000"
