General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),6
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{EEE9FF25-1099-4889-A20F-BFAFFD92F0EA}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_coating_6 "

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.06679","0.00000","0.00000"
"0.10000","0.00021","0.06615","0.00000","0.00000"
"0.20000","0.00021","0.06827","0.00000","0.00000"
"0.30000","0.00021","0.06783","0.00000","0.00000"
"0.40000","0.00021","0.06782","0.00000","0.00000"
"0.50000","0.00021","0.06737","0.00000","0.00000"
"0.60000","0.00021","0.06667","0.00000","0.00000"
"0.70000","0.00021","0.06728","0.00000","0.00000"
"0.80000","0.00042","0.06861","0.00000","0.00000"
"0.90000","0.00063","0.06689","0.00000","0.00000"
"1.00000","0.00083","0.06785","0.00000","0.00000"
"1.10000","0.00125","0.06899","0.00000","0.00000"
"1.20000","0.00146","0.06854","0.00000","0.00000"
"1.30000","0.00188","0.06662","0.00000","0.00000"
"1.40000","0.00271","0.06818","0.00000","0.00000"
"1.50000","0.00396","0.06823","0.00000","0.00000"
"1.60000","0.00646","0.07107","0.00000","0.00000"
"1.70000","0.01167","0.07552","0.00000","0.00000"
"1.80000","0.02063","0.08196","0.00000","0.00000"
"1.90000","0.03333","0.09058","0.00000","0.00000"
"2.00000","0.05625","0.10917","0.00000","0.00000"
"2.10000","0.08604","0.13250","0.00000","0.00000"
"2.20000","0.12271","0.14931","0.00000","0.00000"
"2.30000","0.16271","0.09974","0.00000","0.00000"
"2.40000","0.20958","0.15020","0.00000","0.00000"
"2.50000","0.26604","0.22043","0.00000","0.00000"
"2.60000","0.33083","0.34481","0.00000","0.00000"
"2.70000","0.40354","0.51748","0.00000","0.00000"
"2.80000","0.48375","0.79640","0.00000","0.00000"
"2.90000","0.57417","1.14508","0.00000","0.00000"
"3.00000","0.67167","1.57286","0.00000","0.00000"
"3.10000","0.77729","2.08666","0.00000","0.00000"
"3.20000","0.88521","2.66982","0.00000","0.00000"
"3.30000","0.99729","3.35676","0.00000","0.00000"
"3.40000","1.11104","4.11598","0.00000","0.00000"
"3.50000","1.22521","4.95556","0.00000","0.00000"
"3.60000","1.33771","5.86360","0.00000","0.00000"
"3.70000","1.44854","6.84034","0.00000","0.00000"
"3.80000","1.55417","7.82349","0.00000","0.00000"
"3.90000","1.65313","8.79726","0.00000","0.00000"
"4.00000","1.74083","9.69543","0.00000","0.00000"
"4.10000","1.82063","10.54370","0.00000","0.00000"
"4.20000","1.88896","11.28750","0.00000","0.00000"
"4.30000","1.94458","11.91343","0.00000","0.00000"
"4.40000","1.99063","12.43801","0.00000","0.00000"
"4.50000","2.02375","12.82322","0.00000","0.00000"
"4.60000","2.04563","13.06285","0.00000","0.00000"
"4.70000","2.05354","13.15227","0.00000","0.00000"
"4.80000","2.05438","13.12587","0.00000","0.00000"
"4.90000","2.05438","13.09262","0.00000","0.00000"
"5.00000","2.05438","13.06808","0.00000","0.00000"
"5.10000","2.05438","13.04327","0.00000","0.00000"
"5.20000","2.05396","13.02609","0.00000","0.00000"
"5.30000","2.05354","13.00679","0.00000","0.00000"
"5.40000","2.05313","12.98709","0.00000","0.00000"
"5.50000","2.05271","12.96552","0.00000","0.00000"
"5.60000","2.05229","12.94690","0.00000","0.00000"
"5.70000","2.05104","12.92233","0.00000","0.00000"
"5.80000","2.04896","12.88607","0.00000","0.00000"
"5.90000","2.04563","12.83362","0.00000","0.00000"
"6.00000","2.04104","12.76737","0.00000","0.00000"
"6.10000","2.03458","12.68020","0.00000","0.00000"
"6.20000","2.02375","12.54600","0.00000","0.00000"
"6.30000","2.00938","12.35784","0.00000","0.00000"
"6.40000","1.99625","12.17689","0.00000","0.00000"
"6.50000","1.97979","11.97934","0.00000","0.00000"
"6.60000","1.96354","11.76136","0.00000","0.00000"
"6.70000","1.95021","11.59623","0.00000","0.00000"
"6.80000","1.93354","11.40042","0.00000","0.00000"
"6.90000","1.92063","11.22562","0.00000","0.00000"
"7.00000","1.90979","11.09868","0.00000","0.00000"
"7.10000","1.89854","10.96538","0.00000","0.00000"
"7.20000","1.89104","10.86193","0.00000","0.00000"
"7.30000","1.88792","10.82273","0.00000","0.00000"
"7.40000","1.88750","10.81627","0.00000","0.00000"
"7.50000","1.88750","10.81787","0.00000","0.00000"
"7.60000","1.88750","10.81763","0.00000","0.00000"
"7.70000","1.88750","10.81998","0.00000","0.00000"
"7.80000","1.88750","10.82099","0.00000","0.00000"
"7.90000","1.88750","10.81893","0.00000","0.00000"
"8.00000","1.88750","10.81907","0.00000","0.00000"
"8.10000","1.88750","10.81824","0.00000","0.00000"
"8.20000","1.88813","10.82122","0.00000","0.00000"
"8.30000","1.88854","10.82806","0.00000","0.00000"
"8.40000","1.88896","10.83056","0.00000","0.00000"
"8.50000","1.88958","10.83837","0.00000","0.00000"
"8.60000","1.89083","10.85081","0.00000","0.00000"
"8.70000","1.89333","10.87495","0.00000","0.00000"
"8.80000","1.89771","10.92409","0.00000","0.00000"
"8.90000","1.90854","11.03652","0.00000","0.00000"
"9.00000","1.93000","11.28184","0.00000","0.00000"
"9.10000","1.95688","11.59077","0.00000","0.00000"
"9.20000","1.99083","12.00832","0.00000","0.00000"
"9.30000","2.02979","12.48639","0.00000","0.00000"
"9.40000","2.06979","12.98880","0.00000","0.00000"
"9.50000","2.11063","13.48481","0.00000","0.00000"
"9.60000","2.15583","14.03322","0.00000","0.00000"
"9.70000","2.20563","14.64714","0.00000","0.00000"
"9.80000","2.25542","15.28034","0.00000","0.00000"
"9.90000","2.30479","15.91246","0.00000","0.00000"
"10.00000","2.35500","16.55665","0.00000","0.00000"
"10.10000","2.40396","17.21269","0.00000","0.00000"
"10.20000","2.44813","17.83102","0.00000","0.00000"
"10.30000","2.48750","18.37221","0.00000","0.00000"
"10.40000","2.52229","18.84651","0.00000","0.00000"
"10.50000","2.55271","19.26690","0.00000","0.00000"
"10.60000","2.57896","19.65071","0.00000","0.00000"
