General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),7
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{7FABBAF6-5072-4245-89B7-ED292B20AD3E}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_coating_7"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.02215","0.00000","0.00000"
"0.10000","0.00021","0.02376","0.00000","0.00000"
"0.20000","0.00021","0.02321","0.00000","0.00000"
"0.30000","0.00021","0.02184","0.00000","0.00000"
"0.40000","0.00021","0.02250","0.00000","0.00000"
"0.50000","0.00021","0.02308","0.00000","0.00000"
"0.60000","0.00021","0.02202","0.00000","0.00000"
"0.70000","0.00042","0.02190","0.00000","0.00000"
"0.80000","0.00042","0.02346","0.00000","0.00000"
"0.90000","0.00063","0.02241","0.00000","0.00000"
"1.00000","0.00104","0.02150","0.00000","0.00000"
"1.10000","0.00125","0.02215","0.00000","0.00000"
"1.20000","0.00167","0.02306","0.00000","0.00000"
"1.30000","0.00208","0.02328","0.00000","0.00000"
"1.40000","0.00313","0.02140","0.00000","0.00000"
"1.50000","0.00479","0.02377","0.00000","0.00000"
"1.60000","0.00792","0.02731","0.00000","0.00000"
"1.70000","0.01396","0.02844","0.00000","0.00000"
"1.80000","0.02313","0.03456","0.00000","0.00000"
"1.90000","0.03521","0.04156","0.00000","0.00000"
"2.00000","0.05479","0.03573","0.00000","0.00000"
"2.10000","0.08042","0.03801","0.00000","0.00000"
"2.20000","0.11604","0.03987","0.00000","0.00000"
"2.30000","0.16271","0.03610","0.00000","0.00000"
"2.40000","0.21854","0.04064","0.00000","0.00000"
"2.50000","0.28208","0.03722","0.00000","0.00000"
"2.60000","0.35750","0.03377","0.00000","0.00000"
"2.70000","0.44354","0.03070","0.00000","0.00000"
"2.80000","0.53833","0.03433","0.00000","0.00000"
"2.90000","0.64208","0.02800","0.00000","0.00000"
"3.00000","0.75458","0.12971","0.00000","0.00000"
"3.10000","0.87687","0.30786","0.00000","0.00000"
"3.20000","1.00979","0.63716","0.00000","0.00000"
"3.30000","1.15271","1.15884","0.00000","0.00000"
"3.40000","1.30333","1.80090","0.00000","0.00000"
"3.50000","1.45917","2.59513","0.00000","0.00000"
"3.60000","1.61792","3.53662","0.00000","0.00000"
"3.70000","1.77813","4.61126","0.00000","0.00000"
"3.80000","1.93813","5.79928","0.00000","0.00000"
"3.90000","2.09438","7.07599","0.00000","0.00000"
"4.00000","2.24313","8.39647","0.00000","0.00000"
"4.10000","2.38104","9.73828","0.00000","0.00000"
"4.20000","2.50896","11.05664","0.00000","0.00000"
"4.30000","2.62313","12.31906","0.00000","0.00000"
"4.40000","2.72417","13.50607","0.00000","0.00000"
"4.50000","2.80583","14.51193","0.00000","0.00000"
"4.60000","2.87167","15.34696","0.00000","0.00000"
"4.70000","2.91708","15.95123","0.00000","0.00000"
"4.80000","2.94250","16.27469","0.00000","0.00000"
"4.90000","2.95042","16.37396","0.00000","0.00000"
"5.00000","2.95042","16.31613","0.00000","0.00000"
"5.10000","2.95042","16.27287","0.00000","0.00000"
"5.20000","2.94979","16.23667","0.00000","0.00000"
"5.30000","2.94896","16.19458","0.00000","0.00000"
"5.40000","2.94792","16.15260","0.00000","0.00000"
"5.50000","2.94417","16.07917","0.00000","0.00000"
"5.60000","2.93375","15.92604","0.00000","0.00000"
"5.70000","2.91104","15.60809","0.00000","0.00000"
"5.80000","2.88208","15.19098","0.00000","0.00000"
"5.90000","2.84583","14.67855","0.00000","0.00000"
"6.00000","2.80292","14.09816","0.00000","0.00000"
"6.10000","2.75417","13.45617","0.00000","0.00000"
"6.20000","2.70500","12.81478","0.00000","0.00000"
"6.30000","2.65667","12.20887","0.00000","0.00000"
"6.40000","2.60813","11.62594","0.00000","0.00000"
"6.50000","2.55917","11.05606","0.00000","0.00000"
"6.60000","2.51313","10.53463","0.00000","0.00000"
