General : End date,"17/04/2023"
General : Excluded,False
General : Specimen number (included),1
General : Start date,"17/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{AC55CC0E-D65E-4BD1-8CF8-544D835BF368}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_glued_1"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.12135","0.00000","0.00000"
"0.10000","0.00000","0.12084","0.00000","0.00000"
"0.20000","0.00000","0.11851","0.00000","0.00000"
"0.30000","0.00000","0.11812","0.00000","0.00000"
"0.40000","0.00000","0.11984","0.00000","0.00000"
"0.50000","0.00000","0.11887","0.00000","0.00000"
"0.60000","0.00000","0.11904","0.00000","0.00000"
"0.70000","0.00021","0.11948","0.00000","0.00000"
"0.80000","0.00021","0.11999","0.00000","0.00000"
"0.90000","0.00021","0.12135","0.00000","0.00000"
"1.00000","0.00042","0.11704","0.00000","0.00000"
"1.10000","0.00042","0.11777","0.00000","0.00000"
"1.20000","0.00063","0.11997","0.00000","0.00000"
"1.30000","0.00104","0.12151","0.00000","0.00000"
"1.40000","0.00125","0.11909","0.00000","0.00000"
"1.50000","0.00125","0.11907","0.00000","0.00000"
"1.60000","0.00229","0.12257","0.00000","0.00000"
"1.70000","0.00729","0.12529","0.00000","0.00000"
"1.80000","0.01625","0.13395","0.00000","0.00000"
"1.90000","0.03333","0.15239","0.00000","0.00000"
"2.00000","0.05875","0.17247","0.00000","0.00000"
"2.10000","0.09250","0.13957","0.00000","0.00000"
"2.20000","0.13438","0.14805","0.00000","0.00000"
"2.30000","0.18271","0.15225","0.00000","0.00000"
"2.40000","0.23750","0.15749","0.00000","0.00000"
"2.50000","0.30042","0.15596","0.00000","0.00000"
"2.60000","0.37542","0.17192","0.00000","0.00000"
"2.70000","0.45771","0.19554","0.00000","0.00000"
"2.80000","0.54875","0.20862","0.00000","0.00000"
"2.90000","0.64917","0.24085","0.00000","0.00000"
"3.00000","0.75792","0.33723","0.00000","0.00000"
"3.10000","0.87875","0.56686","0.00000","0.00000"
"3.20000","1.01000","0.89363","0.00000","0.00000"
"3.30000","1.14979","1.23988","0.00000","0.00000"
"3.40000","1.29813","1.63655","0.00000","0.00000"
"3.50000","1.45333","2.06641","0.00000","0.00000"
"3.60000","1.61583","2.54227","0.00000","0.00000"
"3.70000","1.78438","3.06010","0.00000","0.00000"
"3.80000","1.95833","3.61943","0.00000","0.00000"
"3.90000","2.13479","4.22938","0.00000","0.00000"
"4.00000","2.31458","4.89641","0.00000","0.00000"
"4.10000","2.49479","5.63697","0.00000","0.00000"
"4.20000","2.67521","6.44726","0.00000","0.00000"
"4.30000","2.85438","7.41789","0.00000","0.00000"
"4.40000","3.02792","8.64668","0.00000","0.00000"
"4.50000","3.19521","10.16995","0.00000","0.00000"
"4.60000","3.35021","11.98754","0.00000","0.00000"
"4.70000","3.48792","13.78970","0.00000","0.00000"
"4.80000","3.60604","15.56630","0.00000","0.00000"
"4.90000","3.70063","17.14347","0.00000","0.00000"
"5.00000","3.76979","18.40124","0.00000","0.00000"
"5.10000","3.81417","19.21439","0.00000","0.00000"
"5.20000","3.83458","19.62047","0.00000","0.00000"
"5.30000","3.83771","19.65766","0.00000","0.00000"
"5.40000","3.83729","19.59285","0.00000","0.00000"
"5.50000","3.83646","19.54371","0.00000","0.00000"
"5.60000","3.83458","19.47850","0.00000","0.00000"
"5.70000","3.82542","19.30530","0.00000","0.00000"
"5.80000","3.80417","18.88143","0.00000","0.00000"
"5.90000","3.76833","18.21925","0.00000","0.00000"
"6.00000","3.72292","17.35177","0.00000","0.00000"
"6.10000","3.66979","16.38144","0.00000","0.00000"
"6.20000","3.60875","15.33965","0.00000","0.00000"
"6.30000","3.54396","14.28668","0.00000","0.00000"
"6.40000","3.47938","13.29798","0.00000","0.00000"
