General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),10
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{EE95C238-2B8A-4A38-9BCF-B1B275098ECA}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_glued_10"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.06208","0.00000","0.00000"
"0.10000","0.00000","0.06052","0.00000","0.00000"
"0.20000","0.00000","0.06708","0.00000","0.00000"
"0.30000","0.00000","0.06130","0.00000","0.00000"
"0.40000","0.00000","0.06541","0.00000","0.00000"
"0.50000","0.00042","0.06302","0.00000","0.00000"
"0.60000","0.00104","0.06613","0.00000","0.00000"
"0.70000","0.00167","0.06472","0.00000","0.00000"
"0.80000","0.00271","0.06480","0.00000","0.00000"
"0.90000","0.00417","0.07010","0.00000","0.00000"
"1.00000","0.00729","0.07175","0.00000","0.00000"
"1.10000","0.01458","0.07734","0.00000","0.00000"
"1.20000","0.02479","0.08823","0.00000","0.00000"
"1.30000","0.03583","0.10393","0.00000","0.00000"
"1.40000","0.05313","0.12811","0.00000","0.00000"
"1.50000","0.07500","0.16171","0.00000","0.00000"
"1.60000","0.10271","0.21329","0.00000","0.00000"
"1.70000","0.13313","0.28385","0.00000","0.00000"
"1.80000","0.16896","0.36435","0.00000","0.00000"
"1.90000","0.20958","0.45727","0.00000","0.00000"
"2.00000","0.25708","0.56487","0.00000","0.00000"
"2.10000","0.30771","0.68239","0.00000","0.00000"
"2.20000","0.36375","0.81520","0.00000","0.00000"
"2.30000","0.42729","0.96841","0.00000","0.00000"
"2.40000","0.49854","1.14874","0.00000","0.00000"
"2.50000","0.57313","1.34444","0.00000","0.00000"
"2.60000","0.65500","1.55970","0.00000","0.00000"
"2.70000","0.74229","1.80196","0.00000","0.00000"
"2.80000","0.83313","2.06070","0.00000","0.00000"
"2.90000","0.93125","2.35129","0.00000","0.00000"
"3.00000","1.03271","2.66409","0.00000","0.00000"
"3.10000","1.14021","3.00380","0.00000","0.00000"
"3.20000","1.24938","3.35772","0.00000","0.00000"
"3.30000","1.36437","3.75163","0.00000","0.00000"
"3.40000","1.48104","4.16833","0.00000","0.00000"
"3.50000","1.59854","4.62046","0.00000","0.00000"
"3.60000","1.71604","5.10332","0.00000","0.00000"
"3.70000","1.83521","5.63849","0.00000","0.00000"
"3.80000","1.95542","6.23126","0.00000","0.00000"
"3.90000","2.07333","6.87785","0.00000","0.00000"
"4.00000","2.19021","7.63612","0.00000","0.00000"
"4.10000","2.30104","8.46322","0.00000","0.00000"
"4.20000","2.40625","9.33994","0.00000","0.00000"
"4.30000","2.50146","10.24610","0.00000","0.00000"
"4.40000","2.58958","11.18538","0.00000","0.00000"
"4.50000","2.66375","12.03977","0.00000","0.00000"
"4.60000","2.72771","12.82568","0.00000","0.00000"
"4.70000","2.77792","13.49889","0.00000","0.00000"
"4.80000","2.81375","13.99456","0.00000","0.00000"
"4.90000","2.83542","14.29741","0.00000","0.00000"
"5.00000","2.84292","14.40346","0.00000","0.00000"
"5.10000","2.84333","14.36409","0.00000","0.00000"
"5.20000","2.84333","14.32716","0.00000","0.00000"
"5.30000","2.84292","14.29652","0.00000","0.00000"
"5.40000","2.84271","14.27143","0.00000","0.00000"
"5.50000","2.84229","14.25074","0.00000","0.00000"
"5.60000","2.84167","14.22438","0.00000","0.00000"
"5.70000","2.84104","14.19758","0.00000","0.00000"
"5.80000","2.83896","14.15697","0.00000","0.00000"
"5.90000","2.83563","14.09081","0.00000","0.00000"
"6.00000","2.82917","13.98580","0.00000","0.00000"
"6.10000","2.81687","13.79479","0.00000","0.00000"
"6.20000","2.79896","13.51233","0.00000","0.00000"
"6.30000","2.77958","13.21410","0.00000","0.00000"
"6.40000","2.75646","12.86519","0.00000","0.00000"
"6.50000","2.73271","12.52470","0.00000","0.00000"
"6.60000","2.70854","12.17269","0.00000","0.00000"
"6.70000","2.68250","11.81880","0.00000","0.00000"
"6.80000","2.65875","11.50592","0.00000","0.00000"
"6.90000","2.63604","11.19745","0.00000","0.00000"
"7.00000","2.61729","10.96809","0.00000","0.00000"
"7.10000","2.60208","10.77080","0.00000","0.00000"
"7.20000","2.59354","10.66503","0.00000","0.00000"
"7.30000","2.58917","10.61315","0.00000","0.00000"
"7.40000","2.58729","10.59492","0.00000","0.00000"
"7.50000","2.58729","10.59747","0.00000","0.00000"
"7.60000","2.58729","10.60358","0.00000","0.00000"
"7.70000","2.58729","10.60616","0.00000","0.00000"
"7.80000","2.58729","10.60807","0.00000","0.00000"
"7.90000","2.58729","10.60918","0.00000","0.00000"
"8.00000","2.58729","10.61128","0.00000","0.00000"
"8.10000","2.58771","10.61209","0.00000","0.00000"
"8.20000","2.58813","10.61363","0.00000","0.00000"
"8.30000","2.58875","10.62166","0.00000","0.00000"
"8.40000","2.58917","10.62861","0.00000","0.00000"
"8.50000","2.59021","10.64046","0.00000","0.00000"
"8.60000","2.59271","10.66653","0.00000","0.00000"
"8.70000","2.59812","10.72631","0.00000","0.00000"
"8.80000","2.60646","10.82961","0.00000","0.00000"
"8.90000","2.61979","10.98462","0.00000","0.00000"
"9.00000","2.64229","11.25371","0.00000","0.00000"
"9.10000","2.67042","11.61156","0.00000","0.00000"
"9.20000","2.70604","12.08473","0.00000","0.00000"
"9.30000","2.74750","12.64923","0.00000","0.00000"
"9.40000","2.79083","13.26610","0.00000","0.00000"
"9.50000","2.83458","13.91438","0.00000","0.00000"
"9.60000","2.87812","14.58204","0.00000","0.00000"
"9.70000","2.92333","15.29131","0.00000","0.00000"
"9.80000","2.96938","16.04688","0.00000","0.00000"
"9.90000","3.01229","16.77436","0.00000","0.00000"
"10.00000","3.05063","17.44136","0.00000","0.00000"
"10.10000","3.08479","18.03560","0.00000","0.00000"
"10.20000","3.11500","18.57523","0.00000","0.00000"
"10.30000","3.13958","19.03951","0.00000","0.00000"
"10.40000","3.16229","19.48188","0.00000","0.00000"
"10.50000","3.17667","19.75702","0.00000","0.00000"
"10.60000","3.18854","19.97150","0.00000","0.00000"
"10.70000","3.19583","20.12020","0.00000","0.00000"
"10.80000","3.19813","20.14163","0.00000","0.00000"
"10.90000","3.19833","20.11752","0.00000","0.00000"
"11.00000","3.19833","20.08963","0.00000","0.00000"
"11.10000","3.19833","20.06698","0.00000","0.00000"
"11.20000","3.19833","20.04474","0.00000","0.00000"
"11.30000","3.19833","20.02670","0.00000","0.00000"
"11.40000","3.19833","20.01110","0.00000","0.00000"
"11.50000","3.19833","19.99628","0.00000","0.00000"
"11.60000","3.19833","19.98282","0.00000","0.00000"
"11.70000","3.19833","19.97041","0.00000","0.00000"
"11.80000","3.19833","19.95971","0.00000","0.00000"
"11.90000","3.19833","19.94973","0.00000","0.00000"
"12.00000","3.19833","19.93919","0.00000","0.00000"
"12.10000","3.19833","19.92990","0.00000","0.00000"
"12.20000","3.19833","19.92251","0.00000","0.00000"
"12.30000","3.19833","19.91356","0.00000","0.00000"
"12.40000","3.19833","19.90485","0.00000","0.00000"
"12.50000","3.19854","19.89844","0.00000","0.00000"
"12.60000","3.19854","19.89357","0.00000","0.00000"
"12.70000","3.19896","19.89254","0.00000","0.00000"
"12.80000","3.20021","19.90790","0.00000","0.00000"
"12.90000","3.20292","19.95622","0.00000","0.00000"
"13.00000","3.20708","20.04302","0.00000","0.00000"
"13.10000","3.21479","20.19114","0.00000","0.00000"
"13.20000","3.22875","20.47816","0.00000","0.00000"
"13.30000","3.24563","20.88670","0.00000","0.00000"
"13.40000","3.26458","21.29502","0.00000","0.00000"
"13.50000","3.28604","21.82209","0.00000","0.00000"
"13.60000","3.30667","22.27734","0.00000","0.00000"
"13.70000","3.32729","22.80303","0.00000","0.00000"
"13.80000","3.34771","23.26983","0.00000","0.00000"
"13.90000","3.36625","23.76973","0.00000","0.00000"
"14.00000","3.38188","24.16055","0.00000","0.00000"
