General : End date,"17/04/2023"
General : Excluded,False
General : Specimen number (included),3
General : Start date,"17/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{BA65FB46-A68A-4DA1-A76F-D21EA26E734A}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_glued_3"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.21927","0.00000","0.00000"
"0.10000","0.00000","0.22227","0.00000","0.00000"
"0.20000","0.00000","0.21979","0.00000","0.00000"
"0.30000","0.00000","0.22020","0.00000","0.00000"
"0.40000","0.00000","0.21916","0.00000","0.00000"
"0.50000","0.00000","0.21987","0.00000","0.00000"
"0.60000","0.00042","0.22089","0.00000","0.00000"
"0.70000","0.00063","0.22342","0.00000","0.00000"
"0.80000","0.00083","0.21968","0.00000","0.00000"
"0.90000","0.00104","0.21984","0.00000","0.00000"
"1.00000","0.00146","0.22298","0.00000","0.00000"
"1.10000","0.00229","0.22398","0.00000","0.00000"
"1.20000","0.00313","0.22278","0.00000","0.00000"
"1.30000","0.00479","0.22466","0.00000","0.00000"
"1.40000","0.00750","0.22664","0.00000","0.00000"
"1.50000","0.01250","0.23342","0.00000","0.00000"
"1.60000","0.02167","0.24334","0.00000","0.00000"
"1.70000","0.04188","0.26412","0.00000","0.00000"
"1.80000","0.06417","0.28877","0.00000","0.00000"
"1.90000","0.09146","0.31500","0.00000","0.00000"
"2.00000","0.12271","0.35093","0.00000","0.00000"
"2.10000","0.16042","0.39242","0.00000","0.00000"
"2.20000","0.20729","0.30824","0.00000","0.00000"
"2.30000","0.26250","0.40993","0.00000","0.00000"
"2.40000","0.32729","0.54420","0.00000","0.00000"
"2.50000","0.39771","0.67879","0.00000","0.00000"
"2.60000","0.47833","0.84073","0.00000","0.00000"
"2.70000","0.56667","1.04722","0.00000","0.00000"
"2.80000","0.66250","1.28894","0.00000","0.00000"
"2.90000","0.76625","1.57068","0.00000","0.00000"
"3.00000","0.87583","1.86493","0.00000","0.00000"
"3.10000","0.99188","2.20757","0.00000","0.00000"
"3.20000","1.11396","2.57707","0.00000","0.00000"
"3.30000","1.23979","2.97462","0.00000","0.00000"
"3.40000","1.37312","3.41187","0.00000","0.00000"
"3.50000","1.50979","3.88964","0.00000","0.00000"
"3.60000","1.64688","4.39231","0.00000","0.00000"
"3.70000","1.78771","4.92533","0.00000","0.00000"
"3.80000","1.92875","5.50407","0.00000","0.00000"
"3.90000","2.06979","6.14295","0.00000","0.00000"
"4.00000","2.21167","6.87066","0.00000","0.00000"
"4.10000","2.35021","7.70747","0.00000","0.00000"
"4.20000","2.48375","8.74438","0.00000","0.00000"
"4.30000","2.61063","9.97190","0.00000","0.00000"
"4.40000","2.72542","11.29914","0.00000","0.00000"
"4.50000","2.82896","12.55662","0.00000","0.00000"
"4.60000","2.91542","13.72814","0.00000","0.00000"
"4.70000","2.98646","14.77072","0.00000","0.00000"
"4.80000","3.03833","15.58883","0.00000","0.00000"
"4.90000","3.07188","16.12903","0.00000","0.00000"
"5.00000","3.08771","16.37948","0.00000","0.00000"
"5.10000","3.09063","16.40588","0.00000","0.00000"
"5.20000","3.09063","16.35444","0.00000","0.00000"
"5.30000","3.09063","16.31661","0.00000","0.00000"
"5.40000","3.08979","16.28679","0.00000","0.00000"
"5.50000","3.08917","16.25896","0.00000","0.00000"
"5.60000","3.08750","16.21661","0.00000","0.00000"
"5.70000","3.08188","16.11643","0.00000","0.00000"
"5.80000","3.06833","15.88632","0.00000","0.00000"
"5.90000","3.04750","15.51640","0.00000","0.00000"
"6.00000","3.01813","15.01654","0.00000","0.00000"
"6.10000","2.98375","14.44524","0.00000","0.00000"
"6.20000","2.94542","13.82473","0.00000","0.00000"
"6.30000","2.90396","13.18771","0.00000","0.00000"
"6.40000","2.86042","12.54029","0.00000","0.00000"
"6.50000","2.81875","11.95203","0.00000","0.00000"
"6.60000","2.78063","11.43793","0.00000","0.00000"
"6.70000","2.74646","11.00543","0.00000","0.00000"
"6.80000","2.71542","10.62794","0.00000","0.00000"
"6.90000","2.68875","10.30156","0.00000","0.00000"
"7.00000","2.66479","10.02958","0.00000","0.00000"
"7.10000","2.65000","9.85038","0.00000","0.00000"
"7.20000","2.63708","9.70452","0.00000","0.00000"
"7.30000","2.63063","9.61960","0.00000","0.00000"
"7.40000","2.62958","9.61587","0.00000","0.00000"
"7.50000","2.62958","9.62452","0.00000","0.00000"
"7.60000","2.62958","9.63059","0.00000","0.00000"
"7.70000","2.62958","9.63527","0.00000","0.00000"
