General : End date,"17/04/2023"
General : Excluded,False
General : Specimen number (included),5
General : Start date,"17/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{149B348D-A297-43E6-B655-B7772B309B54}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_glued_5"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","-0.00021","0.03112","0.00000","0.00000"
"0.10000","-0.00021","0.03210","0.00000","0.00000"
"0.20000","-0.00021","0.03140","0.00000","0.00000"
"0.30000","-0.00021","0.03067","0.00000","0.00000"
"0.40000","-0.00021","0.02951","0.00000","0.00000"
"0.50000","-0.00021","0.03105","0.00000","0.00000"
"0.60000","-0.00021","0.03145","0.00000","0.00000"
"0.70000","-0.00021","0.03069","0.00000","0.00000"
"0.80000","-0.00021","0.03106","0.00000","0.00000"
"0.90000","-0.00021","0.03175","0.00000","0.00000"
"1.00000","0.00021","0.03043","0.00000","0.00000"
"1.10000","0.00021","0.02955","0.00000","0.00000"
"1.20000","0.00042","0.03108","0.00000","0.00000"
"1.30000","0.00063","0.03269","0.00000","0.00000"
"1.40000","0.00104","0.02963","0.00000","0.00000"
"1.50000","0.00125","0.03152","0.00000","0.00000"
"1.60000","0.00146","0.03268","0.00000","0.00000"
"1.70000","0.00229","0.03257","0.00000","0.00000"
"1.80000","0.00354","0.03440","0.00000","0.00000"
"1.90000","0.00583","0.03735","0.00000","0.00000"
"2.00000","0.01042","0.04313","0.00000","0.00000"
"2.10000","0.02208","0.05445","0.00000","0.00000"
"2.20000","0.04417","0.06964","0.00000","0.00000"
"2.30000","0.07021","0.07412","0.00000","0.00000"
"2.40000","0.10396","0.08871","0.00000","0.00000"
"2.50000","0.14667","0.09516","0.00000","0.00000"
"2.60000","0.19813","0.11344","0.00000","0.00000"
"2.70000","0.25813","0.12252","0.00000","0.00000"
"2.80000","0.33167","0.14397","0.00000","0.00000"
"2.90000","0.41250","0.06319","0.00000","0.00000"
"3.00000","0.50563","0.09545","0.00000","0.00000"
"3.10000","0.61146","0.11133","0.00000","0.00000"
"3.20000","0.72958","0.13155","0.00000","0.00000"
"3.30000","0.85667","0.15167","0.00000","0.00000"
"3.40000","0.99646","0.25180","0.00000","0.00000"
"3.50000","1.14562","0.28165","0.00000","0.00000"
"3.60000","1.30625","0.61871","0.00000","0.00000"
"3.70000","1.47896","1.03539","0.00000","0.00000"
"3.80000","1.66146","1.48730","0.00000","0.00000"
"3.90000","1.85250","1.99576","0.00000","0.00000"
"4.00000","2.05063","2.56200","0.00000","0.00000"
"4.10000","2.25688","3.18049","0.00000","0.00000"
"4.20000","2.46917","3.84897","0.00000","0.00000"
"4.30000","2.68417","4.57724","0.00000","0.00000"
"4.40000","2.90167","5.38671","0.00000","0.00000"
"4.50000","3.11937","6.26542","0.00000","0.00000"
"4.60000","3.33771","7.63884","0.00000","0.00000"
"4.70000","3.54292","11.49939","0.00000","0.00000"
"4.80000","3.73333","11.84118","0.00000","0.00000"
"4.90000","3.92146","11.60422","0.00000","0.00000"
"5.00000","4.09229","14.40686","0.00000","0.00000"
"5.10000","4.24104","16.06837","0.00000","0.00000"
"5.20000","4.36083","19.10954","0.00000","0.00000"
"5.30000","4.44938","21.02394","0.00000","0.00000"
"5.40000","4.50354","22.48339","0.00000","0.00000"
"5.50000","4.52583","23.34274","0.00000","0.00000"
"5.60000","4.52667","23.29630","0.00000","0.00000"
"5.70000","4.52583","23.18676","0.00000","0.00000"
"5.80000","4.52375","23.00953","0.00000","0.00000"
"5.90000","4.51417","22.54659","0.00000","0.00000"
"6.00000","4.48604","21.47945","0.00000","0.00000"
"6.10000","4.44333","20.21201","0.00000","0.00000"
"6.20000","4.38688","18.98854","0.00000","0.00000"
"6.30000","4.31833","17.42652","0.00000","0.00000"
"6.40000","4.24646","15.85703","0.00000","0.00000"
"6.50000","4.17438","14.03134","0.00000","0.00000"
"6.60000","4.10229","12.97908","0.00000","0.00000"
"6.70000","4.03125","12.37234","0.00000","0.00000"
"6.80000","3.96083","11.76741","0.00000","0.00000"
"6.90000","3.89521","10.27646","0.00000","0.00000"
"7.00000","3.84104","9.53472","0.00000","0.00000"
"7.10000","3.79458","9.23720","0.00000","0.00000"
"7.20000","3.75417","8.91820","0.00000","0.00000"
"7.30000","3.72146","8.79811","0.00000","0.00000"
"7.40000","3.69729","8.76599","0.00000","0.00000"
"7.50000","3.68313","8.76169","0.00000","0.00000"
"7.60000","3.67729","8.77621","0.00000","0.00000"
"7.70000","3.67646","8.81955","0.00000","0.00000"
"7.80000","3.67646","8.85756","0.00000","0.00000"
"7.90000","3.67646","8.87990","0.00000","0.00000"
"8.00000","3.67688","8.89396","0.00000","0.00000"
"8.10000","3.67708","8.90737","0.00000","0.00000"
"8.20000","3.67771","8.93979","0.00000","0.00000"
"8.30000","3.67833","8.97478","0.00000","0.00000"
"8.40000","3.68042","9.03715","0.00000","0.00000"
"8.50000","3.68500","9.19571","0.00000","0.00000"
"8.60000","3.69375","9.50939","0.00000","0.00000"
"8.70000","3.70688","9.86152","0.00000","0.00000"
"8.80000","3.73104","9.96566","0.00000","0.00000"
"8.90000","3.76417","10.00226","0.00000","0.00000"
"9.00000","3.80896","10.22751","0.00000","0.00000"
"9.10000","3.86188","10.62197","0.00000","0.00000"
"9.20000","3.91938","11.28020","0.00000","0.00000"
"9.30000","3.97833","12.60413","0.00000","0.00000"
"9.40000","4.04208","13.31099","0.00000","0.00000"
"9.50000","4.10687","14.08280","0.00000","0.00000"
"9.60000","4.17333","14.70418","0.00000","0.00000"
"9.70000","4.23875","15.93735","0.00000","0.00000"
"9.80000","4.29896","17.50068","0.00000","0.00000"
"9.90000","4.34958","18.52896","0.00000","0.00000"
"10.00000","4.39229","19.42461","0.00000","0.00000"
"10.10000","4.42771","20.22590","0.00000","0.00000"
"10.20000","4.45458","20.92428","0.00000","0.00000"
"10.30000","4.46917","21.33215","0.00000","0.00000"
"10.40000","4.47729","21.56827","0.00000","0.00000"
"10.50000","4.47917","21.60790","0.00000","0.00000"
"10.60000","4.47917","21.56133","0.00000","0.00000"
"10.70000","4.47917","21.52669","0.00000","0.00000"
"10.80000","4.47917","21.49961","0.00000","0.00000"
"10.90000","4.47875","21.47803","0.00000","0.00000"
"11.00000","4.47875","21.45769","0.00000","0.00000"
"11.10000","4.47854","21.43526","0.00000","0.00000"
"11.20000","4.47833","21.40822","0.00000","0.00000"
"11.30000","4.47792","21.37763","0.00000","0.00000"
"11.40000","4.47771","21.34706","0.00000","0.00000"
"11.50000","4.47750","21.32537","0.00000","0.00000"
"11.60000","4.47729","21.30496","0.00000","0.00000"
"11.70000","4.47708","21.27704","0.00000","0.00000"
"11.80000","4.47646","21.24013","0.00000","0.00000"
"11.90000","4.47604","21.20584","0.00000","0.00000"
"12.00000","4.47542","21.16857","0.00000","0.00000"
"12.10000","4.47479","21.13015","0.00000","0.00000"
"12.20000","4.47417","21.09613","0.00000","0.00000"
"12.30000","4.47375","21.06620","0.00000","0.00000"
"12.40000","4.47333","21.04150","0.00000","0.00000"
"12.50000","4.47292","21.02177","0.00000","0.00000"
"12.60000","4.47292","21.01035","0.00000","0.00000"
"12.70000","4.47271","21.00308","0.00000","0.00000"
"12.80000","4.47271","21.00033","0.00000","0.00000"
"12.90000","4.47271","20.99586","0.00000","0.00000"
"13.00000","4.47271","20.99266","0.00000","0.00000"
"13.10000","4.47271","20.98956","0.00000","0.00000"
"13.20000","4.47271","20.98572","0.00000","0.00000"
"13.30000","4.47271","20.98202","0.00000","0.00000"
"13.40000","4.47271","20.97847","0.00000","0.00000"
"13.50000","4.47271","20.97502","0.00000","0.00000"
"13.60000","4.47312","20.97131","0.00000","0.00000"
"13.70000","4.47312","20.96813","0.00000","0.00000"
"13.80000","4.47333","20.96796","0.00000","0.00000"
"13.90000","4.47354","20.97670","0.00000","0.00000"
"14.00000","4.47375","20.99430","0.00000","0.00000"
"14.10000","4.47417","21.02088","0.00000","0.00000"
"14.20000","4.47458","21.03795","0.00000","0.00000"
"14.30000","4.47542","21.07063","0.00000","0.00000"
"14.40000","4.47667","21.12727","0.00000","0.00000"
"14.50000","4.47875","21.21098","0.00000","0.00000"
"14.60000","4.48188","21.32813","0.00000","0.00000"
"14.70000","4.48729","21.48961","0.00000","0.00000"
"14.80000","4.49521","21.70743","0.00000","0.00000"
"14.90000","4.50833","22.04398","0.00000","0.00000"
"15.00000","4.52979","22.65645","0.00000","0.00000"
"15.10000","4.55083","23.28370","0.00000","0.00000"
"15.20000","4.57458","24.00358","0.00000","0.00000"
"15.30000","4.59979","24.74344","0.00000","0.00000"
"15.40000","4.62313","25.53311","0.00000","0.00000"
"15.50000","4.64708","26.32660","0.00000","0.00000"
"15.60000","4.66542","26.99267","0.00000","0.00000"
"15.70000","4.68146","27.55084","0.00000","0.00000"
"15.80000","4.69146","27.92652","0.00000","0.00000"
"15.90000","4.69688","28.10585","0.00000","0.00000"
"16.00000","4.69958","28.18426","0.00000","0.00000"
"16.10000","4.70083","28.20637","0.00000","0.00000"
"16.20000","4.70146","28.20107","0.00000","0.00000"
"16.30000","4.70146","28.18207","0.00000","0.00000"
"16.40000","4.70167","28.15962","0.00000","0.00000"
"16.50000","4.70167","28.14124","0.00000","0.00000"
"16.60000","4.70167","28.12112","0.00000","0.00000"
"16.70000","4.70167","28.10540","0.00000","0.00000"
"16.80000","4.70167","28.09188","0.00000","0.00000"
"16.90000","4.70167","28.07783","0.00000","0.00000"
"17.00000","4.70188","28.06840","0.00000","0.00000"
"17.10000","4.70208","28.06284","0.00000","0.00000"
"17.20000","4.70250","28.06656","0.00000","0.00000"
"17.30000","4.70333","28.08948","0.00000","0.00000"
"17.40000","4.70500","28.13444","0.00000","0.00000"
"17.50000","4.70792","28.23125","0.00000","0.00000"
"17.60000","4.71333","28.41358","0.00000","0.00000"
"17.70000","4.72042","28.68254","0.00000","0.00000"
"17.80000","4.72708","28.93479","0.00000","0.00000"
"17.90000","4.73354","29.17290","0.00000","0.00000"
"18.00000","4.74125","29.45119","0.00000","0.00000"
"18.10000","4.75042","29.79459","0.00000","0.00000"
"18.20000","4.76063","30.20224","0.00000","0.00000"
"18.30000","4.76875","30.52474","0.00000","0.00000"
"18.40000","4.77542","30.77336","0.00000","0.00000"
"18.50000","4.78250","31.04075","0.00000","0.00000"
"18.60000","4.78938","31.31700","0.00000","0.00000"
"18.70000","4.79646","31.58970","0.00000","0.00000"
"18.80000","4.80167","31.80326","0.00000","0.00000"
"18.90000","4.80500","31.93614","0.00000","0.00000"
"19.00000","4.80750","32.01456","0.00000","0.00000"
"19.10000","4.80938","32.07320","0.00000","0.00000"
"19.20000","4.81083","32.11340","0.00000","0.00000"
"19.30000","4.81229","32.15534","0.00000","0.00000"
"19.40000","4.81438","32.22308","0.00000","0.00000"
"19.50000","4.81729","32.32708","0.00000","0.00000"
"19.60000","4.82104","32.46609","0.00000","0.00000"
"19.70000","4.82562","32.65152","0.00000","0.00000"
"19.80000","4.83125","32.87487","0.00000","0.00000"
"19.90000","4.83813","33.15327","0.00000","0.00000"
"20.00000","4.84354","33.39186","0.00000","0.00000"
"20.10000","4.84813","33.58529","0.00000","0.00000"
"20.20000","4.85208","33.75182","0.00000","0.00000"
"20.30000","4.85667","33.92895","0.00000","0.00000"
"20.40000","4.86188","34.13621","0.00000","0.00000"
"20.50000","4.86792","34.39404","0.00000","0.00000"
"20.60000","4.87313","34.62300","0.00000","0.00000"
"20.70000","4.87750","34.81842","0.00000","0.00000"
"20.80000","4.88021","34.93755","0.00000","0.00000"
"20.90000","4.88250","35.01760","0.00000","0.00000"
"21.00000","4.88417","35.07821","0.00000","0.00000"
"21.10000","4.88562","35.12342","0.00000","0.00000"
"21.20000","4.88708","35.17506","0.00000","0.00000"
"21.30000","4.88854","35.22456","0.00000","0.00000"
"21.40000","4.89042","35.28703","0.00000","0.00000"
"21.50000","4.89313","35.38787","0.00000","0.00000"
"21.60000","4.89687","35.54370","0.00000","0.00000"
"21.70000","4.90250","35.77650","0.00000","0.00000"
"21.80000","4.90917","36.08369","0.00000","0.00000"
"21.90000","4.91563","36.39292","0.00000","0.00000"
"22.00000","4.92083","36.64042","0.00000","0.00000"
"22.10000","4.92458","36.81614","0.00000","0.00000"
"22.20000","4.92792","36.95381","0.00000","0.00000"
"22.30000","4.93104","37.07851","0.00000","0.00000"
"22.40000","4.93438","37.21679","0.00000","0.00000"
"22.50000","4.93896","37.41244","0.00000","0.00000"
"22.60000","4.94458","37.66895","0.00000","0.00000"
"22.70000","4.95063","37.96333","0.00000","0.00000"
"22.80000","4.95604","38.22101","0.00000","0.00000"
"22.90000","4.95937","38.38655","0.00000","0.00000"
"23.00000","4.96188","38.49245","0.00000","0.00000"
"23.10000","4.96396","38.56955","0.00000","0.00000"
"23.20000","4.96563","38.63090","0.00000","0.00000"
"23.30000","4.96708","38.69535","0.00000","0.00000"
"23.40000","4.96875","38.75172","0.00000","0.00000"
"23.50000","4.97083","38.83239","0.00000","0.00000"
"23.60000","4.97354","38.94744","0.00000","0.00000"
"23.70000","4.97729","39.11542","0.00000","0.00000"
"23.80000","4.98313","39.38088","0.00000","0.00000"
"23.90000","4.99063","39.74087","0.00000","0.00000"
"24.00000","4.99729","40.10940","0.00000","0.00000"
"24.10000","5.00229","40.35967","0.00000","0.00000"
"24.20000","5.00583","40.53143","0.00000","0.00000"
"24.30000","5.00854","40.66024","0.00000","0.00000"
"24.40000","5.01083","40.75810","0.00000","0.00000"
"24.50000","5.01354","40.86906","0.00000","0.00000"
"24.60000","5.01667","41.01331","0.00000","0.00000"
"24.70000","5.02104","41.20374","0.00000","0.00000"
"24.80000","5.02625","41.45947","0.00000","0.00000"
"24.90000","5.03188","41.74693","0.00000","0.00000"
"25.00000","5.03667","42.01386","0.00000","0.00000"
"25.10000","5.03979","42.16629","0.00000","0.00000"
"25.20000","5.04188","42.27138","0.00000","0.00000"
"25.30000","5.04354","42.33328","0.00000","0.00000"
"25.40000","5.04479","42.38327","0.00000","0.00000"
"25.50000","5.04625","42.43417","0.00000","0.00000"
"25.60000","5.04750","42.48615","0.00000","0.00000"
"25.70000","5.04896","42.53947","0.00000","0.00000"
"25.80000","5.05104","42.62403","0.00000","0.00000"
"25.90000","5.05396","42.75429","0.00000","0.00000"
"26.00000","5.05833","42.96197","0.00000","0.00000"
"26.10000","5.06500","43.30746","0.00000","0.00000"
"26.20000","5.07375","43.76965","0.00000","0.00000"
"26.30000","5.08000","44.15523","0.00000","0.00000"
"26.40000","5.08396","44.36104","0.00000","0.00000"
"26.50000","5.08646","44.47802","0.00000","0.00000"
"26.60000","5.08792","44.54828","0.00000","0.00000"
"26.70000","5.08917","44.59070","0.00000","0.00000"
"26.80000","5.09062","44.63669","0.00000","0.00000"
"26.90000","5.09208","44.70027","0.00000","0.00000"
"27.00000","5.09438","44.80065","0.00000","0.00000"
"27.10000","5.09708","44.92273","0.00000","0.00000"
"27.20000","5.10042","45.08954","0.00000","0.00000"
"27.30000","5.10479","45.29974","0.00000","0.00000"
"27.40000","5.11104","45.62658","0.00000","0.00000"
"27.50000","5.11750","46.01102","0.00000","0.00000"
"27.60000","5.12188","46.25698","0.00000","0.00000"
"27.70000","5.12438","46.39311","0.00000","0.00000"
"27.80000","5.12646","46.48633","0.00000","0.00000"
"27.90000","5.12792","46.55104","0.00000","0.00000"
"28.00000","5.12937","46.60669","0.00000","0.00000"
"28.10000","5.13104","46.67502","0.00000","0.00000"
"28.20000","5.13354","46.78904","0.00000","0.00000"
"28.30000","5.13646","46.93068","0.00000","0.00000"
"28.40000","5.14063","47.14219","0.00000","0.00000"
"28.50000","5.14542","47.39610","0.00000","0.00000"
"28.60000","5.15167","47.73664","0.00000","0.00000"
"28.70000","5.15688","48.06599","0.00000","0.00000"
"28.80000","5.16000","48.23556","0.00000","0.00000"
"28.90000","5.16208","48.34293","0.00000","0.00000"
"29.00000","5.16354","48.40453","0.00000","0.00000"
"29.10000","5.16500","48.46005","0.00000","0.00000"
"29.20000","5.16604","48.50451","0.00000","0.00000"
"29.30000","5.16729","48.54845","0.00000","0.00000"
"29.40000","5.16875","48.60538","0.00000","0.00000"
"29.50000","5.17104","48.71096","0.00000","0.00000"
"29.60000","5.17479","48.90511","0.00000","0.00000"
"29.70000","5.17979","49.18188","0.00000","0.00000"
"29.80000","5.18688","49.54375","0.00000","0.00000"
"29.90000","5.19500","50.03498","0.00000","0.00000"
"30.00000","5.20042","50.37486","0.00000","0.00000"
"30.10000","5.20354","50.55513","0.00000","0.00000"
"30.20000","5.20542","50.64712","0.00000","0.00000"
"30.30000","5.20667","50.69770","0.00000","0.00000"
"30.40000","5.20771","50.73098","0.00000","0.00000"
"30.50000","5.20896","50.77464","0.00000","0.00000"
"30.60000","5.21021","50.82824","0.00000","0.00000"
"30.70000","5.21208","50.90685","0.00000","0.00000"
"30.80000","5.21417","51.01792","0.00000","0.00000"
"30.90000","5.21750","51.18351","0.00000","0.00000"
"31.00000","5.22208","51.43380","0.00000","0.00000"
"31.10000","5.22813","51.76656","0.00000","0.00000"
"31.20000","5.23500","52.18171","0.00000","0.00000"
"31.30000","5.23958","52.46844","0.00000","0.00000"
"31.40000","5.24229","52.63193","0.00000","0.00000"
"31.50000","5.24417","52.72598","0.00000","0.00000"
"31.60000","5.24542","52.78514","0.00000","0.00000"
"31.70000","5.24667","52.82280","0.00000","0.00000"
"31.80000","5.24771","52.86936","0.00000","0.00000"
"31.90000","5.24917","52.93262","0.00000","0.00000"
"32.00000","5.25146","53.04029","0.00000","0.00000"
"32.10000","5.25438","53.19764","0.00000","0.00000"
"32.20000","5.25875","53.43195","0.00000","0.00000"
"32.30000","5.26417","53.74073","0.00000","0.00000"
