General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),7
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{F423C9AF-985F-4914-A4EE-BB27812778DF}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"FSR_GLUED_7"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00042","0.02562","0.00000","0.00000"
"0.10000","0.00042","0.02611","0.00000","0.00000"
"0.20000","0.00042","0.02523","0.00000","0.00000"
"0.30000","0.00042","0.02419","0.00000","0.00000"
"0.40000","0.00042","0.02506","0.00000","0.00000"
"0.50000","0.00063","0.02463","0.00000","0.00000"
"0.60000","0.00083","0.02160","0.00000","0.00000"
"0.70000","0.00104","0.02704","0.00000","0.00000"
"0.80000","0.00104","0.02603","0.00000","0.00000"
"0.90000","0.00125","0.02737","0.00000","0.00000"
"1.00000","0.00146","0.02435","0.00000","0.00000"
"1.10000","0.00188","0.02564","0.00000","0.00000"
"1.20000","0.00250","0.02802","0.00000","0.00000"
"1.30000","0.00375","0.02728","0.00000","0.00000"
"1.40000","0.00563","0.02709","0.00000","0.00000"
"1.50000","0.00958","0.03173","0.00000","0.00000"
"1.60000","0.01979","0.04164","0.00000","0.00000"
"1.70000","0.03688","0.04938","0.00000","0.00000"
"1.80000","0.05479","0.05967","0.00000","0.00000"
"1.90000","0.08104","0.05317","0.00000","0.00000"
"2.00000","0.11333","0.05681","0.00000","0.00000"
"2.10000","0.15208","0.05945","0.00000","0.00000"
"2.20000","0.19917","0.06237","0.00000","0.00000"
"2.30000","0.25667","0.05334","0.00000","0.00000"
"2.40000","0.32354","0.06738","0.00000","0.00000"
"2.50000","0.39875","0.22412","0.00000","0.00000"
"2.60000","0.48333","0.39639","0.00000","0.00000"
"2.70000","0.57333","0.58342","0.00000","0.00000"
"2.80000","0.67292","0.79660","0.00000","0.00000"
"2.90000","0.77896","1.02787","0.00000","0.00000"
"3.00000","0.89271","1.29178","0.00000","0.00000"
"3.10000","1.01313","1.57876","0.00000","0.00000"
"3.20000","1.14188","1.89187","0.00000","0.00000"
"3.30000","1.27479","2.23695","0.00000","0.00000"
"3.40000","1.41458","2.60596","0.00000","0.00000"
"3.50000","1.56146","3.00249","0.00000","0.00000"
"3.60000","1.71229","3.42829","0.00000","0.00000"
"3.70000","1.86708","3.89200","0.00000","0.00000"
"3.80000","2.02521","4.42541","0.00000","0.00000"
"3.90000","2.18646","4.99896","0.00000","0.00000"
"4.00000","2.34875","5.63009","0.00000","0.00000"
"4.10000","2.50938","6.34575","0.00000","0.00000"
"4.20000","2.66833","7.25085","0.00000","0.00000"
"4.30000","2.82250","8.35426","0.00000","0.00000"
"4.40000","2.97146","9.61238","0.00000","0.00000"
"4.50000","3.10979","10.93687","0.00000","0.00000"
"4.60000","3.23646","12.31034","0.00000","0.00000"
"4.70000","3.34646","13.70901","0.00000","0.00000"
"4.80000","3.44062","15.04516","0.00000","0.00000"
"4.90000","3.51188","16.16899","0.00000","0.00000"
"5.00000","3.56479","17.04260","0.00000","0.00000"
"5.10000","3.59688","17.61030","0.00000","0.00000"
"5.20000","3.60958","17.84497","0.00000","0.00000"
"5.30000","3.61000","17.79958","0.00000","0.00000"
"5.40000","3.60958","17.74886","0.00000","0.00000"
"5.50000","3.60917","17.70781","0.00000","0.00000"
"5.60000","3.60812","17.66070","0.00000","0.00000"
"5.70000","3.60500","17.58905","0.00000","0.00000"
"5.80000","3.59646","17.42204","0.00000","0.00000"
"5.90000","3.57646","17.06747","0.00000","0.00000"
"6.00000","3.54542","16.49976","0.00000","0.00000"
"6.10000","3.50396","15.76795","0.00000","0.00000"
"6.20000","3.45542","14.96193","0.00000","0.00000"
"6.30000","3.40396","14.14308","0.00000","0.00000"
"6.40000","3.35271","13.37165","0.00000","0.00000"
"6.50000","3.29896","12.65333","0.00000","0.00000"
"6.60000","3.24521","11.96252","0.00000","0.00000"
"6.70000","3.19563","11.33769","0.00000","0.00000"
"6.80000","3.14938","10.81665","0.00000","0.00000"
"6.90000","3.10646","10.37340","0.00000","0.00000"
"7.00000","3.06771","9.97713","0.00000","0.00000"
"7.10000","3.03542","9.65299","0.00000","0.00000"
"7.20000","3.00938","9.40950","0.00000","0.00000"
"7.30000","2.99375","9.24791","0.00000","0.00000"
"7.40000","2.98563","9.17453","0.00000","0.00000"
"7.50000","2.98271","9.15006","0.00000","0.00000"
"7.60000","2.98271","9.15797","0.00000","0.00000"
"7.70000","2.98271","9.16929","0.00000","0.00000"
"7.80000","2.98271","9.17381","0.00000","0.00000"
"7.90000","2.98313","9.17933","0.00000","0.00000"
"8.00000","2.98333","9.18339","0.00000","0.00000"
"8.10000","2.98375","9.18577","0.00000","0.00000"
"8.20000","2.98417","9.19431","0.00000","0.00000"
"8.30000","2.98521","9.20144","0.00000","0.00000"
"8.40000","2.98833","9.22748","0.00000","0.00000"
"8.50000","2.99563","9.29742","0.00000","0.00000"
"8.60000","3.00938","9.42967","0.00000","0.00000"
"8.70000","3.02979","9.62141","0.00000","0.00000"
"8.80000","3.06042","9.93512","0.00000","0.00000"
"8.90000","3.09938","10.33459","0.00000","0.00000"
"9.00000","3.14583","10.82649","0.00000","0.00000"
"9.10000","3.19917","11.41957","0.00000","0.00000"
"9.20000","3.25333","12.09098","0.00000","0.00000"
"9.30000","3.30938","12.81190","0.00000","0.00000"
"9.40000","3.37188","13.64332","0.00000","0.00000"
"9.50000","3.43458","14.57706","0.00000","0.00000"
"9.60000","3.49583","15.53591","0.00000","0.00000"
"9.70000","3.55479","16.51637","0.00000","0.00000"
"9.80000","3.61167","17.52272","0.00000","0.00000"
"9.90000","3.66083","18.44007","0.00000","0.00000"
"10.00000","3.70188","19.21552","0.00000","0.00000"
"10.10000","3.73542","19.86838","0.00000","0.00000"
"10.20000","3.76208","20.35417","0.00000","0.00000"
"10.30000","3.77979","20.68863","0.00000","0.00000"
"10.40000","3.79188","20.90708","0.00000","0.00000"
