General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),8
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{6FAFC773-FE4A-4DD2-AA38-A6FD4BADF796}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_glued_8"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.07006","0.00000","0.00000"
"0.10000","0.00000","0.07036","0.00000","0.00000"
"0.20000","0.00000","0.06901","0.00000","0.00000"
"0.30000","0.00042","0.07046","0.00000","0.00000"
"0.40000","0.00042","0.06844","0.00000","0.00000"
"0.50000","0.00063","0.06964","0.00000","0.00000"
"0.60000","0.00104","0.06932","0.00000","0.00000"
"0.70000","0.00188","0.06999","0.00000","0.00000"
"0.80000","0.00313","0.07050","0.00000","0.00000"
"0.90000","0.00521","0.07227","0.00000","0.00000"
"1.00000","0.00958","0.07720","0.00000","0.00000"
"1.10000","0.01729","0.08241","0.00000","0.00000"
"1.20000","0.02875","0.09042","0.00000","0.00000"
"1.30000","0.04167","0.10056","0.00000","0.00000"
"1.40000","0.06104","0.11267","0.00000","0.00000"
"1.50000","0.08208","0.12620","0.00000","0.00000"
"1.60000","0.10958","0.14422","0.00000","0.00000"
"1.70000","0.14104","0.20461","0.00000","0.00000"
"1.80000","0.17771","0.27170","0.00000","0.00000"
"1.90000","0.22063","0.35193","0.00000","0.00000"
"2.00000","0.26771","0.50266","0.00000","0.00000"
"2.10000","0.31729","0.63106","0.00000","0.00000"
"2.20000","0.37375","0.73840","0.00000","0.00000"
"2.30000","0.43792","0.81853","0.00000","0.00000"
"2.40000","0.50938","0.99606","0.00000","0.00000"
"2.50000","0.58521","1.24311","0.00000","0.00000"
"2.60000","0.66917","1.43986","0.00000","0.00000"
"2.70000","0.75729","1.69172","0.00000","0.00000"
"2.80000","0.85354","1.95291","0.00000","0.00000"
"2.90000","0.95312","2.25998","0.00000","0.00000"
"3.00000","1.05813","2.42071","0.00000","0.00000"
"3.10000","1.16708","2.67642","0.00000","0.00000"
"3.20000","1.28208","3.34786","0.00000","0.00000"
"3.30000","1.39958","3.52704","0.00000","0.00000"
"3.40000","1.52271","3.65398","0.00000","0.00000"
"3.50000","1.64813","4.50601","0.00000","0.00000"
"3.60000","1.77667","4.52887","0.00000","0.00000"
"3.70000","1.90604","5.15673","0.00000","0.00000"
"3.80000","2.03417","5.64201","0.00000","0.00000"
"3.90000","2.16375","5.83363","0.00000","0.00000"
"4.00000","2.29021","7.00119","0.00000","0.00000"
"4.10000","2.41750","7.29874","0.00000","0.00000"
"4.20000","2.54063","8.68430","0.00000","0.00000"
"4.30000","2.65438","10.00951","0.00000","0.00000"
"4.40000","2.75208","12.77948","0.00000","0.00000"
"4.50000","2.82979","14.17488","0.00000","0.00000"
"4.60000","2.89146","14.42397","0.00000","0.00000"
"4.70000","2.94042","14.32137","0.00000","0.00000"
"4.80000","2.97771","14.04325","0.00000","0.00000"
"4.90000","3.00313","14.06580","0.00000","0.00000"
"5.00000","3.01354","14.09632","0.00000","0.00000"
"5.10000","3.01479","14.03176","0.00000","0.00000"
"5.20000","3.01479","13.97020","0.00000","0.00000"
"5.30000","3.01479","13.93233","0.00000","0.00000"
"5.40000","3.01479","13.90188","0.00000","0.00000"
"5.50000","3.01438","13.87288","0.00000","0.00000"
"5.60000","3.01396","13.82601","0.00000","0.00000"
"5.70000","3.01333","13.77659","0.00000","0.00000"
"5.80000","3.01292","13.74092","0.00000","0.00000"
"5.90000","3.01167","13.67307","0.00000","0.00000"
"6.00000","3.00938","13.54897","0.00000","0.00000"
"6.10000","3.00563","13.35084","0.00000","0.00000"
"6.20000","3.00104","13.09485","0.00000","0.00000"
"6.30000","2.99521","12.81282","0.00000","0.00000"
"6.40000","2.98729","12.52329","0.00000","0.00000"
"6.50000","2.97583","12.33920","0.00000","0.00000"
"6.60000","2.96396","12.16366","0.00000","0.00000"
"6.70000","2.95458","12.04619","0.00000","0.00000"
"6.80000","2.94438","11.94861","0.00000","0.00000"
"6.90000","2.93167","11.88737","0.00000","0.00000"
"7.00000","2.92167","11.85367","0.00000","0.00000"
"7.10000","2.91438","11.84651","0.00000","0.00000"
"7.20000","2.90708","11.83644","0.00000","0.00000"
"7.30000","2.89854","11.82842","0.00000","0.00000"
"7.40000","2.89125","11.82670","0.00000","0.00000"
"7.50000","2.88667","11.82832","0.00000","0.00000"
"7.60000","2.88479","11.84924","0.00000","0.00000"
"7.70000","2.88438","11.87927","0.00000","0.00000"
"7.80000","2.88438","11.90795","0.00000","0.00000"
"7.90000","2.88438","11.92672","0.00000","0.00000"
"8.00000","2.88438","11.93776","0.00000","0.00000"
"8.10000","2.88438","11.94661","0.00000","0.00000"
"8.20000","2.88438","11.95348","0.00000","0.00000"
"8.30000","2.88438","11.95955","0.00000","0.00000"
"8.40000","2.88438","11.96299","0.00000","0.00000"
"8.50000","2.88479","11.96624","0.00000","0.00000"
"8.60000","2.88479","11.96980","0.00000","0.00000"
"8.70000","2.88500","11.98330","0.00000","0.00000"
"8.80000","2.88562","12.01163","0.00000","0.00000"
"8.90000","2.88583","12.03814","0.00000","0.00000"
"9.00000","2.88625","12.05160","0.00000","0.00000"
"9.10000","2.88729","12.09336","0.00000","0.00000"
"9.20000","2.88896","12.16643","0.00000","0.00000"
"9.30000","2.89125","12.28577","0.00000","0.00000"
"9.40000","2.89563","12.49274","0.00000","0.00000"
"9.50000","2.90563","12.93010","0.00000","0.00000"
"9.60000","2.92375","13.52844","0.00000","0.00000"
"9.70000","2.94313","13.67107","0.00000","0.00000"
