General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),9
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{AE52AFC5-21CF-4046-912D-6DE165DCD513}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,""

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00021","0.05171","0.00000","0.00000"
"0.10000","0.00021","0.05244","0.00000","0.00000"
"0.20000","0.00021","0.05206","0.00000","0.00000"
"0.30000","0.00021","0.05137","0.00000","0.00000"
"0.40000","0.00021","0.05115","0.00000","0.00000"
"0.50000","0.00021","0.05096","0.00000","0.00000"
"0.60000","0.00021","0.04969","0.00000","0.00000"
"0.70000","0.00042","0.05135","0.00000","0.00000"
"0.80000","0.00042","0.05098","0.00000","0.00000"
"0.90000","0.00063","0.05082","0.00000","0.00000"
"1.00000","0.00104","0.05179","0.00000","0.00000"
"1.10000","0.00125","0.05282","0.00000","0.00000"
"1.20000","0.00146","0.05358","0.00000","0.00000"
"1.30000","0.00188","0.05401","0.00000","0.00000"
"1.40000","0.00292","0.05301","0.00000","0.00000"
"1.50000","0.00479","0.05479","0.00000","0.00000"
"1.60000","0.00812","0.05770","0.00000","0.00000"
"1.70000","0.01500","0.06412","0.00000","0.00000"
"1.80000","0.02771","0.07853","0.00000","0.00000"
"1.90000","0.04188","0.09365","0.00000","0.00000"
"2.00000","0.06563","0.11797","0.00000","0.00000"
"2.10000","0.09792","0.14969","0.00000","0.00000"
"2.20000","0.14000","0.19518","0.00000","0.00000"
"2.30000","0.19000","0.24649","0.00000","0.00000"
"2.40000","0.24458","0.30605","0.00000","0.00000"
"2.50000","0.30958","0.35188","0.00000","0.00000"
"2.60000","0.38375","0.47366","0.00000","0.00000"
"2.70000","0.46375","0.58881","0.00000","0.00000"
"2.80000","0.55313","0.73574","0.00000","0.00000"
"2.90000","0.64875","0.99246","0.00000","0.00000"
"3.00000","0.75208","1.37969","0.00000","0.00000"
"3.10000","0.86271","1.63346","0.00000","0.00000"
"3.20000","0.98250","1.82306","0.00000","0.00000"
"3.30000","1.10833","2.28904","0.00000","0.00000"
"3.40000","1.24063","2.51361","0.00000","0.00000"
"3.50000","1.37750","2.98042","0.00000","0.00000"
"3.60000","1.51708","3.59604","0.00000","0.00000"
"3.70000","1.66333","4.19421","0.00000","0.00000"
"3.80000","1.81063","4.73995","0.00000","0.00000"
"3.90000","1.96063","5.28923","0.00000","0.00000"
"4.00000","2.10833","6.12649","0.00000","0.00000"
"4.10000","2.25458","6.55920","0.00000","0.00000"
"4.20000","2.39667","7.54331","0.00000","0.00000"
"4.30000","2.54146","8.16988","0.00000","0.00000"
"4.40000","2.67896","8.96062","0.00000","0.00000"
"4.50000","2.81313","9.18302","0.00000","0.00000"
"4.60000","2.94000","11.01128","0.00000","0.00000"
"4.70000","3.05417","11.65141","0.00000","0.00000"
"4.80000","3.16042","12.02948","0.00000","0.00000"
"4.90000","3.25000","14.48056","0.00000","0.00000"
"5.00000","3.32437","14.73117","0.00000","0.00000"
"5.10000","3.38354","14.81681","0.00000","0.00000"
"5.20000","3.42854","15.55000","0.00000","0.00000"
