#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321B3D122
#Date Time: 2023-04-18 13:00:23.465

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.01129246187576835,0.01191772863755326,0.003809535491722167,0.00190537766379404,0.002388285252927105,0.001439945279398618
0.1,0.01176077820876817,0.01233426973353393,0.003717298183322801,0.002077798721363532,0.002560691816515435,0.001496627893855879
0.2,0.01222864293489019,0.01279253037289796,0.003756211563860514,0.001897274324273803,0.002393962711948608,0.001459934109694721
0.3,0.01170658538334913,0.01230862286751714,0.003802374989021452,0.001645170428088847,0.002154986034833808,0.001391897651722303
0.4,0.01179555193841258,0.01239670002819876,0.003813545077399751,0.001657775622898102,0.002182673880780434,0.001419804653452539
0.5,0.01180639050349672,0.01240742716052878,0.003814890827112038,0.001608705400247798,0.002145949746769776,0.001420270133064324
0.6,0.01165826344734959,0.0122555581433288,0.003779364866840447,0.001548830724903877,0.002094816457070528,0.001410453605903709
0.7,0.01139813788533626,0.01205667069124527,0.003930109528245515,0.001610055956834521,0.002099652299048106,0.001347686756171267
0.8,0.0115119428187173,0.01212274154082331,0.003799478254207881,0.00162986412010618,0.002160543497808673,0.001418270480519478
0.9,0.01100117543913822,0.01165373472550206,0.003844954097214138,0.00172395289564666,0.002232601932580751,0.001418625321553893
1,0.01131188097154369,0.01193077092659397,0.003792709293961524,0.001685236940161112,0.002212899654018703,0.001434190131841466
1.1,0.01142839554619526,0.01202791152251132,0.003749990777731354,0.001551982023606159,0.002119667962303929,0.001443725759561181
1.2,0.01133626774298246,0.01196945130022152,0.00384145780762993,0.001635716531981938,0.002121108501883418,0.001350382428707648
1.3,0.01118904390059247,0.01181852347532655,0.003805626588023151,0.001845502988450093,0.002356580583913924,0.001465466058324182
1.4,0.01160903829759377,0.01225016375617875,0.0039111049408324,0.001658675993955921,0.002161170331568854,0.001385442582400079
1.5,0.01152955548697865,0.01212992610127987,0.003768880138078541,0.001465096216528197,0.002028917760421671,0.00140356701117869
1.6,0.01172961733415208,0.01233261965065974,0.003809144870203937,0.001787429055221777,0.002301285167729032,0.001449486390331804
1.7,0.01186690582521514,0.0124716839345069,0.003836593058655613,0.002117415047906923,0.002598182210685836,0.001505690643797822
