General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),10
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{DD8B0D15-5EB6-48B4-99F3-DE341429AD0D}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_housing_10"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.02305","0.00000","0.00000"
"0.10000","0.00000","0.02170","0.00000","0.00000"
"0.20000","0.00021","0.02228","0.00000","0.00000"
"0.30000","0.00021","0.02212","0.00000","0.00000"
"0.40000","0.00021","0.02297","0.00000","0.00000"
"0.50000","0.00021","0.02125","0.00000","0.00000"
"0.60000","0.00021","0.02180","0.00000","0.00000"
"0.70000","0.00042","0.02117","0.00000","0.00000"
"0.80000","0.00042","0.02208","0.00000","0.00000"
"0.90000","0.00063","0.02150","0.00000","0.00000"
"1.00000","0.00083","0.02068","0.00000","0.00000"
"1.10000","0.00125","0.02174","0.00000","0.00000"
"1.20000","0.00146","0.02177","0.00000","0.00000"
"1.30000","0.00167","0.02259","0.00000","0.00000"
"1.40000","0.00250","0.02344","0.00000","0.00000"
"1.50000","0.00354","0.02325","0.00000","0.00000"
"1.60000","0.00521","0.02548","0.00000","0.00000"
"1.70000","0.00792","0.02780","0.00000","0.00000"
"1.80000","0.01458","0.03344","0.00000","0.00000"
"1.90000","0.03146","0.04853","0.00000","0.00000"
"2.00000","0.05417","0.05401","0.00000","0.00000"
"2.10000","0.08271","0.07802","0.00000","0.00000"
"2.20000","0.11604","0.10440","0.00000","0.00000"
"2.30000","0.15687","0.12643","0.00000","0.00000"
"2.40000","0.20542","0.06188","0.00000","0.00000"
"2.50000","0.26458","0.10896","0.00000","0.00000"
"2.60000","0.33375","0.08267","0.00000","0.00000"
"2.70000","0.41417","0.13722","0.00000","0.00000"
"2.80000","0.50729","0.18358","0.00000","0.00000"
"2.90000","0.60813","0.04342","0.00000","0.00000"
"3.00000","0.72104","0.14492","0.00000","0.00000"
"3.10000","0.84167","0.21316","0.00000","0.00000"
"3.20000","0.97229","0.37387","0.00000","0.00000"
"3.30000","1.11354","0.55809","0.00000","0.00000"
"3.40000","1.26479","1.10215","0.00000","0.00000"
"3.50000","1.42271","2.56448","0.00000","0.00000"
"3.60000","1.57729","4.52585","0.00000","0.00000"
"3.70000","1.73583","4.08111","0.00000","0.00000"
"3.80000","1.89604","5.08854","0.00000","0.00000"
"3.90000","2.05333","7.16176","0.00000","0.00000"
"4.00000","2.20354","8.57764","0.00000","0.00000"
"4.10000","2.34250","10.11477","0.00000","0.00000"
"4.20000","2.46854","11.49517","0.00000","0.00000"
"4.30000","2.57479","13.64927","0.00000","0.00000"
"4.40000","2.66021","14.88716","0.00000","0.00000"
"4.50000","2.72708","15.64624","0.00000","0.00000"
"4.60000","2.77813","16.33047","0.00000","0.00000"
"4.70000","2.80667","16.72672","0.00000","0.00000"
"4.80000","2.81708","16.84151","0.00000","0.00000"
"4.90000","2.81729","16.75902","0.00000","0.00000"
"5.00000","2.81729","16.69599","0.00000","0.00000"
"5.10000","2.81667","16.64989","0.00000","0.00000"
"5.20000","2.81583","16.59563","0.00000","0.00000"
"5.30000","2.81417","16.52105","0.00000","0.00000"
"5.40000","2.80875","16.32834","0.00000","0.00000"
"5.50000","2.79479","15.93094","0.00000","0.00000"
"5.60000","2.77063","15.43859","0.00000","0.00000"
"5.70000","2.73833","14.81728","0.00000","0.00000"
"5.80000","2.69854","14.08563","0.00000","0.00000"
"5.90000","2.65313","13.29085","0.00000","0.00000"
"6.00000","2.60458","13.13382","0.00000","0.00000"
"6.10000","2.55417","12.37539","0.00000","0.00000"
"6.20000","2.50417","11.58238","0.00000","0.00000"
"6.30000","2.45625","10.60799","0.00000","0.00000"
"6.40000","2.41188","9.94269","0.00000","0.00000"
"6.50000","2.37333","9.38749","0.00000","0.00000"
"6.60000","2.34167","8.96013","0.00000","0.00000"
"6.70000","2.31938","8.64703","0.00000","0.00000"
"6.80000","2.30021","8.38794","0.00000","0.00000"
"6.90000","2.29250","8.27112","0.00000","0.00000"
"7.00000","2.29083","8.25637","0.00000","0.00000"
"7.10000","2.29083","8.27139","0.00000","0.00000"
"7.20000","2.29083","8.27988","0.00000","0.00000"
"7.30000","2.29083","8.28633","0.00000","0.00000"
"7.40000","2.29125","8.29163","0.00000","0.00000"
"7.50000","2.29146","8.29652","0.00000","0.00000"
"7.60000","2.29208","8.30637","0.00000","0.00000"
"7.70000","2.29271","8.31482","0.00000","0.00000"
"7.80000","2.29438","8.33351","0.00000","0.00000"
"7.90000","2.29771","8.38033","0.00000","0.00000"
"8.00000","2.30479","8.47295","0.00000","0.00000"
"8.10000","2.31833","8.64429","0.00000","0.00000"
"8.20000","2.34500","9.00303","0.00000","0.00000"
"8.30000","2.37750","9.45202","0.00000","0.00000"
"8.40000","2.41458","9.99010","0.00000","0.00000"
"8.50000","2.45583","10.67833","0.00000","0.00000"
"8.60000","2.49875","11.79712","0.00000","0.00000"
"8.70000","2.54333","12.60633","0.00000","0.00000"
"8.80000","2.58729","13.45374","0.00000","0.00000"
"8.90000","2.63042","14.01734","0.00000","0.00000"
"9.00000","2.67333","14.51540","0.00000","0.00000"
"9.10000","2.71688","15.05138","0.00000","0.00000"
"9.20000","2.76167","15.61364","0.00000","0.00000"
"9.30000","2.80375","16.18325","0.00000","0.00000"
"9.40000","2.84083","16.76215","0.00000","0.00000"
"9.50000","2.87313","17.28218","0.00000","0.00000"
"9.60000","2.90146","17.79516","0.00000","0.00000"
"9.70000","2.92438","18.16791","0.00000","0.00000"
"9.80000","2.94292","18.44169","0.00000","0.00000"
"9.90000","2.95604","18.64111","0.00000","0.00000"
"10.00000","2.96688","18.83314","0.00000","0.00000"
"10.10000","2.97312","18.94049","0.00000","0.00000"
"10.20000","2.97521","18.94804","0.00000","0.00000"
