General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),2
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{049F613A-9162-471C-B471-7689084B1335}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_housing_2"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00021","0.04541","0.00000","0.00000"
"0.10000","0.00021","0.04671","0.00000","0.00000"
"0.20000","0.00021","0.04660","0.00000","0.00000"
"0.30000","0.00021","0.04809","0.00000","0.00000"
"0.40000","0.00021","0.04557","0.00000","0.00000"
"0.50000","0.00021","0.04819","0.00000","0.00000"
"0.60000","0.00021","0.04699","0.00000","0.00000"
"0.70000","0.00042","0.04680","0.00000","0.00000"
"0.80000","0.00063","0.04777","0.00000","0.00000"
"0.90000","0.00083","0.04792","0.00000","0.00000"
"1.00000","0.00125","0.04778","0.00000","0.00000"
"1.10000","0.00146","0.04822","0.00000","0.00000"
"1.20000","0.00167","0.05012","0.00000","0.00000"
"1.30000","0.00250","0.04776","0.00000","0.00000"
"1.40000","0.00417","0.05271","0.00000","0.00000"
"1.50000","0.00667","0.05488","0.00000","0.00000"
"1.60000","0.01292","0.06595","0.00000","0.00000"
"1.70000","0.02188","0.08357","0.00000","0.00000"
"1.80000","0.03458","0.11061","0.00000","0.00000"
"1.90000","0.05688","0.15735","0.00000","0.00000"
"2.00000","0.08646","0.22033","0.00000","0.00000"
"2.10000","0.12500","0.29725","0.00000","0.00000"
"2.20000","0.17104","0.47811","0.00000","0.00000"
"2.30000","0.22125","0.68475","0.00000","0.00000"
"2.40000","0.27604","0.89169","0.00000","0.00000"
"2.50000","0.34083","1.17062","0.00000","0.00000"
"2.60000","0.41000","1.55431","0.00000","0.00000"
"2.70000","0.48271","1.87098","0.00000","0.00000"
"2.80000","0.56292","2.22378","0.00000","0.00000"
"2.90000","0.64625","2.88885","0.00000","0.00000"
"3.00000","0.73229","3.47975","0.00000","0.00000"
"3.10000","0.82042","4.02681","0.00000","0.00000"
"3.20000","0.90750","4.60644","0.00000","0.00000"
"3.30000","0.99583","5.30682","0.00000","0.00000"
"3.40000","1.08083","5.82132","0.00000","0.00000"
"3.50000","1.16333","6.39102","0.00000","0.00000"
"3.60000","1.24083","7.22413","0.00000","0.00000"
"3.70000","1.31042","7.94185","0.00000","0.00000"
"3.80000","1.37750","8.55062","0.00000","0.00000"
"3.90000","1.43938","9.07104","0.00000","0.00000"
"4.00000","1.49229","9.66774","0.00000","0.00000"
"4.10000","1.53771","10.14235","0.00000","0.00000"
"4.20000","1.57667","10.55420","0.00000","0.00000"
"4.30000","1.60792","10.84869","0.00000","0.00000"
"4.40000","1.62937","11.06114","0.00000","0.00000"
"4.50000","1.64417","11.20243","0.00000","0.00000"
"4.60000","1.64979","11.24101","0.00000","0.00000"
"4.70000","1.65062","11.21144","0.00000","0.00000"
"4.80000","1.65062","11.17695","0.00000","0.00000"
"4.90000","1.65062","11.15413","0.00000","0.00000"
"5.00000","1.65062","11.13521","0.00000","0.00000"
"5.10000","1.65062","11.12022","0.00000","0.00000"
"5.20000","1.65062","11.10768","0.00000","0.00000"
"5.30000","1.65062","11.09641","0.00000","0.00000"
"5.40000","1.65062","11.08512","0.00000","0.00000"
"5.50000","1.65062","11.07631","0.00000","0.00000"
"5.60000","1.65021","11.06662","0.00000","0.00000"
"5.70000","1.65021","11.05465","0.00000","0.00000"
"5.80000","1.65000","11.04600","0.00000","0.00000"
"5.90000","1.65000","11.03621","0.00000","0.00000"
"6.00000","1.64979","11.02614","0.00000","0.00000"
"6.10000","1.64979","11.01621","0.00000","0.00000"
"6.20000","1.64979","11.00955","0.00000","0.00000"
"6.30000","1.64979","11.00264","0.00000","0.00000"
"6.40000","1.64979","10.99645","0.00000","0.00000"
"6.50000","1.64979","10.99056","0.00000","0.00000"
"6.60000","1.64979","10.98689","0.00000","0.00000"
"6.70000","1.64979","10.98316","0.00000","0.00000"
"6.80000","1.64979","10.97785","0.00000","0.00000"
"6.90000","1.64979","10.97389","0.00000","0.00000"
"7.00000","1.64979","10.97006","0.00000","0.00000"
"7.10000","1.64979","10.96685","0.00000","0.00000"
"7.20000","1.64979","10.96324","0.00000","0.00000"
"7.30000","1.64979","10.95997","0.00000","0.00000"
"7.40000","1.64979","10.95707","0.00000","0.00000"
"7.50000","1.64979","10.95325","0.00000","0.00000"
"7.60000","1.64979","10.95182","0.00000","0.00000"
"7.70000","1.64979","10.94811","0.00000","0.00000"
"7.80000","1.65021","10.95002","0.00000","0.00000"
"7.90000","1.65042","10.95429","0.00000","0.00000"
"8.00000","1.65062","10.95970","0.00000","0.00000"
"8.10000","1.65083","10.96049","0.00000","0.00000"
"8.20000","1.65188","10.99045","0.00000","0.00000"
"8.30000","1.65583","11.07456","0.00000","0.00000"
"8.40000","1.66583","11.18049","0.00000","0.00000"
"8.50000","1.68354","11.36848","0.00000","0.00000"
"8.60000","1.70625","11.60684","0.00000","0.00000"
"8.70000","1.73646","11.99921","0.00000","0.00000"
"8.80000","1.77208","12.63041","0.00000","0.00000"
"8.90000","1.81042","13.18649","0.00000","0.00000"
"9.00000","1.84979","13.59052","0.00000","0.00000"
"9.10000","1.89021","13.93976","0.00000","0.00000"
"9.20000","1.93146","14.41047","0.00000","0.00000"
"9.30000","1.97479","14.86952","0.00000","0.00000"
"9.40000","2.01979","15.42453","0.00000","0.00000"
"9.50000","2.06292","16.10059","0.00000","0.00000"
"9.60000","2.10292","16.64918","0.00000","0.00000"
"9.70000","2.14000","17.04557","0.00000","0.00000"
"9.80000","2.17563","17.43484","0.00000","0.00000"
"9.90000","2.20896","17.90217","0.00000","0.00000"
"10.00000","2.23729","18.29206","0.00000","0.00000"
"10.10000","2.25917","18.61891","0.00000","0.00000"
"10.20000","2.27875","18.87627","0.00000","0.00000"
"10.30000","2.29083","19.04472","0.00000","0.00000"
"10.40000","2.29854","19.15656","0.00000","0.00000"
"10.50000","2.30333","19.22066","0.00000","0.00000"
"10.60000","2.30667","19.26048","0.00000","0.00000"
"10.70000","2.30833","19.26516","0.00000","0.00000"
"10.80000","2.30896","19.25357","0.00000","0.00000"
"10.90000","2.30917","19.23138","0.00000","0.00000"
"11.00000","2.30938","19.21173","0.00000","0.00000"
"11.10000","2.30938","19.19353","0.00000","0.00000"
"11.20000","2.30938","19.17851","0.00000","0.00000"
"11.30000","2.30938","19.16233","0.00000","0.00000"
"11.40000","2.30938","19.15239","0.00000","0.00000"
"11.50000","2.30938","19.14229","0.00000","0.00000"
"11.60000","2.30958","19.13579","0.00000","0.00000"
"11.70000","2.30979","19.13587","0.00000","0.00000"
"11.80000","2.31042","19.14914","0.00000","0.00000"
"11.90000","2.31146","19.17688","0.00000","0.00000"
"12.00000","2.31354","19.22023","0.00000","0.00000"
"12.10000","2.31688","19.28065","0.00000","0.00000"
"12.20000","2.32104","19.34542","0.00000","0.00000"
"12.30000","2.32625","19.42985","0.00000","0.00000"
"12.40000","2.33271","19.53057","0.00000","0.00000"
"12.50000","2.34250","19.67491","0.00000","0.00000"
"12.60000","2.35812","19.88221","0.00000","0.00000"
"12.70000","2.37458","20.12682","0.00000","0.00000"
"12.80000","2.39500","20.39860","0.00000","0.00000"
"12.90000","2.41646","20.75176","0.00000","0.00000"
"13.00000","2.44042","21.14433","0.00000","0.00000"
"13.10000","2.46292","21.54796","0.00000","0.00000"
"13.20000","2.48542","21.93607","0.00000","0.00000"
"13.30000","2.50604","22.24678","0.00000","0.00000"
"13.40000","2.52625","22.56062","0.00000","0.00000"
"13.50000","2.54458","22.83146","0.00000","0.00000"
"13.60000","2.56250","23.12753","0.00000","0.00000"
"13.70000","2.57792","23.37193","0.00000","0.00000"
"13.80000","2.59438","23.70038","0.00000","0.00000"
"13.90000","2.60792","23.96200","0.00000","0.00000"
"14.00000","2.62083","24.17918","0.00000","0.00000"
"14.10000","2.63333","24.39686","0.00000","0.00000"
"14.20000","2.64146","24.53383","0.00000","0.00000"
"14.30000","2.64625","24.59417","0.00000","0.00000"
"14.40000","2.65021","24.64095","0.00000","0.00000"
"14.50000","2.65396","24.68667","0.00000","0.00000"
