General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),3
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{88EC928B-C98A-4D82-A97F-AD73AA598B84}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_housing_3"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.00257","0.00000","0.00000"
"0.10000","0.00000","0.00558","0.00000","0.00000"
"0.20000","0.00000","0.00583","0.00000","0.00000"
"0.30000","0.00000","0.00357","0.00000","0.00000"
"0.40000","0.00000","0.00463","0.00000","0.00000"
"0.50000","0.00000","0.00518","0.00000","0.00000"
"0.60000","0.00000","0.00384","0.00000","0.00000"
"0.70000","0.00000","0.00435","0.00000","0.00000"
"0.80000","0.00000","0.00563","0.00000","0.00000"
"0.90000","0.00000","0.00314","0.00000","0.00000"
"1.00000","0.00042","0.00327","0.00000","0.00000"
"1.10000","0.00063","0.00467","0.00000","0.00000"
"1.20000","0.00146","0.00781","0.00000","0.00000"
"1.30000","0.00479","0.00741","0.00000","0.00000"
"1.40000","0.01167","0.01492","0.00000","0.00000"
"1.50000","0.02604","0.02242","0.00000","0.00000"
"1.60000","0.04938","0.03463","0.00000","0.00000"
"1.70000","0.07875","0.04503","0.00000","0.00000"
"1.80000","0.11208","0.02050","0.00000","0.00000"
"1.90000","0.15000","0.05592","0.00000","0.00000"
"2.00000","0.19396","0.09056","0.00000","0.00000"
"2.10000","0.24604","0.10031","0.00000","0.00000"
"2.20000","0.30750","0.14109","0.00000","0.00000"
"2.30000","0.37417","0.17008","0.00000","0.00000"
"2.40000","0.45021","0.16685","0.00000","0.00000"
"2.50000","0.53500","0.18769","0.00000","0.00000"
"2.60000","0.62542","0.21684","0.00000","0.00000"
"2.70000","0.72479","0.22367","0.00000","0.00000"
"2.80000","0.83208","0.36821","0.00000","0.00000"
"2.90000","0.95208","0.53864","0.00000","0.00000"
"3.00000","1.08083","0.91864","0.00000","0.00000"
"3.10000","1.21708","1.47064","0.00000","0.00000"
"3.20000","1.35917","2.13273","0.00000","0.00000"
"3.30000","1.50250","2.98974","0.00000","0.00000"
"3.40000","1.64854","4.01412","0.00000","0.00000"
"3.50000","1.79563","5.16729","0.00000","0.00000"
"3.60000","1.93854","6.41219","0.00000","0.00000"
"3.70000","2.07396","7.72298","0.00000","0.00000"
"3.80000","2.20063","9.04804","0.00000","0.00000"
"3.90000","2.31625","10.33736","0.00000","0.00000"
"4.00000","2.41958","11.54432","0.00000","0.00000"
"4.10000","2.50729","12.61045","0.00000","0.00000"
"4.20000","2.58188","13.53233","0.00000","0.00000"
"4.30000","2.63833","14.27096","0.00000","0.00000"
"4.40000","2.67750","14.78506","0.00000","0.00000"
"4.50000","2.70021","15.08240","0.00000","0.00000"
"4.60000","2.70604","15.14981","0.00000","0.00000"
"4.70000","2.70604","15.10624","0.00000","0.00000"
"4.80000","2.70604","15.07250","0.00000","0.00000"
"4.90000","2.70542","15.04373","0.00000","0.00000"
"5.00000","2.70479","15.01408","0.00000","0.00000"
"5.10000","2.70396","14.98238","0.00000","0.00000"
"5.20000","2.70104","14.93450","0.00000","0.00000"
"5.30000","2.69458","14.83502","0.00000","0.00000"
"5.40000","2.68125","14.65423","0.00000","0.00000"
"5.50000","2.65750","14.32854","0.00000","0.00000"
"5.60000","2.62729","13.90956","0.00000","0.00000"
"5.70000","2.59229","13.42846","0.00000","0.00000"
"5.80000","2.55354","12.90991","0.00000","0.00000"
"5.90000","2.51104","12.36417","0.00000","0.00000"
"6.00000","2.46542","11.78962","0.00000","0.00000"
