General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),4
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{A7B712CF-018C-4497-ACAA-DDA28A2666FA}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_housing_4"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.07222","0.00000","0.00000"
"0.10000","0.00000","0.07068","0.00000","0.00000"
"0.20000","0.00021","0.07126","0.00000","0.00000"
"0.30000","0.00021","0.07142","0.00000","0.00000"
"0.40000","0.00021","0.07194","0.00000","0.00000"
"0.50000","0.00021","0.07117","0.00000","0.00000"
"0.60000","0.00042","0.07117","0.00000","0.00000"
"0.70000","0.00042","0.07177","0.00000","0.00000"
"0.80000","0.00063","0.07118","0.00000","0.00000"
"0.90000","0.00104","0.07098","0.00000","0.00000"
"1.00000","0.00125","0.07172","0.00000","0.00000"
"1.10000","0.00146","0.07329","0.00000","0.00000"
"1.20000","0.00188","0.07361","0.00000","0.00000"
"1.30000","0.00271","0.07367","0.00000","0.00000"
"1.40000","0.00375","0.07408","0.00000","0.00000"
"1.50000","0.00563","0.07695","0.00000","0.00000"
"1.60000","0.00917","0.08102","0.00000","0.00000"
"1.70000","0.01583","0.09006","0.00000","0.00000"
"1.80000","0.02771","0.10329","0.00000","0.00000"
"1.90000","0.04958","0.12793","0.00000","0.00000"
"2.00000","0.07833","0.17218","0.00000","0.00000"
"2.10000","0.11500","0.23527","0.00000","0.00000"
"2.20000","0.15667","0.38405","0.00000","0.00000"
"2.30000","0.20229","0.46639","0.00000","0.00000"
"2.40000","0.25479","0.33679","0.00000","0.00000"
"2.50000","0.31854","0.47268","0.00000","0.00000"
"2.60000","0.38875","0.71232","0.00000","0.00000"
"2.70000","0.46500","0.57600","0.00000","0.00000"
"2.80000","0.55542","0.21581","0.00000","0.00000"
"2.90000","0.65042","0.37611","0.00000","0.00000"
"3.00000","0.75417","0.57608","0.00000","0.00000"
"3.10000","0.87063","0.35397","0.00000","0.00000"
"3.20000","0.99854","0.79870","0.00000","0.00000"
"3.30000","1.13542","0.77180","0.00000","0.00000"
"3.40000","1.28167","1.53346","0.00000","0.00000"
"3.50000","1.43313","2.25160","0.00000","0.00000"
"3.60000","1.58750","3.65009","0.00000","0.00000"
"3.70000","1.74292","4.55854","0.00000","0.00000"
"3.80000","1.89458","6.66739","0.00000","0.00000"
"3.90000","2.04271","7.24712","0.00000","0.00000"
"4.00000","2.18000","9.72246","0.00000","0.00000"
"4.10000","2.30813","10.19121","0.00000","0.00000"
"4.20000","2.42604","11.64215","0.00000","0.00000"
"4.30000","2.52521","13.02488","0.00000","0.00000"
"4.40000","2.61229","13.32172","0.00000","0.00000"
"4.50000","2.68375","14.56158","0.00000","0.00000"
"4.60000","2.73375","15.75146","0.00000","0.00000"
"4.70000","2.76438","15.99804","0.00000","0.00000"
"4.80000","2.77875","16.05649","0.00000","0.00000"
"4.90000","2.78042","15.99422","0.00000","0.00000"
"5.00000","2.78042","15.92440","0.00000","0.00000"
"5.10000","2.78042","15.88197","0.00000","0.00000"
"5.20000","2.77979","15.83919","0.00000","0.00000"
"5.30000","2.77896","15.77904","0.00000","0.00000"
"5.40000","2.77750","15.71568","0.00000","0.00000"
"5.50000","2.77271","15.56278","0.00000","0.00000"
"5.60000","2.76063","15.29447","0.00000","0.00000"
"5.70000","2.73896","14.85256","0.00000","0.00000"
"5.80000","2.70958","14.29846","0.00000","0.00000"
"5.90000","2.67583","13.66990","0.00000","0.00000"
"6.00000","2.63875","13.34314","0.00000","0.00000"
"6.10000","2.59938","12.66765","0.00000","0.00000"
"6.20000","2.55896","12.00005","0.00000","0.00000"
"6.30000","2.51771","11.36282","0.00000","0.00000"
"6.40000","2.47896","10.79277","0.00000","0.00000"
"6.50000","2.44458","10.30283","0.00000","0.00000"
"6.60000","2.41604","9.89911","0.00000","0.00000"
"6.70000","2.39063","9.57589","0.00000","0.00000"
"6.80000","2.37333","9.34590","0.00000","0.00000"
"6.90000","2.35854","9.15767","0.00000","0.00000"
"7.00000","2.35063","9.04315","0.00000","0.00000"
"7.10000","2.34896","9.02381","0.00000","0.00000"
"7.20000","2.34896","9.03606","0.00000","0.00000"
"7.30000","2.34896","9.04283","0.00000","0.00000"
"7.40000","2.34896","9.04974","0.00000","0.00000"
"7.50000","2.34896","9.05382","0.00000","0.00000"
"7.60000","2.34938","9.05684","0.00000","0.00000"
"7.70000","2.34958","9.06287","0.00000","0.00000"
"7.80000","2.35021","9.07162","0.00000","0.00000"
"7.90000","2.35063","9.07962","0.00000","0.00000"
"8.00000","2.35208","9.09395","0.00000","0.00000"
"8.10000","2.35479","9.13140","0.00000","0.00000"
"8.20000","2.36063","9.20485","0.00000","0.00000"
"8.30000","2.37500","9.37610","0.00000","0.00000"
"8.40000","2.39958","9.71252","0.00000","0.00000"
"8.50000","2.43125","10.13313","0.00000","0.00000"
"8.60000","2.46750","10.65053","0.00000","0.00000"
"8.70000","2.50792","11.24306","0.00000","0.00000"
"8.80000","2.55125","11.91534","0.00000","0.00000"
"8.90000","2.59729","12.68558","0.00000","0.00000"
