General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),6
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{3DFE917F-8AE2-4675-AAC8-3DD235E06A31}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_housing_6"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00042","0.08367","0.00000","0.00000"
"0.10000","0.00042","0.08144","0.00000","0.00000"
"0.20000","0.00042","0.08073","0.00000","0.00000"
"0.30000","0.00042","0.08061","0.00000","0.00000"
"0.40000","0.00042","0.08176","0.00000","0.00000"
"0.50000","0.00042","0.08166","0.00000","0.00000"
"0.60000","0.00042","0.08100","0.00000","0.00000"
"0.70000","0.00063","0.08286","0.00000","0.00000"
"0.80000","0.00063","0.08315","0.00000","0.00000"
"0.90000","0.00083","0.08128","0.00000","0.00000"
"1.00000","0.00104","0.08294","0.00000","0.00000"
"1.10000","0.00146","0.08469","0.00000","0.00000"
"1.20000","0.00167","0.08475","0.00000","0.00000"
"1.30000","0.00188","0.08358","0.00000","0.00000"
"1.40000","0.00250","0.08599","0.00000","0.00000"
"1.50000","0.00354","0.08709","0.00000","0.00000"
"1.60000","0.00542","0.08935","0.00000","0.00000"
"1.70000","0.00854","0.09707","0.00000","0.00000"
"1.80000","0.01500","0.10475","0.00000","0.00000"
"1.90000","0.02813","0.12248","0.00000","0.00000"
"2.00000","0.04625","0.14549","0.00000","0.00000"
"2.10000","0.06875","0.12303","0.00000","0.00000"
"2.20000","0.09875","0.15644","0.00000","0.00000"
"2.30000","0.13854","0.18261","0.00000","0.00000"
"2.40000","0.18958","0.11232","0.00000","0.00000"
"2.50000","0.24938","0.13667","0.00000","0.00000"
"2.60000","0.31875","0.14613","0.00000","0.00000"
"2.70000","0.39854","0.16005","0.00000","0.00000"
"2.80000","0.48729","0.16708","0.00000","0.00000"
"2.90000","0.58458","0.15775","0.00000","0.00000"
"3.00000","0.69250","0.20055","0.00000","0.00000"
"3.10000","0.81188","0.36161","0.00000","0.00000"
"3.20000","0.94104","0.73382","0.00000","0.00000"
"3.30000","1.08021","1.37938","0.00000","0.00000"
"3.40000","1.22479","1.93453","0.00000","0.00000"
"3.50000","1.37417","2.81026","0.00000","0.00000"
"3.60000","1.52771","3.62448","0.00000","0.00000"
