General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),7
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{895C555D-D8B1-4E7E-9379-74DCDBDB6888}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_housing_7"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.91042","0.12779","0.00000","0.00000"
"0.10000","0.91042","0.12644","0.00000","0.00000"
"0.20000","0.91042","0.12935","0.00000","0.00000"
"0.30000","0.91042","0.12646","0.00000","0.00000"
"0.40000","0.91042","0.12634","0.00000","0.00000"
"0.50000","0.91042","0.12892","0.00000","0.00000"
"0.60000","0.91042","0.12885","0.00000","0.00000"
"0.70000","0.91063","0.12586","0.00000","0.00000"
"0.80000","0.91083","0.12756","0.00000","0.00000"
"0.90000","0.91104","0.13044","0.00000","0.00000"
"1.00000","0.91146","0.13133","0.00000","0.00000"
"1.10000","0.91167","0.13255","0.00000","0.00000"
"1.20000","0.91188","0.13124","0.00000","0.00000"
"1.30000","0.91250","0.13338","0.00000","0.00000"
"1.40000","0.91333","0.13862","0.00000","0.00000"
"1.50000","0.91500","0.14214","0.00000","0.00000"
"1.60000","0.91771","0.15275","0.00000","0.00000"
"1.70000","0.92271","0.16998","0.00000","0.00000"
"1.80000","0.93354","0.19910","0.00000","0.00000"
"1.90000","0.95292","0.25792","0.00000","0.00000"
"2.00000","0.97875","0.34091","0.00000","0.00000"
"2.10000","1.01313","0.45286","0.00000","0.00000"
"2.20000","1.05229","0.58826","0.00000","0.00000"
"2.30000","1.09250","0.73664","0.00000","0.00000"
"2.40000","1.13813","0.91163","0.00000","0.00000"
"2.50000","1.19104","1.11875","0.00000","0.00000"
"2.60000","1.25042","1.38827","0.00000","0.00000"
"2.70000","1.31542","1.67401","0.00000","0.00000"
"2.80000","1.38437","1.99242","0.00000","0.00000"
"2.90000","1.46125","2.39887","0.00000","0.00000"
"3.00000","1.54188","2.87986","0.00000","0.00000"
"3.10000","1.62583","3.43472","0.00000","0.00000"
"3.20000","1.71292","4.03584","0.00000","0.00000"
"3.30000","1.79917","4.68157","0.00000","0.00000"
"3.40000","1.88646","5.39054","0.00000","0.00000"
"3.50000","1.97021","6.07409","0.00000","0.00000"
"3.60000","2.05083","6.78866","0.00000","0.00000"
"3.70000","2.12708","7.52670","0.00000","0.00000"
"3.80000","2.19646","8.22745","0.00000","0.00000"
"3.90000","2.26208","8.90251","0.00000","0.00000"
"4.00000","2.31979","9.55317","0.00000","0.00000"
"4.10000","2.36854","10.11021","0.00000","0.00000"
"4.20000","2.40875","10.57312","0.00000","0.00000"
"4.30000","2.44063","10.95078","0.00000","0.00000"
"4.40000","2.46542","11.24794","0.00000","0.00000"
"4.50000","2.48000","11.42716","0.00000","0.00000"
"4.60000","2.48833","11.51545","0.00000","0.00000"
"4.70000","2.49083","11.53191","0.00000","0.00000"
"4.80000","2.49104","11.50465","0.00000","0.00000"
"4.90000","2.49104","11.48320","0.00000","0.00000"
"5.00000","2.49104","11.46544","0.00000","0.00000"
"5.10000","2.49104","11.44889","0.00000","0.00000"
"5.20000","2.49104","11.43562","0.00000","0.00000"
"5.30000","2.49104","11.42436","0.00000","0.00000"
"5.40000","2.49062","11.41342","0.00000","0.00000"
"5.50000","2.49062","11.40392","0.00000","0.00000"
"5.60000","2.49062","11.39388","0.00000","0.00000"
"5.70000","2.49042","11.38503","0.00000","0.00000"
"5.80000","2.49021","11.37653","0.00000","0.00000"
"5.90000","2.49021","11.36641","0.00000","0.00000"
"6.00000","2.49000","11.35712","0.00000","0.00000"
"6.10000","2.49000","11.35049","0.00000","0.00000"
"6.20000","2.48979","11.34329","0.00000","0.00000"
"6.30000","2.48979","11.33509","0.00000","0.00000"
"6.40000","2.48979","11.32869","0.00000","0.00000"
"6.50000","2.48958","11.32288","0.00000","0.00000"
"6.60000","2.48958","11.32041","0.00000","0.00000"
"6.70000","2.48958","11.31445","0.00000","0.00000"
"6.80000","2.48958","11.30965","0.00000","0.00000"
"6.90000","2.48958","11.30484","0.00000","0.00000"
"7.00000","2.48958","11.30218","0.00000","0.00000"
"7.10000","2.48958","11.29848","0.00000","0.00000"
"7.20000","2.48958","11.29445","0.00000","0.00000"
"7.30000","2.48958","11.28990","0.00000","0.00000"
"7.40000","2.48958","11.28761","0.00000","0.00000"
"7.50000","2.48958","11.28425","0.00000","0.00000"
"7.60000","2.48958","11.27974","0.00000","0.00000"
"7.70000","2.48958","11.27761","0.00000","0.00000"
"7.80000","2.49000","11.27519","0.00000","0.00000"
"7.90000","2.49000","11.27172","0.00000","0.00000"
