General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),8
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{DD1EA8C9-04C4-4434-9983-4AC123476C86}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_housing_8"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.07222","0.00000","0.00000"
"0.10000","0.00000","0.07442","0.00000","0.00000"
"0.20000","0.00000","0.07381","0.00000","0.00000"
"0.30000","0.00000","0.07461","0.00000","0.00000"
"0.40000","0.00000","0.07334","0.00000","0.00000"
"0.50000","0.00000","0.07398","0.00000","0.00000"
"0.60000","0.00042","0.07913","0.00000","0.00000"
"0.70000","0.00083","0.07583","0.00000","0.00000"
"0.80000","0.00083","0.07757","0.00000","0.00000"
"0.90000","0.00125","0.07530","0.00000","0.00000"
"1.00000","0.00167","0.08032","0.00000","0.00000"
"1.10000","0.00271","0.07997","0.00000","0.00000"
"1.20000","0.00396","0.08300","0.00000","0.00000"
"1.30000","0.00646","0.08906","0.00000","0.00000"
"1.40000","0.01188","0.10476","0.00000","0.00000"
"1.50000","0.02208","0.12626","0.00000","0.00000"
"1.60000","0.03396","0.15554","0.00000","0.00000"
"1.70000","0.05125","0.19986","0.00000","0.00000"
"1.80000","0.07354","0.25718","0.00000","0.00000"
"1.90000","0.09896","0.32191","0.00000","0.00000"
"2.00000","0.12812","0.41472","0.00000","0.00000"
"2.10000","0.16500","0.53687","0.00000","0.00000"
"2.20000","0.21083","0.69624","0.00000","0.00000"
"2.30000","0.26375","0.89389","0.00000","0.00000"
"2.40000","0.32125","1.11865","0.00000","0.00000"
"2.50000","0.38708","1.39031","0.00000","0.00000"
"2.60000","0.45937","1.70610","0.00000","0.00000"
"2.70000","0.53417","2.05259","0.00000","0.00000"
"2.80000","0.61500","2.45406","0.00000","0.00000"
"2.90000","0.69875","2.91277","0.00000","0.00000"
"3.00000","0.78333","3.42058","0.00000","0.00000"
"3.10000","0.87063","3.98319","0.00000","0.00000"
"3.20000","0.95646","4.57740","0.00000","0.00000"
"3.30000","1.04500","5.22135","0.00000","0.00000"
"3.40000","1.13271","5.92106","0.00000","0.00000"
"3.50000","1.21667","6.65723","0.00000","0.00000"
"3.60000","1.29688","7.43239","0.00000","0.00000"
"3.70000","1.37000","8.11115","0.00000","0.00000"
"3.80000","1.43625","8.99862","0.00000","0.00000"
"3.90000","1.49479","9.78592","0.00000","0.00000"
"4.00000","1.53958","10.26339","0.00000","0.00000"
"4.10000","1.57604","10.55046","0.00000","0.00000"
"4.20000","1.60458","10.81667","0.00000","0.00000"
"4.30000","1.62396","11.00878","0.00000","0.00000"
"4.40000","1.63688","11.11412","0.00000","0.00000"
"4.50000","1.64542","11.17417","0.00000","0.00000"
"4.60000","1.64708","11.17497","0.00000","0.00000"
"4.70000","1.64708","11.15117","0.00000","0.00000"
"4.80000","1.64708","11.13235","0.00000","0.00000"
"4.90000","1.64708","11.11783","0.00000","0.00000"
"5.00000","1.64708","11.10358","0.00000","0.00000"
"5.10000","1.64708","11.09088","0.00000","0.00000"
"5.20000","1.64708","11.07998","0.00000","0.00000"
"5.30000","1.64708","11.06880","0.00000","0.00000"
"5.40000","1.64708","11.06079","0.00000","0.00000"
"5.50000","1.64667","11.04976","0.00000","0.00000"
"5.60000","1.64667","11.04091","0.00000","0.00000"
"5.70000","1.64646","11.03329","0.00000","0.00000"
"5.80000","1.64646","11.02199","0.00000","0.00000"
"5.90000","1.64625","11.01590","0.00000","0.00000"
"6.00000","1.64625","11.00905","0.00000","0.00000"
"6.10000","1.64625","10.99964","0.00000","0.00000"
"6.20000","1.64604","10.99272","0.00000","0.00000"
"6.30000","1.64604","10.98824","0.00000","0.00000"
"6.40000","1.64604","10.98216","0.00000","0.00000"
"6.50000","1.64604","10.97636","0.00000","0.00000"
"6.60000","1.64604","10.97265","0.00000","0.00000"
"6.70000","1.64604","10.96675","0.00000","0.00000"
"6.80000","1.64604","10.96323","0.00000","0.00000"
"6.90000","1.64604","10.95858","0.00000","0.00000"
"7.00000","1.64604","10.95419","0.00000","0.00000"
"7.10000","1.64604","10.95243","0.00000","0.00000"
"7.20000","1.64604","10.94692","0.00000","0.00000"
"7.30000","1.64604","10.94045","0.00000","0.00000"
"7.40000","1.64604","10.94129","0.00000","0.00000"
"7.50000","1.64604","10.93475","0.00000","0.00000"
"7.60000","1.64604","10.93261","0.00000","0.00000"
"7.70000","1.64646","10.93103","0.00000","0.00000"
"7.80000","1.64667","10.92850","0.00000","0.00000"
"7.90000","1.64688","10.93054","0.00000","0.00000"
"8.00000","1.64708","10.93199","0.00000","0.00000"
"8.10000","1.64729","10.93013","0.00000","0.00000"
"8.20000","1.64813","10.93903","0.00000","0.00000"
"8.30000","1.65167","10.98722","0.00000","0.00000"
"8.40000","1.65750","11.08900","0.00000","0.00000"
"8.50000","1.66854","11.26470","0.00000","0.00000"
"8.60000","1.69042","11.71953","0.00000","0.00000"
"8.70000","1.71458","12.15528","0.00000","0.00000"
"8.80000","1.74479","12.52101","0.00000","0.00000"
"8.90000","1.77875","12.92400","0.00000","0.00000"
