General : End date,"18/04/2023"
General : Excluded,False
General : Specimen number (included),9
General : Start date,"18/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{7089F7FF-8CC7-4C47-B761-5C2A26943257}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_housing_9"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.06005","0.00000","0.00000"
"0.10000","0.00000","0.05996","0.00000","0.00000"
"0.20000","0.00000","0.05901","0.00000","0.00000"
"0.30000","0.00000","0.06052","0.00000","0.00000"
"0.40000","0.00000","0.06065","0.00000","0.00000"
"0.50000","0.00000","0.06116","0.00000","0.00000"
"0.60000","0.00000","0.06000","0.00000","0.00000"
"0.70000","0.00042","0.05959","0.00000","0.00000"
"0.80000","0.00083","0.06108","0.00000","0.00000"
"0.90000","0.00146","0.06308","0.00000","0.00000"
"1.00000","0.00250","0.06430","0.00000","0.00000"
"1.10000","0.00375","0.06706","0.00000","0.00000"
"1.20000","0.00646","0.07243","0.00000","0.00000"
"1.30000","0.01083","0.07990","0.00000","0.00000"
"1.40000","0.02021","0.09764","0.00000","0.00000"
"1.50000","0.03458","0.12416","0.00000","0.00000"
"1.60000","0.05271","0.18056","0.00000","0.00000"
"1.70000","0.07708","0.24697","0.00000","0.00000"
"1.80000","0.10875","0.35020","0.00000","0.00000"
"1.90000","0.14583","0.60309","0.00000","0.00000"
"2.00000","0.18563","0.83504","0.00000","0.00000"
"2.10000","0.22542","0.99480","0.00000","0.00000"
"2.20000","0.26896","1.08591","0.00000","0.00000"
"2.30000","0.31833","1.54332","0.00000","0.00000"
"2.40000","0.37375","2.05855","0.00000","0.00000"
"2.50000","0.43229","1.89625","0.00000","0.00000"
"2.60000","0.49479","2.13865","0.00000","0.00000"
"2.70000","0.56333","2.35297","0.00000","0.00000"
"2.80000","0.63563","2.67779","0.00000","0.00000"
"2.90000","0.71000","3.28607","0.00000","0.00000"
"3.00000","0.78854","3.84402","0.00000","0.00000"
"3.10000","0.86625","4.54030","0.00000","0.00000"
"3.20000","0.94250","5.10917","0.00000","0.00000"
"3.30000","1.01833","5.80070","0.00000","0.00000"
"3.40000","1.09021","6.18831","0.00000","0.00000"
"3.50000","1.15854","6.91455","0.00000","0.00000"
"3.60000","1.22521","7.53666","0.00000","0.00000"
"3.70000","1.28313","7.99799","0.00000","0.00000"
"3.80000","1.33667","8.48591","0.00000","0.00000"
"3.90000","1.38313","9.01170","0.00000","0.00000"
"4.00000","1.42313","9.35017","0.00000","0.00000"
"4.10000","1.45500","9.67722","0.00000","0.00000"
"4.20000","1.47750","9.96019","0.00000","0.00000"
"4.30000","1.49563","10.20654","0.00000","0.00000"
"4.40000","1.50521","10.31562","0.00000","0.00000"
"4.50000","1.50854","10.33538","0.00000","0.00000"
"4.60000","1.50938","10.30887","0.00000","0.00000"
"4.70000","1.50958","10.27654","0.00000","0.00000"
"4.80000","1.50958","10.24994","0.00000","0.00000"
"4.90000","1.50958","10.23033","0.00000","0.00000"
"5.00000","1.50958","10.21367","0.00000","0.00000"
"5.10000","1.50958","10.19626","0.00000","0.00000"
"5.20000","1.50958","10.18377","0.00000","0.00000"
"5.30000","1.50958","10.17229","0.00000","0.00000"
"5.40000","1.50958","10.16155","0.00000","0.00000"
"5.50000","1.50958","10.15091","0.00000","0.00000"
"5.60000","1.50958","10.14399","0.00000","0.00000"
"5.70000","1.50958","10.13380","0.00000","0.00000"
"5.80000","1.50958","10.12549","0.00000","0.00000"
"5.90000","1.50958","10.11861","0.00000","0.00000"
"6.00000","1.50958","10.11181","0.00000","0.00000"
"6.10000","1.50958","10.10466","0.00000","0.00000"
"6.20000","1.50958","10.09821","0.00000","0.00000"
"6.30000","1.50958","10.09165","0.00000","0.00000"
"6.40000","1.50958","10.08694","0.00000","0.00000"
"6.50000","1.50958","10.08010","0.00000","0.00000"
"6.60000","1.50958","10.07505","0.00000","0.00000"
"6.70000","1.50958","10.07041","0.00000","0.00000"
"6.80000","1.50958","10.06590","0.00000","0.00000"
"6.90000","1.50958","10.06159","0.00000","0.00000"
"7.00000","1.50958","10.05738","0.00000","0.00000"
"7.10000","1.50979","10.05597","0.00000","0.00000"
"7.20000","1.51083","10.07472","0.00000","0.00000"
"7.30000","1.51438","10.15488","0.00000","0.00000"
"7.40000","1.52250","10.31704","0.00000","0.00000"
"7.50000","1.53833","10.46968","0.00000","0.00000"
"7.60000","1.55750","10.68835","0.00000","0.00000"
"7.70000","1.58438","11.05760","0.00000","0.00000"
"7.80000","1.61417","11.49981","0.00000","0.00000"
"7.90000","1.64479","11.90678","0.00000","0.00000"
"8.00000","1.67708","12.23647","0.00000","0.00000"
"8.10000","1.71146","12.54789","0.00000","0.00000"
"8.20000","1.74688","13.10005","0.00000","0.00000"
"8.30000","1.78333","13.64720","0.00000","0.00000"
"8.40000","1.81958","14.16832","0.00000","0.00000"
"8.50000","1.85313","14.63890","0.00000","0.00000"
"8.60000","1.88313","15.08180","0.00000","0.00000"
"8.70000","1.90833","15.50074","0.00000","0.00000"
"8.80000","1.93271","15.87889","0.00000","0.00000"
"8.90000","1.95104","16.14269","0.00000","0.00000"
"9.00000","1.97021","16.41586","0.00000","0.00000"
"9.10000","1.98375","16.58845","0.00000","0.00000"
"9.20000","1.99604","16.72964","0.00000","0.00000"
"9.30000","2.00854","16.90355","0.00000","0.00000"
"9.40000","2.01604","16.99389","0.00000","0.00000"
"9.50000","2.01938","17.01922","0.00000","0.00000"
"9.60000","2.02104","17.00773","0.00000","0.00000"
"9.70000","2.02187","16.99147","0.00000","0.00000"
"9.80000","2.02250","16.97488","0.00000","0.00000"
"9.90000","2.02292","16.96096","0.00000","0.00000"
"10.00000","2.02333","16.94806","0.00000","0.00000"
"10.10000","2.02375","16.94118","0.00000","0.00000"
"10.20000","2.02438","16.93945","0.00000","0.00000"
"10.30000","2.02521","16.94983","0.00000","0.00000"
"10.40000","2.02667","16.96741","0.00000","0.00000"
"10.50000","2.02896","17.00935","0.00000","0.00000"
"10.60000","2.03271","17.07497","0.00000","0.00000"
"10.70000","2.03896","17.16555","0.00000","0.00000"
"10.80000","2.04833","17.27595","0.00000","0.00000"
"10.90000","2.05667","17.35262","0.00000","0.00000"
"11.00000","2.06479","17.41716","0.00000","0.00000"
"11.10000","2.07729","17.55368","0.00000","0.00000"
"11.20000","2.09396","17.83947","0.00000","0.00000"
"11.30000","2.10688","18.11204","0.00000","0.00000"
"11.40000","2.12479","18.47558","0.00000","0.00000"
"11.50000","2.14104","18.85449","0.00000","0.00000"
"11.60000","2.15729","19.12762","0.00000","0.00000"
"11.70000","2.17688","19.46724","0.00000","0.00000"
"11.80000","2.19375","19.74868","0.00000","0.00000"
"11.90000","2.21479","20.14263","0.00000","0.00000"
"12.00000","2.22979","20.51294","0.00000","0.00000"
"12.10000","2.24604","20.85934","0.00000","0.00000"
"12.20000","2.25854","21.12774","0.00000","0.00000"
"12.30000","2.26750","21.26981","0.00000","0.00000"
"12.40000","2.27708","21.37625","0.00000","0.00000"
"12.50000","2.28646","21.48108","0.00000","0.00000"
"12.60000","2.29312","21.56897","0.00000","0.00000"
"12.70000","2.29708","21.62434","0.00000","0.00000"
"12.80000","2.29979","21.65456","0.00000","0.00000"
"12.90000","2.30250","21.69119","0.00000","0.00000"
"13.00000","2.30542","21.73385","0.00000","0.00000"
"13.10000","2.30896","21.78771","0.00000","0.00000"
"13.20000","2.31333","21.84315","0.00000","0.00000"
"13.30000","2.31979","21.93716","0.00000","0.00000"
"13.40000","2.32812","22.06632","0.00000","0.00000"
"13.50000","2.33542","22.19341","0.00000","0.00000"
"13.60000","2.34167","22.31399","0.00000","0.00000"
"13.70000","2.34917","22.46930","0.00000","0.00000"
"13.80000","2.35979","22.69829","0.00000","0.00000"
"13.90000","2.37229","22.98119","0.00000","0.00000"
"14.00000","2.38271","23.22105","0.00000","0.00000"
"14.10000","2.39396","23.45097","0.00000","0.00000"
"14.20000","2.40833","23.74238","0.00000","0.00000"
"14.30000","2.42000","23.98702","0.00000","0.00000"
"14.40000","2.43062","24.21022","0.00000","0.00000"
"14.50000","2.44271","24.45546","0.00000","0.00000"
"14.60000","2.45375","24.68700","0.00000","0.00000"
"14.70000","2.46146","24.83379","0.00000","0.00000"
"14.80000","2.46896","24.99229","0.00000","0.00000"
"14.90000","2.47625","25.14400","0.00000","0.00000"
"15.00000","2.48417","25.30985","0.00000","0.00000"
"15.10000","2.49021","25.42962","0.00000","0.00000"
"15.20000","2.49479","25.50754","0.00000","0.00000"
"15.30000","2.49833","25.56042","0.00000","0.00000"
"15.40000","2.50271","25.64789","0.00000","0.00000"
"15.50000","2.50792","25.75327","0.00000","0.00000"
"15.60000","2.51375","25.85423","0.00000","0.00000"
"15.70000","2.52167","25.98175","0.00000","0.00000"
"15.80000","2.52938","26.11022","0.00000","0.00000"
"15.90000","2.53604","26.22191","0.00000","0.00000"
"16.00000","2.54354","26.36548","0.00000","0.00000"
"16.10000","2.55333","26.58407","0.00000","0.00000"
"16.20000","2.56479","26.84728","0.00000","0.00000"
"16.30000","2.57479","27.08627","0.00000","0.00000"
"16.40000","2.58417","27.28879","0.00000","0.00000"
"16.50000","2.59521","27.53127","0.00000","0.00000"
"16.60000","2.60646","27.77325","0.00000","0.00000"
"16.70000","2.61521","27.96558","0.00000","0.00000"
"16.80000","2.62375","28.12593","0.00000","0.00000"
"16.90000","2.63438","28.32632","0.00000","0.00000"
"17.00000","2.64521","28.56017","0.00000","0.00000"
"17.10000","2.65354","28.71115","0.00000","0.00000"
"17.20000","2.66042","28.82827","0.00000","0.00000"
"17.30000","2.66833","28.99577","0.00000","0.00000"
"17.40000","2.67688","29.20644","0.00000","0.00000"
"17.50000","2.68438","29.40617","0.00000","0.00000"
"17.60000","2.68938","29.54237","0.00000","0.00000"
"17.70000","2.69313","29.63471","0.00000","0.00000"
"17.80000","2.69583","29.70357","0.00000","0.00000"
"17.90000","2.69917","29.78812","0.00000","0.00000"
"18.00000","2.70354","29.91854","0.00000","0.00000"
"18.10000","2.70937","30.10068","0.00000","0.00000"
"18.20000","2.71625","30.32198","0.00000","0.00000"
"18.30000","2.72292","30.54896","0.00000","0.00000"
"18.40000","2.72792","30.70381","0.00000","0.00000"
"18.50000","2.73167","30.81303","0.00000","0.00000"
"18.60000","2.73458","30.89132","0.00000","0.00000"
"18.70000","2.73792","30.97852","0.00000","0.00000"
"18.80000","2.74208","31.10071","0.00000","0.00000"
"18.90000","2.74854","31.29099","0.00000","0.00000"
"19.00000","2.75688","31.54796","0.00000","0.00000"
"19.10000","2.76521","31.79045","0.00000","0.00000"
"19.20000","2.77188","31.96555","0.00000","0.00000"
"19.30000","2.77729","32.10981","0.00000","0.00000"
"19.40000","2.78375","32.28767","0.00000","0.00000"
"19.50000","2.79229","32.54427","0.00000","0.00000"
"19.60000","2.80146","32.84376","0.00000","0.00000"
"19.70000","2.80813","33.04230","0.00000","0.00000"
"19.80000","2.81333","33.16990","0.00000","0.00000"
"19.90000","2.81813","33.26331","0.00000","0.00000"
"20.00000","2.82417","33.38016","0.00000","0.00000"
"20.10000","2.83292","33.55060","0.00000","0.00000"
"20.20000","2.84313","33.74757","0.00000","0.00000"
"20.30000","2.85167","33.88205","0.00000","0.00000"
"20.40000","2.85833","33.96326","0.00000","0.00000"
"20.50000","2.86667","34.12610","0.00000","0.00000"
"20.60000","2.87708","34.36907","0.00000","0.00000"
"20.70000","2.88646","34.68864","0.00000","0.00000"
"20.80000","2.89229","34.89192","0.00000","0.00000"
"20.90000","2.89604","35.01184","0.00000","0.00000"
"21.00000","2.90000","35.14046","0.00000","0.00000"
"21.10000","2.90479","35.29373","0.00000","0.00000"
"21.20000","2.90979","35.46687","0.00000","0.00000"
"21.30000","2.91625","35.69516","0.00000","0.00000"
"21.40000","2.92229","35.92993","0.00000","0.00000"
"21.50000","2.92646","36.06489","0.00000","0.00000"
"21.60000","2.92937","36.14676","0.00000","0.00000"
"21.70000","2.93146","36.19754","0.00000","0.00000"
"21.80000","2.93313","36.23055","0.00000","0.00000"
"21.90000","2.93521","36.28022","0.00000","0.00000"
"22.00000","2.93813","36.36917","0.00000","0.00000"
"22.10000","2.94250","36.51362","0.00000","0.00000"
"22.20000","2.94792","36.69926","0.00000","0.00000"
"22.30000","2.95708","36.99157","0.00000","0.00000"
"22.40000","2.96583","37.28457","0.00000","0.00000"
"22.50000","2.97187","37.47060","0.00000","0.00000"
"22.60000","2.97729","37.60351","0.00000","0.00000"
"22.70000","2.98417","37.79239","0.00000","0.00000"
"22.80000","2.99333","38.04980","0.00000","0.00000"
"22.90000","3.00396","38.36169","0.00000","0.00000"
"23.00000","3.01188","38.49479","0.00000","0.00000"
"23.10000","3.01896","38.50438","0.00000","0.00000"
"23.20000","3.02833","38.69606","0.00000","0.00000"
"23.30000","3.04021","39.02551","0.00000","0.00000"
"23.40000","3.04938","39.24492","0.00000","0.00000"
"23.50000","3.05542","39.33686","0.00000","0.00000"
"23.60000","3.06167","39.46792","0.00000","0.00000"
"23.70000","3.06875","39.64183","0.00000","0.00000"
"23.80000","3.07729","39.93579","0.00000","0.00000"
"23.90000","3.08438","40.22666","0.00000","0.00000"
"24.00000","3.08854","40.38997","0.00000","0.00000"
"24.10000","3.09125","40.47470","0.00000","0.00000"
"24.20000","3.09313","40.51677","0.00000","0.00000"
"24.30000","3.09500","40.56607","0.00000","0.00000"
"24.40000","3.09708","40.62859","0.00000","0.00000"
"24.50000","3.09958","40.70945","0.00000","0.00000"
"24.60000","3.10313","40.84703","0.00000","0.00000"
"24.70000","3.10792","41.03085","0.00000","0.00000"
"24.80000","3.11438","41.29187","0.00000","0.00000"
"24.90000","3.12042","41.54464","0.00000","0.00000"
"25.00000","3.12521","41.71138","0.00000","0.00000"
"25.10000","3.12875","41.82874","0.00000","0.00000"
"25.20000","3.13146","41.90017","0.00000","0.00000"
