General : End date,"17/04/2023"
General : Excluded,False
General : Specimen number (included),1
General : Start date,"17/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{66A20FE7-8B10-4B38-AF57-099D48F23C3F}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_no_cap_1"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00021","0.04630","0.00000","0.00000"
"0.10000","0.00021","0.04593","0.00000","0.00000"
"0.20000","0.00021","0.04689","0.00000","0.00000"
"0.30000","0.00021","0.04458","0.00000","0.00000"
"0.40000","0.00042","0.04664","0.00000","0.00000"
"0.50000","0.00042","0.04574","0.00000","0.00000"
"0.60000","0.00063","0.04606","0.00000","0.00000"
"0.70000","0.00083","0.04628","0.00000","0.00000"
"0.80000","0.00104","0.04705","0.00000","0.00000"
"0.90000","0.00125","0.04677","0.00000","0.00000"
"1.00000","0.00146","0.04896","0.00000","0.00000"
"1.10000","0.00208","0.04767","0.00000","0.00000"
"1.20000","0.00292","0.05225","0.00000","0.00000"
"1.30000","0.00396","0.05254","0.00000","0.00000"
"1.40000","0.00583","0.05809","0.00000","0.00000"
"1.50000","0.00917","0.06593","0.00000","0.00000"
"1.60000","0.01521","0.07754","0.00000","0.00000"
"1.70000","0.02917","0.10541","0.00000","0.00000"
"1.80000","0.05042","0.15874","0.00000","0.00000"
"1.90000","0.07667","0.25956","0.00000","0.00000"
"2.00000","0.10833","0.39263","0.00000","0.00000"
"2.10000","0.14708","0.55565","0.00000","0.00000"
"2.20000","0.18979","0.74453","0.00000","0.00000"
"2.30000","0.23604","0.95918","0.00000","0.00000"
"2.40000","0.28563","1.20542","0.00000","0.00000"
"2.50000","0.34208","1.49874","0.00000","0.00000"
"2.60000","0.40667","1.86582","0.00000","0.00000"
"2.70000","0.47375","2.61437","0.00000","0.00000"
"2.80000","0.54292","3.30150","0.00000","0.00000"
"2.90000","0.61479","3.99089","0.00000","0.00000"
"3.00000","0.68354","4.88420","0.00000","0.00000"
"3.10000","0.74708","5.69414","0.00000","0.00000"
"3.20000","0.80750","6.68750","0.00000","0.00000"
"3.30000","0.86083","7.75761","0.00000","0.00000"
"3.40000","0.90417","8.70441","0.00000","0.00000"
"3.50000","0.93792","9.50530","0.00000","0.00000"
"3.60000","0.96354","10.15406","0.00000","0.00000"
"3.70000","0.97771","10.50909","0.00000","0.00000"
"3.80000","0.98563","10.71002","0.00000","0.00000"
"3.90000","0.98708","10.74000","0.00000","0.00000"
"4.00000","0.98708","10.70940","0.00000","0.00000"
"4.10000","0.98708","10.68483","0.00000","0.00000"
"4.20000","0.98708","10.66363","0.00000","0.00000"
"4.30000","0.98708","10.64953","0.00000","0.00000"
"4.40000","0.98667","10.63425","0.00000","0.00000"
"4.50000","0.98646","10.61971","0.00000","0.00000"
"4.60000","0.98604","10.60367","0.00000","0.00000"
"4.70000","0.98583","10.58753","0.00000","0.00000"
"4.80000","0.98563","10.57189","0.00000","0.00000"
"4.90000","0.98542","10.55742","0.00000","0.00000"
"5.00000","0.98479","10.53752","0.00000","0.00000"
"5.10000","0.98396","10.50680","0.00000","0.00000"
"5.20000","0.98292","10.47130","0.00000","0.00000"
"5.30000","0.98146","10.42864","0.00000","0.00000"
"5.40000","0.97958","10.37176","0.00000","0.00000"
"5.50000","0.97708","10.29914","0.00000","0.00000"
"5.60000","0.97375","10.20584","0.00000","0.00000"
"5.70000","0.96958","10.09555","0.00000","0.00000"
"5.80000","0.96521","9.96687","0.00000","0.00000"
"5.90000","0.96188","9.86758","0.00000","0.00000"
"6.00000","0.95979","9.80609","0.00000","0.00000"
"6.10000","0.95875","9.77597","0.00000","0.00000"
"6.20000","0.95854","9.76542","0.00000","0.00000"
"6.30000","0.95854","9.76457","0.00000","0.00000"
"6.40000","0.95854","9.76436","0.00000","0.00000"
"6.50000","0.95854","9.76358","0.00000","0.00000"
"6.60000","0.95854","9.76230","0.00000","0.00000"
"6.70000","0.95854","9.76025","0.00000","0.00000"
"6.80000","0.95854","9.75922","0.00000","0.00000"
"6.90000","0.95854","9.75893","0.00000","0.00000"
"7.00000","0.95854","9.75605","0.00000","0.00000"
"7.10000","0.95896","9.75583","0.00000","0.00000"
"7.20000","0.95896","9.75339","0.00000","0.00000"
"7.30000","0.95938","9.75725","0.00000","0.00000"
"7.40000","0.95979","9.76611","0.00000","0.00000"
"7.50000","0.96000","9.77369","0.00000","0.00000"
"7.60000","0.96062","9.78078","0.00000","0.00000"
"7.70000","0.96188","9.80628","0.00000","0.00000"
"7.80000","0.96375","9.85026","0.00000","0.00000"
"7.90000","0.96729","9.93665","0.00000","0.00000"
"8.00000","0.97667","10.14821","0.00000","0.00000"
"8.10000","0.99396","10.59032","0.00000","0.00000"
"8.20000","1.00958","11.03556","0.00000","0.00000"
"8.30000","1.02937","11.53261","0.00000","0.00000"
"8.40000","1.05000","12.13748","0.00000","0.00000"
"8.50000","1.07313","12.77020","0.00000","0.00000"
"8.60000","1.09396","13.40123","0.00000","0.00000"
"8.70000","1.11625","14.07478","0.00000","0.00000"
"8.80000","1.13625","14.72402","0.00000","0.00000"
"8.90000","1.15729","15.41211","0.00000","0.00000"
"9.00000","1.17250","15.95311","0.00000","0.00000"
"9.10000","1.18708","16.45478","0.00000","0.00000"
"9.20000","1.19813","16.88360","0.00000","0.00000"
"9.30000","1.20333","17.08841","0.00000","0.00000"
"9.40000","1.20604","17.17214","0.00000","0.00000"
"9.50000","1.20708","17.18732","0.00000","0.00000"
"9.60000","1.20729","17.17784","0.00000","0.00000"
"9.70000","1.20729","17.15652","0.00000","0.00000"
"9.80000","1.20729","17.13861","0.00000","0.00000"
"9.90000","1.20729","17.12184","0.00000","0.00000"
