General : End date,17/04/2023,,,
General : Excluded,FALSE,,,
General : Specimen number (included),10,,,
General : Start date,17/04/2023,,,
General : System ID,5544H1816,,,
General : Unique identifier,{8650C6E3-BA5D-47C9-9392-379ED1594FFC},,,
Strain : Compressive strain (Extension) gauge length,100,mm,,
Strain : Time at removal,,s,,
Specimen text inputs : Specimen text input  1,fsr_no_pluck_10_repeat,,,
,,,,
Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
0,0,0.08598,0,0
0.1,0,0.08562,0,0
0.2,0,0.08681,0,0
0.3,0.00021,0.08795,0,0
0.4,0.00042,0.08855,0,0
0.5,0.00083,0.09137,0,0
0.6,0.00146,0.09431,0,0
0.7,0.00229,0.09754,0,0
0.8,0.00354,0.10319,0,0
0.9,0.00604,0.11026,0,0
1,0.01083,0.12255,0,0
1.1,0.01854,0.14355,0,0
1.2,0.02771,0.17023,0,0
1.3,0.04021,0.20977,0,0
1.4,0.06167,0.2719,0,0
1.5,0.08583,0.3439,0,0
1.6,0.11646,0.44768,0,0
1.7,0.15125,0.58457,0,0
1.8,0.18812,0.74326,0,0
1.9,0.225,0.91475,0,0
2,0.26667,1.11596,0,0
2.1,0.31458,1.34825,0,0
2.2,0.36687,1.67235,0,0
2.3,0.4225,2.06469,0,0
2.4,0.47938,2.73566,0,0
2.5,0.53958,3.52353,0,0
2.6,0.59708,4.31473,0,0
2.7,0.65167,5.08587,0,0
2.8,0.70208,5.90725,0,0
2.9,0.74813,6.73709,0,0
3,0.78667,7.4709,0,0
3.1,0.81771,8.09077,0,0
3.2,0.83729,8.51964,0,0
3.3,0.8525,8.85749,0,0
3.4,0.8575,8.97445,0,0
3.5,0.85792,8.96299,0,0
3.6,0.85792,8.93574,0,0
3.7,0.85792,8.9144,0,0
3.8,0.85792,8.89875,0,0
3.9,0.85792,8.88434,0,0
4,0.85792,8.87153,0,0
4.1,0.85792,8.86063,0,0
4.2,0.8575,8.84992,0,0
4.3,0.8575,8.84251,0,0
4.4,0.8575,8.83491,0,0
4.5,0.85729,8.82623,0,0
4.6,0.85729,8.81924,0,0
4.7,0.85729,8.81347,0,0
4.8,0.85729,8.80609,0,0
4.9,0.85708,8.80058,0,0
5,0.85708,8.79406,0,0
5.1,0.85708,8.78948,0,0
5.2,0.85708,8.78579,0,0
5.3,0.85708,8.78046,0,0
5.4,0.85708,8.77488,0,0
5.5,0.85708,8.77088,0,0
5.6,0.85708,8.76789,0,0
5.7,0.85708,8.76482,0,0
5.8,0.85708,8.76087,0,0
5.9,0.85708,8.75621,0,0
6,0.85708,8.75437,0,0
6.1,0.8575,8.7511,0,0
6.2,0.8575,8.74638,0,0
6.3,0.8575,8.74534,0,0
6.4,0.85771,8.74266,0,0
6.5,0.85792,8.74142,0,0
6.6,0.85813,8.74044,0,0
6.7,0.85896,8.75246,0,0
6.8,0.86187,8.81095,0,0
6.9,0.86937,8.96255,0,0
7,0.88583,9.30895,0,0
