General : End date,"17/04/2023"
General : Excluded,False
General : Specimen number (included),2
General : Start date,"17/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{ECF30744-C4F2-4F05-9A21-9CF2E35A8026}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"FSR_no_pluck_2"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.05688","0.16493","0.00000","0.00000"
"0.10000","0.05688","0.16614","0.00000","0.00000"
"0.20000","0.05688","0.16703","0.00000","0.00000"
"0.30000","0.05708","0.16765","0.00000","0.00000"
"0.40000","0.05729","0.16686","0.00000","0.00000"
"0.50000","0.05771","0.16879","0.00000","0.00000"
"0.60000","0.05833","0.17100","0.00000","0.00000"
"0.70000","0.05979","0.17294","0.00000","0.00000"
"0.80000","0.06208","0.17966","0.00000","0.00000"
"0.90000","0.06646","0.19180","0.00000","0.00000"
"1.00000","0.07604","0.21387","0.00000","0.00000"
"1.10000","0.08729","0.24676","0.00000","0.00000"
"1.20000","0.10000","0.27861","0.00000","0.00000"
"1.30000","0.12104","0.33220","0.00000","0.00000"
"1.40000","0.14521","0.39551","0.00000","0.00000"
"1.50000","0.17625","0.47044","0.00000","0.00000"
"1.60000","0.21083","0.55145","0.00000","0.00000"
"1.70000","0.24771","0.69444","0.00000","0.00000"
"1.80000","0.28542","1.00061","0.00000","0.00000"
"1.90000","0.32750","1.25118","0.00000","0.00000"
"2.00000","0.37583","1.54302","0.00000","0.00000"
"2.10000","0.42917","1.88085","0.00000","0.00000"
"2.20000","0.48396","2.24798","0.00000","0.00000"
"2.30000","0.54063","2.66399","0.00000","0.00000"
"2.40000","0.60104","3.35699","0.00000","0.00000"
"2.50000","0.65833","4.16394","0.00000","0.00000"
"2.60000","0.71313","4.81599","0.00000","0.00000"
"2.70000","0.76396","5.51645","0.00000","0.00000"
"2.80000","0.81104","6.33788","0.00000","0.00000"
"2.90000","0.85104","7.13475","0.00000","0.00000"
"3.00000","0.88333","7.82891","0.00000","0.00000"
"3.10000","0.90708","8.33422","0.00000","0.00000"
"3.20000","0.92396","8.74836","0.00000","0.00000"
"3.30000","0.93208","8.93131","0.00000","0.00000"
"3.40000","0.93563","9.00473","0.00000","0.00000"
"3.50000","0.93583","8.99358","0.00000","0.00000"
"3.60000","0.93583","8.96947","0.00000","0.00000"
"3.70000","0.93583","8.95242","0.00000","0.00000"
"3.80000","0.93583","8.93682","0.00000","0.00000"
"3.90000","0.93583","8.92488","0.00000","0.00000"
"4.00000","0.93583","8.91544","0.00000","0.00000"
"4.10000","0.93583","8.90380","0.00000","0.00000"
"4.20000","0.93583","8.89553","0.00000","0.00000"
"4.30000","0.93542","8.88732","0.00000","0.00000"
"4.40000","0.93542","8.87847","0.00000","0.00000"
"4.50000","0.93521","8.87144","0.00000","0.00000"
"4.60000","0.93521","8.86390","0.00000","0.00000"
"4.70000","0.93521","8.85612","0.00000","0.00000"
"4.80000","0.93500","8.84899","0.00000","0.00000"
"4.90000","0.93500","8.84390","0.00000","0.00000"
"5.00000","0.93500","8.83741","0.00000","0.00000"
"5.10000","0.93500","8.83450","0.00000","0.00000"
"5.20000","0.93500","8.82907","0.00000","0.00000"
"5.30000","0.93500","8.82544","0.00000","0.00000"
"5.40000","0.93500","8.82109","0.00000","0.00000"
"5.50000","0.93500","8.81787","0.00000","0.00000"
"5.60000","0.93500","8.81465","0.00000","0.00000"
"5.70000","0.93500","8.81227","0.00000","0.00000"
"5.80000","0.93500","8.80757","0.00000","0.00000"
"5.90000","0.93500","8.80511","0.00000","0.00000"
