General : End date,"17/04/2023"
General : Excluded,False
General : Specimen number (included),3
General : Start date,"17/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{A672D2D7-04BF-47E3-AD2B-8BFF8A109C58}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_no_pluck_3"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.00542","0.00000","0.00000"
"0.10000","0.00000","0.00502","0.00000","0.00000"
"0.20000","0.00021","0.00558","0.00000","0.00000"
"0.30000","0.00021","0.00644","0.00000","0.00000"
"0.40000","0.00021","0.00576","0.00000","0.00000"
"0.50000","0.00021","0.00626","0.00000","0.00000"
"0.60000","0.00021","0.00465","0.00000","0.00000"
"0.70000","0.00042","0.00447","0.00000","0.00000"
"0.80000","0.00063","0.00490","0.00000","0.00000"
"0.90000","0.00104","0.00580","0.00000","0.00000"
"1.00000","0.00125","0.00627","0.00000","0.00000"
"1.10000","0.00146","0.00594","0.00000","0.00000"
"1.20000","0.00208","0.00603","0.00000","0.00000"
"1.30000","0.00313","0.00465","0.00000","0.00000"
"1.40000","0.00479","0.00739","0.00000","0.00000"
"1.50000","0.00792","0.00919","0.00000","0.00000"
"1.60000","0.01562","0.01786","0.00000","0.00000"
"1.70000","0.02771","0.04223","0.00000","0.00000"
"1.80000","0.04250","0.07839","0.00000","0.00000"
"1.90000","0.06542","0.15244","0.00000","0.00000"
"2.00000","0.08708","0.22872","0.00000","0.00000"
"2.10000","0.11688","0.34305","0.00000","0.00000"
"2.20000","0.15479","0.48787","0.00000","0.00000"
"2.30000","0.20167","0.62381","0.00000","0.00000"
"2.40000","0.25521","0.87983","0.00000","0.00000"
"2.50000","0.31354","1.19036","0.00000","0.00000"
"2.60000","0.37917","1.66055","0.00000","0.00000"
"2.70000","0.45021","2.19561","0.00000","0.00000"
"2.80000","0.52292","2.85885","0.00000","0.00000"
"2.90000","0.59750","3.64735","0.00000","0.00000"
