General : End date,"17/04/2023"
General : Excluded,False
General : Specimen number (included),6
General : Start date,"17/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{0C982389-0816-4C6E-81E9-B6DEE31E5436}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_no_pluck_6"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00021","0.00087","0.00000","0.00000"
"0.10000","0.00021","0.00082","0.00000","0.00000"
"0.20000","0.00021","0.00071","0.00000","0.00000"
"0.30000","0.00021","0.00108","0.00000","0.00000"
"0.40000","0.00021","0.00248","0.00000","0.00000"
"0.50000","0.00021","0.00275","0.00000","0.00000"
"0.60000","0.00021","0.00294","0.00000","0.00000"
"0.70000","0.00042","-0.00055","0.00000","0.00000"
"0.80000","0.00063","-0.00010","0.00000","0.00000"
"0.90000","0.00104","0.00212","0.00000","0.00000"
"1.00000","0.00125","-0.00040","0.00000","0.00000"
"1.10000","0.00146","-0.00039","0.00000","0.00000"
"1.20000","0.00208","0.00263","0.00000","0.00000"
"1.30000","0.00292","0.00177","0.00000","0.00000"
"1.40000","0.00417","0.00013","0.00000","0.00000"
"1.50000","0.00667","0.00343","0.00000","0.00000"
"1.60000","0.01104","0.00925","0.00000","0.00000"
"1.70000","0.01771","0.01583","0.00000","0.00000"
"1.80000","0.02875","0.03455","0.00000","0.00000"
"1.90000","0.04896","0.06284","0.00000","0.00000"
"2.00000","0.07021","0.09912","0.00000","0.00000"
"2.10000","0.10021","0.14013","0.00000","0.00000"
"2.20000","0.13813","0.21334","0.00000","0.00000"
"2.30000","0.18458","0.33808","0.00000","0.00000"
"2.40000","0.23875","0.50066","0.00000","0.00000"
"2.50000","0.30063","0.64809","0.00000","0.00000"
"2.60000","0.37104","0.95653","0.00000","0.00000"
"2.70000","0.44771","1.36602","0.00000","0.00000"
"2.80000","0.52917","1.88222","0.00000","0.00000"
"2.90000","0.61625","2.55504","0.00000","0.00000"
"3.00000","0.70312","3.63768","0.00000","0.00000"
"3.10000","0.78958","4.77708","0.00000","0.00000"
"3.20000","0.87208","6.19222","0.00000","0.00000"
"3.30000","0.94333","7.50677","0.00000","0.00000"
"3.40000","1.00854","8.73097","0.00000","0.00000"
"3.50000","1.06083","9.85076","0.00000","0.00000"
"3.60000","1.09917","10.72769","0.00000","0.00000"
"3.70000","1.12583","11.32396","0.00000","0.00000"
"3.80000","1.13792","11.65345","0.00000","0.00000"
"3.90000","1.14042","11.69252","0.00000","0.00000"
"4.00000","1.14042","11.65152","0.00000","0.00000"
"4.10000","1.14042","11.62609","0.00000","0.00000"
"4.20000","1.14000","11.59981","0.00000","0.00000"
"4.30000","1.13979","11.57796","0.00000","0.00000"
"4.40000","1.13938","11.55915","0.00000","0.00000"
"4.50000","1.13896","11.53565","0.00000","0.00000"
"4.60000","1.13854","11.51528","0.00000","0.00000"
"4.70000","1.13750","11.48300","0.00000","0.00000"
"4.80000","1.13563","11.43131","0.00000","0.00000"
"4.90000","1.13271","11.35356","0.00000","0.00000"
"5.00000","1.12854","11.24395","0.00000","0.00000"
"5.10000","1.12313","11.10376","0.00000","0.00000"
"5.20000","1.11583","10.93171","0.00000","0.00000"
"5.30000","1.10396","10.66407","0.00000","0.00000"
"5.40000","1.08875","10.30052","0.00000","0.00000"
"5.50000","1.07708","10.00458","0.00000","0.00000"
"5.60000","1.06500","9.72557","0.00000","0.00000"
"5.70000","1.05292","9.43227","0.00000","0.00000"
"5.80000","1.04604","9.24565","0.00000","0.00000"
"5.90000","1.04333","9.17515","0.00000","0.00000"
"6.00000","1.04229","9.16025","0.00000","0.00000"
"6.10000","1.04229","9.15891","0.00000","0.00000"
"6.20000","1.04229","9.16355","0.00000","0.00000"
"6.30000","1.04229","9.16597","0.00000","0.00000"
"6.40000","1.04229","9.16872","0.00000","0.00000"
"6.50000","1.04229","9.16815","0.00000","0.00000"
"6.60000","1.04229","9.16850","0.00000","0.00000"
"6.70000","1.04229","9.16900","0.00000","0.00000"
"6.80000","1.04229","9.16895","0.00000","0.00000"
"6.90000","1.04271","9.16937","0.00000","0.00000"
"7.00000","1.04292","9.17116","0.00000","0.00000"
"7.10000","1.04333","9.18470","0.00000","0.00000"
"7.20000","1.04375","9.19836","0.00000","0.00000"
"7.30000","1.04396","9.20214","0.00000","0.00000"
"7.40000","1.04500","9.22108","0.00000","0.00000"
"7.50000","1.04625","9.24791","0.00000","0.00000"
"7.60000","1.04854","9.29478","0.00000","0.00000"
"7.70000","1.05250","9.37117","0.00000","0.00000"
"7.80000","1.05958","9.51104","0.00000","0.00000"
"7.90000","1.07479","9.81397","0.00000","0.00000"
"8.00000","1.09583","10.30658","0.00000","0.00000"
"8.10000","1.12063","10.84418","0.00000","0.00000"
"8.20000","1.14792","11.52411","0.00000","0.00000"
"8.30000","1.17604","12.23487","0.00000","0.00000"
"8.40000","1.20375","12.90967","0.00000","0.00000"
"8.50000","1.22938","13.64134","0.00000","0.00000"
"8.60000","1.25542","14.40230","0.00000","0.00000"
"8.70000","1.27771","15.03784","0.00000","0.00000"
"8.80000","1.29500","15.60875","0.00000","0.00000"
"8.90000","1.30667","15.96015","0.00000","0.00000"
"9.00000","1.31792","16.28297","0.00000","0.00000"
"9.10000","1.32563","16.54235","0.00000","0.00000"
"9.20000","1.32938","16.65528","0.00000","0.00000"
"9.30000","1.33083","16.68203","0.00000","0.00000"
"9.40000","1.33125","16.67936","0.00000","0.00000"
"9.50000","1.33146","16.66745","0.00000","0.00000"
"9.60000","1.33167","16.65272","0.00000","0.00000"
"9.70000","1.33167","16.63824","0.00000","0.00000"
"9.80000","1.33167","16.62567","0.00000","0.00000"
"9.90000","1.33167","16.61480","0.00000","0.00000"
"10.00000","1.33188","16.60561","0.00000","0.00000"
"10.10000","1.33188","16.59892","0.00000","0.00000"
"10.20000","1.33208","16.59469","0.00000","0.00000"
"10.30000","1.33250","16.60046","0.00000","0.00000"
"10.40000","1.33333","16.61782","0.00000","0.00000"
"10.50000","1.33500","16.65923","0.00000","0.00000"
