General : End date,"17/04/2023"
General : Excluded,False
General : Specimen number (included),7
General : Start date,"17/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{9E4E57A4-CB6B-4102-A657-F12131FAE3CF}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_no_pluck_7"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","-0.00021","0.03674","0.00000","0.00000"
"0.10000","-0.00021","0.03722","0.00000","0.00000"
"0.20000","-0.00021","0.03600","0.00000","0.00000"
"0.30000","-0.00021","0.03579","0.00000","0.00000"
"0.40000","-0.00021","0.03642","0.00000","0.00000"
"0.50000","-0.00021","0.03561","0.00000","0.00000"
"0.60000","-0.00021","0.03498","0.00000","0.00000"
"0.70000","-0.00021","0.03599","0.00000","0.00000"
"0.80000","-0.00021","0.03614","0.00000","0.00000"
"0.90000","-0.00021","0.03644","0.00000","0.00000"
"1.00000","-0.00021","0.03511","0.00000","0.00000"
"1.10000","0.00021","0.03756","0.00000","0.00000"
"1.20000","0.00063","0.03727","0.00000","0.00000"
"1.30000","0.00292","0.04187","0.00000","0.00000"
"1.40000","0.00771","0.05503","0.00000","0.00000"
"1.50000","0.01500","0.07183","0.00000","0.00000"
"1.60000","0.02792","0.09745","0.00000","0.00000"
"1.70000","0.04729","0.13143","0.00000","0.00000"
"1.80000","0.07250","0.17078","0.00000","0.00000"
"1.90000","0.10563","0.21748","0.00000","0.00000"
"2.00000","0.14521","0.29588","0.00000","0.00000"
"2.10000","0.19146","0.41326","0.00000","0.00000"
"2.20000","0.24646","0.58152","0.00000","0.00000"
"2.30000","0.30896","0.82827","0.00000","0.00000"
"2.40000","0.37729","0.96058","0.00000","0.00000"
"2.50000","0.45188","1.28496","0.00000","0.00000"
"2.60000","0.53438","1.45994","0.00000","0.00000"
"2.70000","0.61979","2.16471","0.00000","0.00000"
"2.80000","0.70833","3.08943","0.00000","0.00000"
"2.90000","0.79625","4.34093","0.00000","0.00000"
"3.00000","0.87729","5.72119","0.00000","0.00000"
"3.10000","0.95438","6.84230","0.00000","0.00000"
"3.20000","1.01979","8.21654","0.00000","0.00000"
"3.30000","1.07667","9.41494","0.00000","0.00000"
"3.40000","1.12063","10.51020","0.00000","0.00000"
"3.50000","1.15125","11.31340","0.00000","0.00000"
"3.60000","1.16563","11.75189","0.00000","0.00000"
"3.70000","1.16854","11.79655","0.00000","0.00000"
"3.80000","1.16854","11.73450","0.00000","0.00000"
"3.90000","1.16854","11.69430","0.00000","0.00000"
"4.00000","1.16813","11.66437","0.00000","0.00000"
"4.10000","1.16792","11.63419","0.00000","0.00000"
"4.20000","1.16729","11.60185","0.00000","0.00000"
"4.30000","1.16688","11.55873","0.00000","0.00000"
"4.40000","1.16625","11.51656","0.00000","0.00000"
"4.50000","1.16479","11.44160","0.00000","0.00000"
"4.60000","1.16229","11.32432","0.00000","0.00000"
"4.70000","1.15792","11.13882","0.00000","0.00000"
"4.80000","1.15229","10.88519","0.00000","0.00000"
"4.90000","1.14583","10.61309","0.00000","0.00000"
"5.00000","1.13646","10.29801","0.00000","0.00000"
"5.10000","1.12375","9.92200","0.00000","0.00000"
"5.20000","1.11208","9.58338","0.00000","0.00000"
"5.30000","1.10292","9.34725","0.00000","0.00000"
"5.40000","1.09271","9.09788","0.00000","0.00000"
"5.50000","1.08229","8.81915","0.00000","0.00000"
"5.60000","1.07583","8.63830","0.00000","0.00000"
"5.70000","1.07313","8.56763","0.00000","0.00000"
"5.80000","1.07229","8.56030","0.00000","0.00000"
"5.90000","1.07229","8.57400","0.00000","0.00000"
"6.00000","1.07229","8.58310","0.00000","0.00000"
"6.10000","1.07229","8.58857","0.00000","0.00000"
"6.20000","1.07229","8.59401","0.00000","0.00000"
"6.30000","1.07229","8.59761","0.00000","0.00000"
"6.40000","1.07229","8.59904","0.00000","0.00000"
"6.50000","1.07271","8.60316","0.00000","0.00000"
"6.60000","1.07271","8.60424","0.00000","0.00000"
"6.70000","1.07313","8.60926","0.00000","0.00000"
"6.80000","1.07354","8.62636","0.00000","0.00000"
"6.90000","1.07396","8.64583","0.00000","0.00000"
"7.00000","1.07438","8.66116","0.00000","0.00000"
"7.10000","1.07521","8.69904","0.00000","0.00000"
"7.20000","1.07667","8.74852","0.00000","0.00000"
"7.30000","1.07917","8.83217","0.00000","0.00000"
"7.40000","1.08312","8.97876","0.00000","0.00000"
"7.50000","1.09146","9.25777","0.00000","0.00000"
"7.60000","1.10979","9.84832","0.00000","0.00000"
"7.70000","1.13021","10.46433","0.00000","0.00000"
"7.80000","1.15500","11.10194","0.00000","0.00000"
"7.90000","1.17750","11.74945","0.00000","0.00000"
"8.00000","1.19979","12.34517","0.00000","0.00000"
"8.10000","1.21688","12.82590","0.00000","0.00000"
"8.20000","1.23646","13.38574","0.00000","0.00000"
"8.30000","1.25167","13.90509","0.00000","0.00000"
"8.40000","1.26792","14.43418","0.00000","0.00000"
"8.50000","1.28104","14.92291","0.00000","0.00000"
"8.60000","1.28938","15.22247","0.00000","0.00000"
"8.70000","1.29604","15.44349","0.00000","0.00000"
"8.80000","1.30250","15.65428","0.00000","0.00000"
"8.90000","1.30854","15.84923","0.00000","0.00000"
"9.00000","1.31188","15.95793","0.00000","0.00000"
"9.10000","1.31375","16.01482","0.00000","0.00000"
"9.20000","1.31500","16.03689","0.00000","0.00000"
"9.30000","1.31542","16.03608","0.00000","0.00000"
"9.40000","1.31583","16.03219","0.00000","0.00000"
"9.50000","1.31625","16.02811","0.00000","0.00000"
"9.60000","1.31646","16.02900","0.00000","0.00000"
"9.70000","1.31708","16.03709","0.00000","0.00000"
"9.80000","1.31771","16.05675","0.00000","0.00000"
"9.90000","1.31875","16.08914","0.00000","0.00000"
"10.00000","1.32000","16.13558","0.00000","0.00000"
"10.10000","1.32167","16.19324","0.00000","0.00000"
"10.20000","1.32417","16.27649","0.00000","0.00000"
"10.30000","1.32833","16.42504","0.00000","0.00000"
"10.40000","1.33458","16.64261","0.00000","0.00000"
"10.50000","1.34375","16.96611","0.00000","0.00000"
"10.60000","1.35458","17.39187","0.00000","0.00000"
"10.70000","1.36313","17.71304","0.00000","0.00000"
"10.80000","1.37083","18.01920","0.00000","0.00000"
"10.90000","1.37833","18.32265","0.00000","0.00000"
"11.00000","1.38667","18.66058","0.00000","0.00000"
"11.10000","1.39333","18.94290","0.00000","0.00000"
"11.20000","1.39750","19.11819","0.00000","0.00000"
"11.30000","1.40000","19.22297","0.00000","0.00000"
"11.40000","1.40208","19.29256","0.00000","0.00000"
"11.50000","1.40417","19.36731","0.00000","0.00000"
"11.60000","1.40625","19.45264","0.00000","0.00000"
"11.70000","1.40833","19.53312","0.00000","0.00000"
"11.80000","1.41083","19.62770","0.00000","0.00000"
"11.90000","1.41354","19.74603","0.00000","0.00000"
"12.00000","1.41667","19.87178","0.00000","0.00000"
"12.10000","1.42083","20.04429","0.00000","0.00000"
"12.20000","1.42604","20.23190","0.00000","0.00000"
"12.30000","1.43250","19.89310","0.00000","0.00000"
"12.40000","1.43833","20.25639","0.00000","0.00000"
"12.50000","1.44354","20.54261","0.00000","0.00000"
"12.60000","1.45000","20.84585","0.00000","0.00000"
"12.70000","1.45729","21.17949","0.00000","0.00000"
"12.80000","1.46521","21.53821","0.00000","0.00000"
"12.90000","1.47167","21.83442","0.00000","0.00000"
"13.00000","1.47646","22.02930","0.00000","0.00000"
"13.10000","1.47979","22.15571","0.00000","0.00000"
"13.20000","1.48271","22.25424","0.00000","0.00000"
"13.30000","1.48583","22.36629","0.00000","0.00000"
"13.40000","1.48896","22.48606","0.00000","0.00000"
"13.50000","1.49229","22.62404","0.00000","0.00000"
"13.60000","1.49583","22.77234","0.00000","0.00000"
"13.70000","1.49979","22.93650","0.00000","0.00000"
"13.80000","1.50417","23.11706","0.00000","0.00000"
"13.90000","1.50833","23.29852","0.00000","0.00000"
"14.00000","1.51146","23.43299","0.00000","0.00000"
"14.10000","1.51417","23.54644","0.00000","0.00000"
"14.20000","1.51646","23.63441","0.00000","0.00000"
"14.30000","1.51896","23.72914","0.00000","0.00000"
"14.40000","1.52125","23.82491","0.00000","0.00000"
"14.50000","1.52438","23.94886","0.00000","0.00000"
"14.60000","1.52854","24.11804","0.00000","0.00000"
"14.70000","1.53438","24.36781","0.00000","0.00000"
"14.80000","1.54062","24.66643","0.00000","0.00000"
"14.90000","1.54708","24.96350","0.00000","0.00000"
"15.00000","1.55146","25.18689","0.00000","0.00000"
"15.10000","1.55479","25.35715","0.00000","0.00000"
"15.20000","1.55729","25.48380","0.00000","0.00000"
"15.30000","1.55938","25.58794","0.00000","0.00000"
"15.40000","1.56167","25.69510","0.00000","0.00000"
"15.50000","1.56438","25.82961","0.00000","0.00000"
"15.60000","1.56750","25.98818","0.00000","0.00000"
"15.70000","1.57146","26.19161","0.00000","0.00000"
"15.80000","1.57583","26.42804","0.00000","0.00000"
"15.90000","1.58021","26.67602","0.00000","0.00000"
"16.00000","1.58417","26.87689","0.00000","0.00000"
"16.10000","1.58708","27.03131","0.00000","0.00000"
"16.20000","1.58917","27.12147","0.00000","0.00000"
"16.30000","1.59083","27.19817","0.00000","0.00000"
"16.40000","1.59229","27.26204","0.00000","0.00000"
"16.50000","1.59354","27.30403","0.00000","0.00000"
"16.60000","1.59521","27.36482","0.00000","0.00000"
"16.70000","1.59688","27.44386","0.00000","0.00000"
"16.80000","1.59875","27.52644","0.00000","0.00000"
"16.90000","1.60167","27.64376","0.00000","0.00000"
"17.00000","1.60604","27.84349","0.00000","0.00000"
"17.10000","1.61250","28.14345","0.00000","0.00000"
"17.20000","1.62083","28.56221","0.00000","0.00000"
"17.30000","1.62833","28.96604","0.00000","0.00000"
"17.40000","1.63313","29.22248","0.00000","0.00000"
"17.50000","1.63646","29.38048","0.00000","0.00000"
"17.60000","1.63896","29.49040","0.00000","0.00000"
"17.70000","1.64146","29.59139","0.00000","0.00000"
"17.80000","1.64396","29.69694","0.00000","0.00000"
"17.90000","1.64667","29.82398","0.00000","0.00000"
"18.00000","1.65042","29.99012","0.00000","0.00000"
"18.10000","1.65479","30.19335","0.00000","0.00000"
"18.20000","1.66000","30.45375","0.00000","0.00000"
"18.30000","1.66438","30.68925","0.00000","0.00000"
"18.40000","1.66771","30.85529","0.00000","0.00000"
"18.50000","1.67042","30.97169","0.00000","0.00000"
"18.60000","1.67229","31.06357","0.00000","0.00000"
"18.70000","1.67396","31.12237","0.00000","0.00000"
"18.80000","1.67563","31.19009","0.00000","0.00000"
"18.90000","1.67729","31.26771","0.00000","0.00000"
"19.00000","1.67938","31.35038","0.00000","0.00000"
"19.10000","1.68208","31.47402","0.00000","0.00000"
"19.20000","1.68625","31.66319","0.00000","0.00000"
"19.30000","1.69250","31.96968","0.00000","0.00000"
"19.40000","1.70063","32.38833","0.00000","0.00000"
"19.50000","1.70771","32.79551","0.00000","0.00000"
"19.60000","1.71229","33.06395","0.00000","0.00000"
"19.70000","1.71521","33.22358","0.00000","0.00000"
"19.80000","1.71708","33.32924","0.00000","0.00000"
"19.90000","1.71875","33.40470","0.00000","0.00000"
"20.00000","1.72021","33.47068","0.00000","0.00000"
"20.10000","1.72188","33.55087","0.00000","0.00000"
"20.20000","1.72375","33.64793","0.00000","0.00000"
"20.30000","1.72604","33.76517","0.00000","0.00000"
"20.40000","1.72917","33.93257","0.00000","0.00000"
"20.50000","1.73292","34.15175","0.00000","0.00000"
"20.60000","1.73792","34.41627","0.00000","0.00000"
"20.70000","1.74271","34.69857","0.00000","0.00000"
"20.80000","1.74646","34.92055","0.00000","0.00000"
"20.90000","1.74917","35.05709","0.00000","0.00000"
"21.00000","1.75104","35.15795","0.00000","0.00000"
"21.10000","1.75271","35.22195","0.00000","0.00000"
"21.20000","1.75396","35.28649","0.00000","0.00000"
"21.30000","1.75542","35.35145","0.00000","0.00000"
"21.40000","1.75688","35.41950","0.00000","0.00000"
"21.50000","1.75854","35.48964","0.00000","0.00000"
"21.60000","1.76063","35.59367","0.00000","0.00000"
