General : End date,"17/04/2023"
General : Excluded,False
General : Specimen number (included),8
General : Start date,"17/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{EDFB00EC-EF73-4BD7-8114-4802413CD956}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_no_pluck_8"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","-0.00042","0.01213","0.00000","0.00000"
"0.10000","-0.00042","0.01309","0.00000","0.00000"
"0.20000","-0.00042","0.01222","0.00000","0.00000"
"0.30000","-0.00042","0.01322","0.00000","0.00000"
"0.40000","-0.00042","0.01166","0.00000","0.00000"
"0.50000","-0.00042","0.01181","0.00000","0.00000"
"0.60000","-0.00042","0.01329","0.00000","0.00000"
"0.70000","-0.00042","0.01291","0.00000","0.00000"
"0.80000","-0.00042","0.01408","0.00000","0.00000"
"0.90000","-0.00042","0.01322","0.00000","0.00000"
"1.00000","0.00000","0.01669","0.00000","0.00000"
"1.10000","0.00000","0.01366","0.00000","0.00000"
"1.20000","0.00021","0.01313","0.00000","0.00000"
"1.30000","0.00021","0.01425","0.00000","0.00000"
"1.40000","0.00104","0.01528","0.00000","0.00000"
"1.50000","0.00479","0.01914","0.00000","0.00000"
"1.60000","0.01500","0.02751","0.00000","0.00000"
"1.70000","0.03208","0.02958","0.00000","0.00000"
"1.80000","0.05667","0.02869","0.00000","0.00000"
"1.90000","0.08667","0.02565","0.00000","0.00000"
"2.00000","0.12250","0.02429","0.00000","0.00000"
"2.10000","0.16396","0.02421","0.00000","0.00000"
"2.20000","0.21146","0.03202","0.00000","0.00000"
"2.30000","0.26896","0.03551","0.00000","0.00000"
"2.40000","0.33417","0.04801","0.00000","0.00000"
"2.50000","0.40750","0.11176","0.00000","0.00000"
"2.60000","0.49208","0.38391","0.00000","0.00000"
"2.70000","0.58333","0.81235","0.00000","0.00000"
"2.80000","0.68042","1.34256","0.00000","0.00000"
"2.90000","0.78354","2.01158","0.00000","0.00000"
"3.00000","0.89000","2.78565","0.00000","0.00000"
"3.10000","0.99729","3.72787","0.00000","0.00000"
"3.20000","1.10042","5.65762","0.00000","0.00000"
"3.30000","1.19125","7.79911","0.00000","0.00000"
"3.40000","1.27021","9.74285","0.00000","0.00000"
"3.50000","1.33458","11.45134","0.00000","0.00000"
"3.60000","1.38125","12.53392","0.00000","0.00000"
"3.70000","1.40854","13.28394","0.00000","0.00000"
"3.80000","1.42042","13.64899","0.00000","0.00000"
"3.90000","1.42104","13.62422","0.00000","0.00000"
"4.00000","1.42104","13.57014","0.00000","0.00000"
"4.10000","1.42062","13.53229","0.00000","0.00000"
"4.20000","1.42000","13.48806","0.00000","0.00000"
"4.30000","1.41938","13.43043","0.00000","0.00000"
"4.40000","1.41771","13.36126","0.00000","0.00000"
"4.50000","1.41375","13.19153","0.00000","0.00000"
"4.60000","1.40562","12.86233","0.00000","0.00000"
"4.70000","1.39000","12.22955","0.00000","0.00000"
"4.80000","1.37021","11.60834","0.00000","0.00000"
"4.90000","1.34792","11.03117","0.00000","0.00000"
"5.00000","1.32500","10.44205","0.00000","0.00000"
"5.10000","1.30000","9.91269","0.00000","0.00000"
"5.20000","1.27750","9.42391","0.00000","0.00000"
"5.30000","1.25417","8.85249","0.00000","0.00000"
"5.40000","1.23583","8.37371","0.00000","0.00000"
"5.50000","1.21979","7.93010","0.00000","0.00000"
"5.60000","1.21229","7.71831","0.00000","0.00000"
"5.70000","1.20979","7.66154","0.00000","0.00000"
"5.80000","1.20958","7.66897","0.00000","0.00000"
"5.90000","1.20958","7.68544","0.00000","0.00000"
"6.00000","1.20958","7.69549","0.00000","0.00000"
"6.10000","1.20958","7.70239","0.00000","0.00000"
"6.20000","1.20958","7.70814","0.00000","0.00000"
"6.30000","1.20958","7.71189","0.00000","0.00000"
"6.40000","1.21000","7.71462","0.00000","0.00000"
"6.50000","1.21042","7.72657","0.00000","0.00000"
"6.60000","1.21083","7.74951","0.00000","0.00000"
"6.70000","1.21146","7.76490","0.00000","0.00000"
"6.80000","1.21250","7.79599","0.00000","0.00000"
"6.90000","1.21417","7.85384","0.00000","0.00000"
"7.00000","1.21729","7.95825","0.00000","0.00000"
"7.10000","1.22292","8.15029","0.00000","0.00000"
"7.20000","1.23167","8.45018","0.00000","0.00000"
"7.30000","1.24896","8.90562","0.00000","0.00000"
"7.40000","1.27021","9.54863","0.00000","0.00000"
"7.50000","1.29771","10.23206","0.00000","0.00000"
"7.60000","1.32521","10.94248","0.00000","0.00000"
"7.70000","1.35396","11.62707","0.00000","0.00000"
"7.80000","1.38146","12.29368","0.00000","0.00000"
"7.90000","1.40396","12.89370","0.00000","0.00000"
"8.00000","1.42521","13.50125","0.00000","0.00000"
"8.10000","1.44125","13.95681","0.00000","0.00000"
"8.20000","1.45729","14.40875","0.00000","0.00000"
"8.30000","1.46729","14.72754","0.00000","0.00000"
"8.40000","1.47479","14.94631","0.00000","0.00000"
"8.50000","1.48146","15.12853","0.00000","0.00000"
"8.60000","1.48813","15.31529","0.00000","0.00000"
"8.70000","1.49292","15.46814","0.00000","0.00000"
"8.80000","1.49583","15.53980","0.00000","0.00000"
"8.90000","1.49750","15.57972","0.00000","0.00000"
"9.00000","1.49833","15.58878","0.00000","0.00000"
"9.10000","1.49896","15.59005","0.00000","0.00000"
"9.20000","1.49938","15.58832","0.00000","0.00000"
"9.30000","1.49979","15.58954","0.00000","0.00000"
"9.40000","1.50021","15.59673","0.00000","0.00000"
"9.50000","1.50083","15.60929","0.00000","0.00000"
"9.60000","1.50167","15.63232","0.00000","0.00000"
"9.70000","1.50292","15.66630","0.00000","0.00000"
"9.80000","1.50437","15.70380","0.00000","0.00000"
"9.90000","1.50688","15.76476","0.00000","0.00000"
"10.00000","1.51104","15.88234","0.00000","0.00000"
"10.10000","1.51792","16.07520","0.00000","0.00000"
"10.20000","1.52833","16.36295","0.00000","0.00000"
"10.30000","1.54000","16.73686","0.00000","0.00000"
