General : End date,"17/04/2023"
General : Excluded,False
General : Specimen number (included),9
General : Start date,"17/04/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{FC9E5EB6-FB3A-4AD8-B5E2-7FF1F9B078FB}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fsr_no_pluck_9"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","0.00447","0.00000","0.00000"
"0.10000","0.00000","0.00608","0.00000","0.00000"
"0.20000","0.00000","0.00469","0.00000","0.00000"
"0.30000","0.00000","0.00318","0.00000","0.00000"
"0.40000","0.00000","0.00371","0.00000","0.00000"
"0.50000","0.00000","0.00327","0.00000","0.00000"
"0.60000","0.00042","0.00441","0.00000","0.00000"
"0.70000","0.00063","0.00428","0.00000","0.00000"
"0.80000","0.00063","0.00477","0.00000","0.00000"
"0.90000","0.00125","0.00355","0.00000","0.00000"
"1.00000","0.00188","0.00423","0.00000","0.00000"
"1.10000","0.00292","0.00476","0.00000","0.00000"
"1.20000","0.00458","0.00663","0.00000","0.00000"
"1.30000","0.00750","0.00678","0.00000","0.00000"
"1.40000","0.01125","0.01246","0.00000","0.00000"
"1.50000","0.01792","0.02034","0.00000","0.00000"
"1.60000","0.02979","0.03995","0.00000","0.00000"
"1.70000","0.05271","0.09949","0.00000","0.00000"
"1.80000","0.07792","0.17313","0.00000","0.00000"
"1.90000","0.10938","0.26820","0.00000","0.00000"
"2.00000","0.14583","0.37629","0.00000","0.00000"
"2.10000","0.18625","0.51450","0.00000","0.00000"
"2.20000","0.23063","0.70240","0.00000","0.00000"
"2.30000","0.28188","0.95778","0.00000","0.00000"
"2.40000","0.33771","1.30931","0.00000","0.00000"
"2.50000","0.39604","1.76478","0.00000","0.00000"
"2.60000","0.45958","2.48911","0.00000","0.00000"
"2.70000","0.52604","2.77929","0.00000","0.00000"
"2.80000","0.59229","3.90372","0.00000","0.00000"
"2.90000","0.65958","4.39130","0.00000","0.00000"
"3.00000","0.72583","5.33129","0.00000","0.00000"
"3.10000","0.78479","6.20222","0.00000","0.00000"
"3.20000","0.83854","7.14463","0.00000","0.00000"
"3.30000","0.88479","7.84823","0.00000","0.00000"
"3.40000","0.92313","8.53803","0.00000","0.00000"
"3.50000","0.95125","9.07083","0.00000","0.00000"
"3.60000","0.97208","9.51391","0.00000","0.00000"
"3.70000","0.98063","9.71279","0.00000","0.00000"
"3.80000","0.98417","9.78255","0.00000","0.00000"
"3.90000","0.98438","9.75913","0.00000","0.00000"
"4.00000","0.98438","9.73258","0.00000","0.00000"
"4.10000","0.98438","9.71176","0.00000","0.00000"
"4.20000","0.98438","9.69497","0.00000","0.00000"
"4.30000","0.98438","9.68013","0.00000","0.00000"
"4.40000","0.98438","9.66703","0.00000","0.00000"
"4.50000","0.98438","9.65591","0.00000","0.00000"
"4.60000","0.98396","9.64488","0.00000","0.00000"
"4.70000","0.98375","9.63494","0.00000","0.00000"
"4.80000","0.98375","9.62531","0.00000","0.00000"
"4.90000","0.98354","9.61423","0.00000","0.00000"
"5.00000","0.98354","9.60655","0.00000","0.00000"
"5.10000","0.98333","9.59705","0.00000","0.00000"
"5.20000","0.98333","9.59007","0.00000","0.00000"
"5.30000","0.98313","9.58304","0.00000","0.00000"
"5.40000","0.98313","9.57695","0.00000","0.00000"
"5.50000","0.98313","9.57148","0.00000","0.00000"
"5.60000","0.98313","9.56573","0.00000","0.00000"
"5.70000","0.98313","9.56134","0.00000","0.00000"
"5.80000","0.98313","9.55639","0.00000","0.00000"
"5.90000","0.98313","9.55358","0.00000","0.00000"
"6.00000","0.98313","9.54928","0.00000","0.00000"
"6.10000","0.98313","9.54568","0.00000","0.00000"
"6.20000","0.98313","9.54212","0.00000","0.00000"
"6.30000","0.98313","9.53819","0.00000","0.00000"
"6.40000","0.98313","9.53474","0.00000","0.00000"
"6.50000","0.98313","9.53210","0.00000","0.00000"
"6.60000","0.98313","9.52956","0.00000","0.00000"
"6.70000","0.98354","9.52454","0.00000","0.00000"
"6.80000","0.98354","9.52277","0.00000","0.00000"
"6.90000","0.98375","9.52243","0.00000","0.00000"
"7.00000","0.98396","9.52274","0.00000","0.00000"
"7.10000","0.98417","9.52623","0.00000","0.00000"
"7.20000","0.98438","9.52967","0.00000","0.00000"
"7.30000","0.98479","9.53060","0.00000","0.00000"
"7.40000","0.98667","9.57349","0.00000","0.00000"
"7.50000","0.99458","9.76278","0.00000","0.00000"
"7.60000","1.00813","10.09702","0.00000","0.00000"
"7.70000","1.02375","10.41749","0.00000","0.00000"
"7.80000","1.04854","11.02658","0.00000","0.00000"
"7.90000","1.07479","11.65351","0.00000","0.00000"
"8.00000","1.10208","12.62499","0.00000","0.00000"
"8.10000","1.12812","13.64588","0.00000","0.00000"
"8.20000","1.14729","14.29870","0.00000","0.00000"
"8.30000","1.16417","14.89531","0.00000","0.00000"
"8.40000","1.17417","15.20886","0.00000","0.00000"
"8.50000","1.18021","15.43246","0.00000","0.00000"
"8.60000","1.18438","15.56423","0.00000","0.00000"
"8.70000","1.18729","15.64307","0.00000","0.00000"
"8.80000","1.18938","15.70004","0.00000","0.00000"
"8.90000","1.19021","15.71459","0.00000","0.00000"
"9.00000","1.19083","15.71282","0.00000","0.00000"
"9.10000","1.19125","15.70779","0.00000","0.00000"
"9.20000","1.19146","15.69654","0.00000","0.00000"
"9.30000","1.19188","15.69487","0.00000","0.00000"
"9.40000","1.19208","15.69382","0.00000","0.00000"
"9.50000","1.19271","15.70568","0.00000","0.00000"
"9.60000","1.19333","15.73141","0.00000","0.00000"
"9.70000","1.19438","15.77406","0.00000","0.00000"
"9.80000","1.19625","15.83590","0.00000","0.00000"
"9.90000","1.19875","15.91116","0.00000","0.00000"
"10.00000","1.20167","15.98981","0.00000","0.00000"
"10.10000","1.20563","16.07864","0.00000","0.00000"
"10.20000","1.20979","16.14262","0.00000","0.00000"
"10.30000","1.21479","16.20529","0.00000","0.00000"
"10.40000","1.22271","16.33803","0.00000","0.00000"
"10.50000","1.23563","16.61875","0.00000","0.00000"
"10.60000","1.25000","17.15681","0.00000","0.00000"
"10.70000","1.26104","17.87643","0.00000","0.00000"
"10.80000","1.27250","18.52781","0.00000","0.00000"
"10.90000","1.28313","19.05457","0.00000","0.00000"
"11.00000","1.28938","19.36777","0.00000","0.00000"
"11.10000","1.29229","19.51198","0.00000","0.00000"
"11.20000","1.29375","19.55290","0.00000","0.00000"
"11.30000","1.29458","19.57141","0.00000","0.00000"
"11.40000","1.29521","19.58130","0.00000","0.00000"
