General : End date,"17/07/2023"
General : Excluded,False
General : Specimen number (included),6
General : Start date,"17/07/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{7B403D80-AD99-404B-AE23-8B5E0351F821}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fixed_2"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00000","1.14676","0.00000","0.00000"
"0.10000","0.00000","1.14831","0.00000","0.00000"
"0.20000","0.00000","1.15899","0.00000","0.00000"
"0.30000","0.00000","1.16254","0.00000","0.00000"
"0.40000","0.00000","1.15848","0.00000","0.00000"
"0.50000","0.00000","1.17685","0.00000","0.00000"
"0.60000","0.00042","1.15497","0.00000","0.00000"
"0.70000","0.00063","1.19019","0.00000","0.00000"
"0.80000","0.00083","1.25413","0.00000","0.00000"
"0.90000","0.00104","1.32164","0.00000","0.00000"
"1.00000","0.00125","1.34707","0.00000","0.00000"
"1.10000","0.00146","1.36888","0.00000","0.00000"
"1.20000","0.00208","1.45006","0.00000","0.00000"
"1.30000","0.00292","1.60604","0.00000","0.00000"
"1.40000","0.00417","1.72207","0.00000","0.00000"
"1.50000","0.00604","2.00052","0.00000","0.00000"
"1.60000","0.00833","2.41982","0.00000","0.00000"
"1.70000","0.01146","2.97758","0.00000","0.00000"
"1.80000","0.01417","3.48658","0.00000","0.00000"
"1.90000","0.01604","3.89186","0.00000","0.00000"
"2.00000","0.01771","4.20894","0.00000","0.00000"
"2.10000","0.01917","4.47141","0.00000","0.00000"
"2.20000","0.02021","4.66261","0.00000","0.00000"
"2.30000","0.02104","4.80508","0.00000","0.00000"
"2.40000","0.02188","4.95150","0.00000","0.00000"
"2.50000","0.02271","5.11086","0.00000","0.00000"
"2.60000","0.02354","5.25823","0.00000","0.00000"
"2.70000","0.02438","5.39342","0.00000","0.00000"
"2.80000","0.02521","5.52477","0.00000","0.00000"
"2.90000","0.02604","5.64188","0.00000","0.00000"
"3.00000","0.02688","5.81147","0.00000","0.00000"
"3.10000","0.02792","6.04636","0.00000","0.00000"
"3.20000","0.02917","6.28196","0.00000","0.00000"
"3.30000","0.03042","6.52932","0.00000","0.00000"
"3.40000","0.03167","6.81585","0.00000","0.00000"
"3.50000","0.03271","7.03050","0.00000","0.00000"
"3.60000","0.03375","7.23555","0.00000","0.00000"
"3.70000","0.03458","7.40248","0.00000","0.00000"
"3.80000","0.03542","7.53759","0.00000","0.00000"
"3.90000","0.03604","7.68815","0.00000","0.00000"
"4.00000","0.03688","7.86037","0.00000","0.00000"
"4.10000","0.03771","8.02078","0.00000","0.00000"
"4.20000","0.03854","8.16326","0.00000","0.00000"
"4.30000","0.03937","8.35022","0.00000","0.00000"
"4.40000","0.04021","8.54166","0.00000","0.00000"
"4.50000","0.04104","8.71424","0.00000","0.00000"
"4.60000","0.04188","8.88120","0.00000","0.00000"
"4.70000","0.04271","9.06770","0.00000","0.00000"
"4.80000","0.04333","9.25437","0.00000","0.00000"
"4.90000","0.04396","9.33502","0.00000","0.00000"
"5.00000","0.04438","9.42610","0.00000","0.00000"
"5.10000","0.04521","9.58856","0.00000","0.00000"
"5.20000","0.04604","9.78424","0.00000","0.00000"
"5.30000","0.04708","10.00842","0.00000","0.00000"
"5.40000","0.04813","10.24624","0.00000","0.00000"
"5.50000","0.04896","10.46497","0.00000","0.00000"
"5.60000","0.04979","10.63837","0.00000","0.00000"
"5.70000","0.05021","10.73661","0.00000","0.00000"
"5.80000","0.05083","10.84024","0.00000","0.00000"
"5.90000","0.05146","10.95760","0.00000","0.00000"
"6.00000","0.05188","11.08887","0.00000","0.00000"
"6.10000","0.05271","11.22420","0.00000","0.00000"
"6.20000","0.05333","11.37488","0.00000","0.00000"
"6.30000","0.05396","11.50752","0.00000","0.00000"
"6.40000","0.05438","11.62712","0.00000","0.00000"
"6.50000","0.05500","11.78280","0.00000","0.00000"
"6.60000","0.05583","11.94410","0.00000","0.00000"
"6.70000","0.05646","12.11810","0.00000","0.00000"
"6.80000","0.05729","12.29456","0.00000","0.00000"
"6.90000","0.05813","12.50635","0.00000","0.00000"
"7.00000","0.05896","12.70427","0.00000","0.00000"
"7.10000","0.05979","12.87717","0.00000","0.00000"
"7.20000","0.06042","13.01675","0.00000","0.00000"
"7.30000","0.06104","13.16613","0.00000","0.00000"
"7.40000","0.06167","13.32277","0.00000","0.00000"
"7.50000","0.06250","13.48577","0.00000","0.00000"
"7.60000","0.06312","13.64707","0.00000","0.00000"
"7.70000","0.06375","13.81891","0.00000","0.00000"
"7.80000","0.06458","13.98695","0.00000","0.00000"
"7.90000","0.06500","14.09607","0.00000","0.00000"
"8.00000","0.06563","14.23548","0.00000","0.00000"
"8.10000","0.06625","14.38207","0.00000","0.00000"
"8.20000","0.06708","14.57465","0.00000","0.00000"
"8.30000","0.06792","14.78174","0.00000","0.00000"
"8.40000","0.06896","15.02419","0.00000","0.00000"
"8.50000","0.07000","15.27026","0.00000","0.00000"
