General : End date,"17/07/2023"
General : Excluded,False
General : Specimen number (included),7
General : Start date,"17/07/2023"
General : System ID,"5544H1816"
General : Unique identifier,"{3FF49749-8ED9-480B-915E-8A27DA72CC8B}"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Specimen text inputs : Specimen text input  1,"fixed_3"

Time,Extension,Load,Cycle count,Total cycle count
(s),(mm),(N),,
"0.00000","0.00042","0.19268","0.00000","0.00000"
"0.10000","0.00042","0.18863","0.00000","0.00000"
"0.20000","0.00042","0.19179","0.00000","0.00000"
"0.30000","0.00042","0.21547","0.00000","0.00000"
"0.40000","0.00042","0.25078","0.00000","0.00000"
"0.50000","0.00063","0.27316","0.00000","0.00000"
"0.60000","0.00083","0.33198","0.00000","0.00000"
"0.70000","0.00104","0.39072","0.00000","0.00000"
"0.80000","0.00125","0.42338","0.00000","0.00000"
"0.90000","0.00125","0.45272","0.00000","0.00000"
"1.00000","0.00146","0.48890","0.00000","0.00000"
"1.10000","0.00188","0.54140","0.00000","0.00000"
"1.20000","0.00250","0.66941","0.00000","0.00000"
"1.30000","0.00313","0.81958","0.00000","0.00000"
"1.40000","0.00417","1.01472","0.00000","0.00000"
"1.50000","0.00521","1.26230","0.00000","0.00000"
"1.60000","0.00667","1.55313","0.00000","0.00000"
"1.70000","0.00812","1.88094","0.00000","0.00000"
"1.80000","0.00979","2.20755","0.00000","0.00000"
"1.90000","0.01167","2.60185","0.00000","0.00000"
"2.00000","0.01375","3.04816","0.00000","0.00000"
"2.10000","0.01562","3.43585","0.00000","0.00000"
"2.20000","0.01729","3.78334","0.00000","0.00000"
"2.30000","0.01854","4.04897","0.00000","0.00000"
"2.40000","0.01979","4.30708","0.00000","0.00000"
"2.50000","0.02083","4.51619","0.00000","0.00000"
"2.60000","0.02208","4.73115","0.00000","0.00000"
"2.70000","0.02292","4.91204","0.00000","0.00000"
"2.80000","0.02375","5.08417","0.00000","0.00000"
"2.90000","0.02458","5.22783","0.00000","0.00000"
"3.00000","0.02521","5.36919","0.00000","0.00000"
"3.10000","0.02583","5.50107","0.00000","0.00000"
"3.20000","0.02646","5.59533","0.00000","0.00000"
"3.30000","0.02688","5.68751","0.00000","0.00000"
"3.40000","0.02750","5.78457","0.00000","0.00000"
"3.50000","0.02833","5.97569","0.00000","0.00000"
"3.60000","0.02937","6.19261","0.00000","0.00000"
"3.70000","0.03042","6.43277","0.00000","0.00000"
"3.80000","0.03146","6.66488","0.00000","0.00000"
"3.90000","0.03229","6.84317","0.00000","0.00000"
"4.00000","0.03292","6.96312","0.00000","0.00000"
"4.10000","0.03354","7.08328","0.00000","0.00000"
"4.20000","0.03417","7.19521","0.00000","0.00000"
"4.30000","0.03458","7.31856","0.00000","0.00000"
"4.40000","0.03521","7.45293","0.00000","0.00000"
"4.50000","0.03583","7.58464","0.00000","0.00000"
"4.60000","0.03646","7.69254","0.00000","0.00000"
"4.70000","0.03688","7.80681","0.00000","0.00000"
"4.80000","0.03771","7.95939","0.00000","0.00000"
"4.90000","0.03833","8.13490","0.00000","0.00000"
"5.00000","0.03917","8.32150","0.00000","0.00000"
"5.10000","0.04000","8.50369","0.00000","0.00000"
"5.20000","0.04083","8.71689","0.00000","0.00000"
"5.30000","0.04167","8.91966","0.00000","0.00000"
"5.40000","0.04250","9.08211","0.00000","0.00000"
"5.50000","0.04312","9.23378","0.00000","0.00000"
"5.60000","0.04396","9.38911","0.00000","0.00000"
"5.70000","0.04458","9.55709","0.00000","0.00000"
"5.80000","0.04521","9.71453","0.00000","0.00000"
"5.90000","0.04604","9.87379","0.00000","0.00000"
"6.00000","0.04667","10.03782","0.00000","0.00000"
"6.10000","0.04729","10.17755","0.00000","0.00000"
"6.20000","0.04792","10.31224","0.00000","0.00000"
"6.30000","0.04854","10.45510","0.00000","0.00000"
"6.40000","0.04938","10.63245","0.00000","0.00000"
"6.50000","0.05021","10.83375","0.00000","0.00000"
"6.60000","0.05104","11.05486","0.00000","0.00000"
"6.70000","0.05208","11.29940","0.00000","0.00000"
"6.80000","0.05313","11.53735","0.00000","0.00000"
"6.90000","0.05396","11.77112","0.00000","0.00000"
"7.00000","0.05479","11.94768","0.00000","0.00000"
